Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 12:49:37.513320-07:00,1062.5,651.4,932.2,890.7,783.6,704.4,1564.6,1335.0,3478.3,3477.1,1068.6,796.0,1422.2,3469.8,1299.0,1192.0,3475.9,3472.2,306.7,561.0,860.4,1101.7,433.3,1589.9,3478.3,3480.7,627.0,660.3,1477.3,947.5,873.8,868.8,4.0,5.0,15.0,-2826.0,4801.0,11209.0,-10572.0,8.0,17.0,-19.0,4.0,-3.0,9.0,7578.0,-13264.0,4789.0,-3482.0,-1.0,9.0,4.0,1.0
2022-05-06 12:49:37.515133-07:00,1062.5,651.4,932.2,896.6,783.6,711.0,1574.9,1333.2,3478.3,3477.1,1068.6,796.0,1422.2,3474.6,1302.5,1193.8,3474.6,3477.1,313.6,561.0,853.7,1101.7,433.3,1589.9,3484.4,3475.9,620.5,660.3,1473.6,947.5,873.8,868.8,0.0,-12.0,17.0,-2835.0,4806.0,11211.0,-10564.0,-25.0,31.0,16.0,2.0,-7.0,5.0,7576.0,-13266.0,4790.0,-3481.0,-14.0,-1.0,10.0,1.0
2022-05-06 12:49:37.543285-07:00,1065.1,652.2,939.8,896.6,790.2,711.0,1574.9,1333.2,3474.6,3467.4,1062.5,796.0,1418.6,3474.6,1302.5,1193.8,3474.6,3477.1,313.6,547.4,853.7,1107.8,435.7,1590.8,3484.4,3475.9,620.5,663.6,1473.6,959.4,860.4,870.5,4.0,0.0,17.0,-2828.0,4824.0,11219.0,-10550.0,-44.0,15.0,20.0,4.0,-7.0,7.0,7568.0,-13270.0,4795.0,-3476.0,-23.0,2.0,7.0,1.0
2022-05-06 12:49:37.573317-07:00,1065.1,652.2,939.8,891.5,791.9,706.0,1569.3,1343.1,3474.6,3467.4,1062.5,796.0,1420.4,3473.4,1299.8,1197.4,3485.6,3474.6,307.4,549.0,855.3,1107.8,435.7,1590.8,3471.0,3478.3,630.3,662.7,1476.4,959.4,860.4,870.5,5.0,-8.0,14.0,-2824.0,4829.0,11225.0,-10543.0,-24.0,0.0,12.0,4.0,-17.0,5.0,7561.0,-13273.0,4797.0,-3474.0,-6.0,-3.0,-1.0,1.0
2022-05-06 12:49:37.663429-07:00,1062.5,646.5,942.4,894.9,791.9,706.0,1569.3,1343.1,3469.8,3472.2,1064.3,799.4,1420.4,3473.4,1299.8,1197.4,3485.6,3474.6,307.4,549.0,851.1,1103.4,436.4,1588.0,3471.0,3478.3,630.3,662.7,1470.9,956.8,876.4,857.9,4.0,-4.0,19.0,-2816.0,4834.0,11228.0,-10539.0,-7.0,6.0,22.0,5.0,-5.0,7.0,7561.0,-13273.0,4797.0,-3474.0,14.0,-6.0,-2.0,1.0
2022-05-06 12:49:37.693234-07:00,1062.5,646.5,942.4,894.9,786.9,712.6,1551.5,1345.8,3469.8,3472.2,1064.3,799.4,1423.1,3469.8,1291.8,1193.8,3480.7,3477.1,309.0,551.4,851.1,1103.4,436.4,1588.0,3483.2,3478.3,626.2,666.8,1470.9,956.8,876.4,857.9,2.0,-2.0,21.0,-2816.0,4848.0,11223.0,-10538.0,1.0,23.0,24.0,3.0,-6.0,10.0,7565.0,-13272.0,4796.0,-3474.0,-1.0,5.0,8.0,1.0
2022-05-06 12:49:37.723371-07:00,1063.4,643.2,939.0,899.1,786.9,712.6,1551.5,1345.8,3473.4,3474.6,1066.9,800.2,1423.1,3469.8,1291.8,1193.8,3480.7,3477.1,309.0,551.4,861.2,1103.4,439.6,1591.7,3483.2,3478.3,626.2,666.8,1480.1,951.7,878.9,863.7,-3.0,-5.0,17.0,-2816.0,4861.0,11223.0,-10532.0,-28.0,30.0,25.0,0.0,-3.0,2.0,7560.0,-13273.0,4802.0,-3470.0,-24.0,5.0,11.0,1.0
2022-05-06 12:49:37.843254-07:00,1063.4,643.2,939.0,899.1,789.4,701.9,1569.3,1348.5,3473.4,3474.6,1066.9,800.2,1422.2,3467.4,1298.1,1203.5,3469.8,3477.1,314.4,546.6,861.2,1103.4,439.6,1591.7,3467.4,3466.1,627.0,666.8,1480.1,951.7,878.9,863.7,1.0,0.0,15.0,-2815.0,4871.0,11224.0,-10526.0,0.0,6.0,6.0,0.0,-3.0,4.0,7555.0,-13276.0,4804.0,-3468.0,-3.0,5.0,2.0,1.0
2022-05-06 12:49:37.845270-07:00,1067.7,648.1,941.5,900.8,789.4,701.9,1569.3,1339.5,3474.6,3480.7,1074.7,799.4,1422.2,3467.4,1298.1,1198.2,3474.6,3477.1,314.4,546.6,855.3,1107.8,435.7,1589.9,3475.9,3466.1,627.0,666.8,1481.0,950.0,878.9,867.9,10.0,2.0,10.0,-2814.0,4870.0,11224.0,-10527.0,-2.0,-11.0,-1.0,24.0,0.0,6.0,7556.0,-13276.0,4805.0,-3467.0,4.0,-12.0,-3.0,1.0
2022-05-06 12:49:37.873713-07:00,1063.4,648.1,941.5,900.8,793.5,709.3,1570.2,1339.5,3467.4,3480.7,1074.7,799.4,1423.1,3467.4,1303.4,1198.2,3474.6,3485.6,308.2,549.8,855.3,1107.8,435.7,1585.2,3475.9,3475.9,626.2,662.7,1481.0,950.0,878.9,870.5,5.0,-2.0,19.0,-2811.0,4865.0,11225.0,-10529.0,24.0,-12.0,-14.0,3.0,-4.0,8.0,7557.0,-13275.0,4804.0,-3467.0,13.0,-2.0,-3.0,1.0
2022-05-06 12:49:37.993944-07:00,1063.4,648.1,937.3,900.0,793.5,709.3,1570.2,1340.4,3467.4,3471.0,1062.5,793.5,1423.1,3467.4,1303.4,1198.2,3488.0,3485.6,308.2,549.8,851.1,1126.1,434.1,1585.2,3479.5,3475.9,626.2,662.7,1474.6,950.0,881.4,870.5,4.0,-9.0,22.0,-2811.0,4861.0,11226.0,-10530.0,-15.0,-1.0,6.0,3.0,-5.0,5.0,7558.0,-13275.0,4804.0,-3467.0,-3.0,-6.0,3.0,1.0
2022-05-06 12:49:37.996037-07:00,1070.3,648.1,937.3,900.0,785.2,706.0,1570.2,1340.4,3473.4,3471.0,1062.5,793.5,1411.3,3462.5,1299.8,1198.2,3488.0,3474.6,303.6,551.4,851.1,1126.1,434.1,1597.4,3479.5,3481.9,623.8,658.7,1474.6,950.0,881.4,862.9,2.0,-5.0,21.0,-2806.0,4866.0,11229.0,-10526.0,-21.0,8.0,11.0,0.0,-6.0,7.0,7554.0,-13276.0,4806.0,-3466.0,-19.0,2.0,10.0,1.0
2022-05-06 12:49:38.023356-07:00,1070.3,646.5,940.7,889.0,785.2,706.0,1570.2,1335.9,3473.4,3477.1,1068.6,796.0,1411.3,3462.5,1299.8,1199.1,3483.2,3474.6,303.6,551.4,869.6,1107.8,434.9,1597.4,3486.8,3481.9,623.8,658.7,1474.6,952.6,879.7,862.9,2.0,-1.0,17.0,-2807.0,4871.0,11229.0,-10524.0,-6.0,10.0,1.0,1.0,-6.0,8.0,7554.0,-13277.0,4806.0,-3465.0,-4.0,-2.0,3.0,1.0
2022-05-06 12:49:38.083873-07:00,1079.0,646.5,940.7,889.0,783.6,705.2,1557.1,1335.9,3462.5,3477.1,1068.6,796.0,1421.3,3473.4,1296.3,1199.1,3483.2,3469.8,309.0,550.6,869.6,1107.8,434.9,1587.1,3486.8,3472.2,625.4,661.9,1474.6,952.6,879.7,863.7,0.0,-5.0,18.0,-2805.0,4870.0,11230.0,-10523.0,-17.0,-6.0,-1.0,2.0,-6.0,5.0,7554.0,-13277.0,4806.0,-3465.0,-5.0,-6.0,-2.0,1.0
2022-05-06 12:49:38.113509-07:00,1079.0,647.3,944.1,897.4,783.6,705.2,1568.3,1341.3,3462.5,3472.2,1067.7,796.0,1421.3,3473.4,1305.2,1199.1,3477.1,3469.8,309.0,550.6,861.2,1107.8,436.4,1587.1,3483.2,3483.2,625.4,661.9,1470.9,950.0,872.1,863.7,4.0,-4.0,22.0,-2801.0,4868.0,11233.0,-10522.0,-1.0,-6.0,5.0,-7.0,-5.0,10.0,7554.0,-13277.0,4805.0,-3464.0,4.0,-10.0,1.0,1.0
2022-05-06 12:49:38.203292-07:00,1062.5,657.0,944.1,897.4,785.2,707.7,1568.3,1341.3,3469.8,3477.1,1067.7,796.0,1423.1,3471.0,1305.2,1199.1,3477.1,3469.8,310.5,543.4,861.2,1107.8,437.2,1593.6,3483.2,3483.2,627.8,658.7,1470.9,950.0,870.5,865.4,5.0,-13.0,21.0,-2796.0,4865.0,11237.0,-10521.0,-7.0,-10.0,6.0,3.0,-6.0,7.0,7553.0,-13278.0,4807.0,-3460.0,5.0,-12.0,7.0,1.0
2022-05-06 12:49:38.233274-07:00,1062.5,657.0,942.4,892.4,785.2,707.7,1559.0,1342.2,3469.8,3477.1,1062.5,794.4,1423.1,3471.0,1299.0,1199.1,3478.3,3477.1,310.5,543.4,859.5,1099.0,437.2,1593.6,3484.4,3483.2,627.8,658.7,1472.7,954.3,870.5,865.4,3.0,-7.0,24.0,-2796.0,4865.0,11237.0,-10521.0,-17.0,-3.0,-1.0,4.0,-4.0,5.0,7558.0,-13276.0,4804.0,-3459.0,-7.0,-2.0,6.0,1.0
2022-05-06 12:49:38.263522-07:00,1066.0,649.7,942.4,892.4,783.6,705.2,1559.0,1342.2,3478.3,3478.3,1062.5,794.4,1423.1,3477.1,1299.0,1199.1,3478.3,3477.1,305.1,553.8,859.5,1099.0,436.4,1579.6,3484.4,3483.2,629.5,663.6,1472.7,954.3,873.8,857.9,6.0,2.0,21.0,-2797.0,4864.0,11235.0,-10523.0,-33.0,-2.0,8.0,0.0,-1.0,5.0,7556.0,-13277.0,4809.0,-3456.0,-27.0,6.0,13.0,1.0
2022-05-06 12:49:38.323691-07:00,1066.0,649.7,939.8,889.8,783.6,705.2,1552.5,1344.0,3478.3,3478.3,1070.3,801.9,1423.1,3477.1,1303.4,1194.7,3473.4,3472.2,305.1,553.8,865.4,1103.4,436.4,1579.6,3477.1,3480.7,629.5,663.6,1472.7,951.7,873.8,857.9,-3.0,6.0,14.0,-2799.0,4865.0,11234.0,-10523.0,15.0,12.0,4.0,-2.0,-5.0,10.0,7552.0,-13278.0,4813.0,-3452.0,5.0,3.0,7.0,1.0
2022-05-06 12:49:38.383795-07:00,1066.9,648.9,945.8,889.8,787.7,712.6,1552.5,1344.0,3480.7,3471.0,1065.1,801.9,1422.2,3469.8,1303.4,1194.7,3473.4,3472.2,312.0,552.2,865.4,1110.4,436.4,1586.1,3477.1,3480.7,627.8,664.4,1472.7,956.8,879.7,867.9,2.0,2.0,13.0,-2804.0,4859.0,11230.0,-10529.0,20.0,-12.0,-23.0,1.0,-3.0,6.0,7553.0,-13278.0,4813.0,-3453.0,10.0,4.0,-4.0,1.0
2022-05-06 12:49:38.413549-07:00,1066.9,648.9,945.8,894.1,787.7,710.1,1563.7,1341.3,3480.7,3471.0,1065.1,800.2,1422.2,3467.4,1301.6,1198.2,3467.4,3475.9,305.9,552.2,862.1,1110.4,436.4,1586.1,3477.1,3480.7,620.5,664.4,1476.4,956.8,879.7,867.9,9.0,-15.0,21.0,-2799.0,4851.0,11234.0,-10529.0,-27.0,-12.0,10.0,8.0,-15.0,8.0,7552.0,-13279.0,4813.0,-3452.0,8.0,-5.0,-5.0,1.0
2022-05-06 12:49:38.474390-07:00,1072.9,645.7,938.1,894.1,786.9,710.1,1563.7,1341.3,3457.6,3478.3,1066.0,800.2,1423.1,3467.4,1301.6,1198.2,3467.4,3475.9,305.9,548.2,862.1,1113.0,433.3,1589.9,3477.1,3480.7,620.5,663.6,1476.4,953.4,875.5,858.7,0.0,-4.0,16.0,-2803.0,4852.0,11230.0,-10532.0,-2.0,15.0,-7.0,4.0,-3.0,9.0,7550.0,-13279.0,4816.0,-3453.0,-19.0,12.0,12.0,1.0
2022-05-06 12:49:38.653286-07:00,1072.9,645.7,938.1,891.5,786.9,708.5,1554.3,1338.6,3457.6,3478.3,1066.0,798.5,1423.1,3469.8,1298.1,1195.6,3472.2,3480.7,309.0,548.2,859.5,1113.0,433.3,1589.9,3484.4,3481.9,623.8,663.6,1473.6,953.4,875.5,858.7,3.0,-9.0,17.0,-2802.0,4852.0,11234.0,-10528.0,-37.0,10.0,9.0,3.0,-11.0,8.0,7542.0,-13282.0,4821.0,-3450.0,-21.0,1.0,10.0,1.0
2022-05-06 12:49:38.654316-07:00,1066.9,650.5,944.1,891.5,788.6,708.5,1554.3,1338.6,3478.3,3469.8,1066.9,798.5,1417.6,3469.8,1298.1,1195.6,3472.2,3480.7,309.0,538.6,859.5,1105.1,430.9,1610.5,3484.4,3481.9,623.8,662.7,1473.6,953.4,869.6,865.4,2.0,2.0,13.0,-2801.0,4855.0,11233.0,-10528.0,-15.0,11.0,7.0,1.0,-3.0,10.0,7541.0,-13282.0,4825.0,-3448.0,-12.0,5.0,7.0,1.0
2022-05-06 12:49:38.655187-07:00,1066.9,650.5,944.1,896.6,798.5,703.6,1557.1,1344.0,3478.3,3469.8,1066.9,799.4,1425.0,3475.9,1303.4,1202.7,3478.3,3471.0,305.1,551.4,858.7,1105.1,430.9,1610.5,3474.6,3477.1,623.0,661.9,1470.9,953.4,869.6,865.4,2.0,0.0,17.0,-2801.0,4854.0,11233.0,-10529.0,2.0,5.0,-2.0,1.0,-4.0,8.0,7540.0,-13282.0,4825.0,-3448.0,2.0,-1.0,-1.0,1.0
2022-05-06 12:49:38.713170-07:00,1065.1,650.5,939.0,896.6,798.5,703.6,1557.1,1344.0,3475.9,3475.9,1066.0,801.0,1425.0,3475.9,1303.4,1202.7,3478.3,3471.0,305.1,551.4,857.0,1107.8,436.4,1585.2,3474.6,3477.1,623.0,661.9,1471.8,955.1,873.8,868.8,5.0,3.0,15.0,-2804.0,4851.0,11229.0,-10533.0,17.0,0.0,-6.0,3.0,0.0,8.0,7542.0,-13281.0,4825.0,-3448.0,6.0,-1.0,-4.0,1.0
2022-05-06 12:49:38.715003-07:00,1065.1,650.5,939.0,896.6,788.6,719.2,1559.9,1342.2,3475.9,3475.9,1066.0,801.0,1424.1,3457.6,1303.4,1198.2,3477.1,3475.9,318.2,550.6,857.0,1107.8,436.4,1585.2,3472.2,3475.9,617.3,663.6,1471.8,955.1,873.8,868.8,2.0,-5.0,18.0,-2805.0,4850.0,11228.0,-10535.0,2.0,3.0,-2.0,4.0,-3.0,7.0,7542.0,-13281.0,4825.0,-3448.0,1.0,3.0,1.0,1.0
2022-05-06 12:49:38.774073-07:00,1062.5,648.9,939.0,895.7,788.6,719.2,1559.9,1342.2,3473.4,3467.4,1070.3,798.5,1424.1,3457.6,1303.4,1198.2,3477.1,3475.9,318.2,550.6,862.1,1113.9,440.4,1586.1,3472.2,3475.9,617.3,663.6,1471.8,954.3,875.5,863.7,1.0,-3.0,11.0,-2806.0,4848.0,11227.0,-10536.0,1.0,9.0,8.0,3.0,-4.0,8.0,7542.0,-13281.0,4825.0,-3448.0,10.0,-1.0,7.0,1.0
2022-05-06 12:49:38.833238-07:00,1062.5,648.9,939.0,895.7,786.9,708.5,1561.8,1340.4,3473.4,3467.4,1070.3,798.5,1422.2,3472.2,1299.0,1196.5,3481.9,3467.4,309.0,548.2,862.1,1113.9,440.4,1586.1,3477.1,3478.3,625.4,663.6,1471.8,954.3,875.5,863.7,3.0,-4.0,18.0,-2805.0,4846.0,11228.0,-10536.0,-16.0,-12.0,-3.0,1.0,-3.0,5.0,7543.0,-13281.0,4824.0,-3449.0,9.0,-3.0,2.0,1.0
2022-05-06 12:49:38.893309-07:00,1060.8,657.0,936.4,891.5,786.9,708.5,1561.8,1328.7,3474.6,3467.4,1070.3,797.7,1422.2,3472.2,1299.0,1202.7,3477.1,3467.4,309.0,548.2,858.7,1108.6,437.2,1588.9,3472.2,3478.3,625.4,663.6,1475.5,952.6,874.7,861.2,5.0,0.0,16.0,-2806.0,4846.0,11226.0,-10539.0,-12.0,-3.0,-5.0,4.0,-2.0,6.0,7543.0,-13280.0,4824.0,-3449.0,-7.0,3.0,0.0,1.0
2022-05-06 12:49:38.923236-07:00,1069.5,657.0,936.4,891.5,786.9,709.3,1557.1,1328.7,3472.2,3467.4,1070.3,797.7,1420.4,3472.2,1304.3,1202.7,3477.1,3473.4,307.4,553.8,858.7,1108.6,437.2,1588.0,3472.2,3474.6,624.6,663.6,1475.5,952.6,874.7,872.1,3.0,0.0,9.0,-2809.0,4843.0,11221.0,-10544.0,10.0,3.0,-2.0,6.0,0.0,3.0,7546.0,-13279.0,4824.0,-3450.0,14.0,4.0,-5.0,1.0
2022-05-06 12:49:38.983220-07:00,1069.5,653.0,935.6,893.2,786.9,709.3,1557.1,1338.6,3472.2,3469.8,1065.1,794.4,1420.4,3472.2,1304.3,1204.4,3478.3,3473.4,307.4,553.8,857.0,1106.0,438.8,1588.0,3479.5,3474.6,624.6,663.6,1466.3,953.4,871.3,872.1,7.0,-5.0,15.0,-2811.0,4841.0,11219.0,-10546.0,7.0,3.0,-6.0,6.0,-8.0,9.0,7547.0,-13278.0,4823.0,-3450.0,-1.0,6.0,7.0,1.0
2022-05-06 12:49:39.073245-07:00,1056.5,653.0,935.6,893.2,794.4,707.7,1563.7,1338.6,3464.9,3469.8,1065.1,794.4,1415.8,3469.8,1305.2,1204.4,3478.3,3477.1,311.3,554.6,857.0,1106.0,438.8,1585.2,3479.5,3478.3,627.0,663.6,1466.3,953.4,871.3,867.1,-2.0,0.0,12.0,-2812.0,4840.0,11218.0,-10548.0,-8.0,-6.0,7.0,1.0,-1.0,9.0,7547.0,-13278.0,4827.0,-3448.0,-10.0,3.0,14.0,1.0
2022-05-06 12:49:39.074772-07:00,1056.5,646.5,933.9,892.4,794.4,707.7,1563.7,1331.4,3464.9,3474.6,1066.9,798.5,1415.8,3469.8,1305.2,1203.5,3480.7,3477.1,311.3,554.6,857.9,1123.5,438.8,1585.2,3477.1,3478.3,627.0,663.6,1474.6,950.9,874.7,867.1,3.0,3.0,16.0,-2811.0,4842.0,11217.0,-10548.0,5.0,14.0,6.0,3.0,-5.0,10.0,7544.0,-13278.0,4831.0,-3445.0,6.0,2.0,2.0,1.0
2022-05-06 12:49:39.133226-07:00,1063.4,653.0,933.9,892.4,785.2,708.5,1562.7,1331.4,3475.9,3467.4,1066.9,798.5,1409.4,3467.4,1302.5,1203.5,3480.7,3478.3,305.1,544.2,857.9,1123.5,436.4,1582.4,3477.1,3474.6,641.6,679.9,1474.6,950.9,874.7,864.6,2.0,-5.0,13.0,-2815.0,4838.0,11217.0,-10549.0,-6.0,2.0,-12.0,4.0,-3.0,4.0,7544.0,-13279.0,4829.0,-3446.0,6.0,7.0,-11.0,1.0
2022-05-06 12:49:39.163511-07:00,1063.4,653.0,936.4,894.1,785.2,708.5,1562.7,1341.3,3475.9,3467.4,1066.0,796.0,1409.4,3467.4,1302.5,1200.9,3475.9,3478.3,305.1,544.2,856.2,1110.4,436.4,1582.4,3474.6,3483.2,641.6,679.9,1474.6,951.7,874.7,864.6,5.0,-4.0,13.0,-2818.0,4836.0,11214.0,-10553.0,16.0,12.0,1.0,4.0,-4.0,8.0,7546.0,-13278.0,4828.0,-3447.0,11.0,-2.0,3.0,1.0
2022-05-06 12:49:39.253641-07:00,1065.1,648.9,936.4,894.1,784.4,701.9,1562.7,1341.3,3478.3,3475.9,1066.0,796.0,1421.3,3473.4,1302.5,1200.9,3475.9,3478.3,309.7,557.0,856.2,1110.4,434.1,1573.9,3474.6,3483.2,623.8,663.6,1474.6,951.7,872.1,870.5,0.0,3.0,18.0,-2822.0,4843.0,11209.0,-10554.0,-13.0,19.0,16.0,2.0,-4.0,12.0,7547.0,-13277.0,4830.0,-3446.0,-13.0,10.0,11.0,1.0
2022-05-06 12:49:39.343507-07:00,1065.1,648.9,933.9,893.2,784.4,701.9,1557.1,1331.4,3478.3,3475.9,1067.7,800.2,1421.3,3473.4,1316.9,1195.6,3467.4,3477.1,309.7,557.0,861.2,1107.8,434.1,1573.9,3480.7,3485.6,623.8,663.6,1474.6,956.0,872.1,870.5,0.0,-2.0,11.0,-2823.0,4849.0,11212.0,-10547.0,-11.0,9.0,1.0,0.0,-6.0,3.0,7540.0,-13280.0,4833.0,-3444.0,-7.0,4.0,1.0,1.0
2022-05-06 12:49:39.345191-07:00,1061.7,647.3,933.9,893.2,783.6,710.1,1557.1,1331.4,3473.4,3473.4,1067.7,800.2,1420.4,3471.0,1316.9,1195.6,3467.4,3477.1,308.2,551.4,861.2,1107.8,435.7,1585.2,3480.7,3485.6,628.6,660.3,1474.6,956.0,873.8,860.4,2.0,-2.0,13.0,-2823.0,4848.0,11211.0,-10549.0,7.0,0.0,-1.0,6.0,-4.0,8.0,7542.0,-13279.0,4833.0,-3445.0,14.0,-1.0,-6.0,1.0
2022-05-06 12:49:39.403287-07:00,1061.7,647.3,939.0,896.6,783.6,705.2,1555.3,1361.2,3473.4,3473.4,1061.7,799.4,1420.4,3480.7,1301.6,1199.1,3472.2,3483.2,315.1,551.4,867.1,1108.6,435.7,1585.2,3477.1,3477.1,627.0,660.3,1481.0,947.5,873.8,860.4,9.0,-5.0,15.0,-2824.0,4843.0,11212.0,-10550.0,2.0,-12.0,-12.0,6.0,-7.0,11.0,7543.0,-13278.0,4832.0,-3446.0,-1.0,-4.0,2.0,1.0
2022-05-06 12:49:39.433912-07:00,1066.9,648.1,935.6,896.6,785.2,705.2,1555.3,1361.2,3473.4,3475.9,1062.5,799.4,1421.3,3480.7,1301.6,1199.1,3472.2,3483.2,315.1,548.2,867.1,1106.0,435.7,1583.3,3477.1,3477.1,627.0,663.6,1481.0,962.0,872.1,862.1,3.0,-8.0,15.0,-2828.0,4841.0,11209.0,-10553.0,-10.0,15.0,8.0,3.0,-10.0,9.0,7544.0,-13278.0,4832.0,-3446.0,-2.0,-2.0,4.0,1.0
2022-05-06 12:49:39.493194-07:00,1066.9,648.1,935.6,889.8,785.2,710.1,1558.1,1342.2,3473.4,3475.9,1062.5,795.2,1421.3,3478.3,1302.5,1200.9,3483.2,3474.6,307.4,548.2,858.7,1106.0,435.7,1583.3,3478.3,3473.4,626.2,663.6,1477.3,962.0,872.1,862.1,0.0,2.0,8.0,-2830.0,4845.0,11210.0,-10549.0,-31.0,10.0,4.0,1.0,-5.0,3.0,7542.0,-13278.0,4836.0,-3444.0,-19.0,10.0,13.0,1.0
2022-05-06 12:49:39.553238-07:00,1065.1,653.0,938.1,889.8,781.1,710.1,1558.1,1342.2,3471.0,3468.6,1065.1,795.2,1417.6,3478.3,1302.5,1200.9,3483.2,3474.6,307.4,548.2,858.7,1110.4,433.3,1586.1,3478.3,3473.4,626.2,657.9,1477.3,951.7,874.7,862.9,3.0,7.0,15.0,-2829.0,4846.0,11213.0,-10546.0,1.0,3.0,1.0,-2.0,-3.0,5.0,7539.0,-13279.0,4839.0,-3442.0,7.0,-2.0,4.0,1.0
2022-05-06 12:49:39.583230-07:00,1065.1,653.0,938.1,902.5,781.1,704.4,1559.0,1342.2,3471.0,3468.6,1065.1,797.7,1417.6,3467.4,1308.8,1202.7,3481.9,3481.9,305.1,548.2,859.5,1110.4,433.3,1586.1,3478.3,3473.4,629.5,657.9,1480.1,951.7,874.7,862.9,-5.0,-9.0,14.0,-2830.0,4846.0,11211.0,-10548.0,17.0,-6.0,4.0,-2.0,2.0,6.0,7540.0,-13278.0,4839.0,-3442.0,15.0,0.0,3.0,1.0
2022-05-06 12:49:39.614263-07:00,1063.4,644.9,933.9,902.5,782.7,704.4,1559.0,1342.2,3477.1,3473.4,1071.2,797.7,1418.6,3467.4,1308.8,1202.7,3481.9,3481.9,305.1,551.4,859.5,1109.5,437.2,1589.9,3478.3,3473.4,629.5,668.4,1480.1,952.6,874.7,865.4,5.0,-8.0,17.0,-2824.0,4848.0,11212.0,-10548.0,19.0,-19.0,13.0,9.0,-2.0,10.0,7544.0,-13278.0,4836.0,-3440.0,28.0,-12.0,0.0,1.0
2022-05-06 12:49:39.673549-07:00,1063.4,644.9,933.9,902.5,784.4,706.9,1548.7,1333.2,3477.1,3473.4,1071.2,798.5,1416.7,3467.4,1299.0,1201.8,3478.3,3469.8,311.3,550.6,859.5,1109.5,437.2,1589.9,3481.9,3484.4,625.4,656.2,1470.0,952.6,874.7,865.4,8.0,5.0,13.0,-2824.0,4847.0,11209.0,-10552.0,-23.0,3.0,-8.0,8.0,1.0,6.0,7550.0,-13275.0,4833.0,-3441.0,-15.0,2.0,-10.0,1.0
2022-05-06 12:49:39.793666-07:00,1061.7,644.0,944.9,896.6,784.4,706.9,1548.7,1333.2,3471.0,3471.0,1062.5,799.4,1416.7,3467.4,1299.0,1201.8,3478.3,3469.8,311.3,550.6,862.9,1119.1,434.1,1581.4,3481.9,3484.4,625.4,656.2,1474.6,950.9,871.3,862.1,9.0,-7.0,6.0,-2824.0,4847.0,11210.0,-10550.0,10.0,-6.0,-6.0,10.0,-7.0,4.0,7546.0,-13277.0,4834.0,-3440.0,11.0,1.0,-4.0,1.0
2022-05-06 12:49:39.853375-07:00,1061.7,644.0,944.9,896.6,784.4,708.5,1568.3,1338.6,3471.0,3471.0,1062.5,799.4,1419.5,3467.4,1305.2,1192.9,3483.2,3478.3,311.3,548.2,862.9,1119.1,434.1,1581.4,3480.7,3474.6,614.1,661.9,1474.6,950.9,871.3,862.1,5.0,-2.0,18.0,-2825.0,4845.0,11205.0,-10556.0,2.0,4.0,14.0,3.0,-5.0,12.0,7556.0,-13271.0,4833.0,-3442.0,26.0,1.0,15.0,1.0
2022-05-06 12:49:39.855184-07:00,1070.3,646.5,939.8,894.9,784.4,708.5,1568.3,1338.6,3472.2,3469.8,1069.5,796.0,1419.5,3467.4,1305.2,1192.9,3483.2,3478.3,311.3,548.2,859.5,1105.1,435.7,1582.4,3480.7,3474.6,614.1,661.9,1470.0,957.7,873.8,866.3,0.0,-1.0,20.0,-2823.0,4853.0,11208.0,-10549.0,-12.0,19.0,3.0,0.0,-9.0,8.0,7553.0,-13272.0,4842.0,-3437.0,-18.0,5.0,14.0,1.0
2022-05-06 12:49:39.883141-07:00,1070.3,646.5,939.8,894.9,788.6,709.3,1559.0,1341.3,3472.2,3469.8,1069.5,796.0,1426.8,3471.0,1302.5,1192.9,3469.8,3474.6,307.4,551.4,859.5,1105.1,435.7,1582.4,3474.6,3480.7,621.4,663.6,1470.0,957.7,873.8,866.3,-1.0,2.0,11.0,-2835.0,4862.0,11202.0,-10548.0,26.0,48.0,6.0,-2.0,1.0,4.0,7552.0,-13270.0,4846.0,-3438.0,20.0,7.0,2.0,1.0
2022-05-06 12:49:39.913473-07:00,1076.4,649.7,933.9,889.0,788.6,709.3,1559.0,1341.3,3466.1,3475.9,1065.1,801.9,1426.8,3471.0,1302.5,1199.1,3469.8,3474.6,307.4,551.4,857.9,1107.8,438.0,1588.9,3472.2,3480.7,621.4,663.6,1470.0,954.3,878.9,863.7,5.0,-2.0,8.0,-2839.0,4866.0,11202.0,-10546.0,-9.0,-9.0,0.0,7.0,-7.0,6.0,7553.0,-13271.0,4843.0,-3439.0,-7.0,-14.0,-14.0,1.0
2022-05-06 12:49:40.033265-07:00,1070.3,649.7,933.9,889.0,791.0,703.6,1572.1,1341.3,3475.9,3475.9,1065.1,801.9,1422.2,3480.7,1307.0,1199.1,3469.8,3474.6,308.2,554.6,857.9,1107.8,438.0,1586.1,3472.2,3480.7,625.4,659.5,1470.0,954.3,878.9,864.6,17.0,-1.0,16.0,-2834.0,4860.0,11203.0,-10549.0,4.0,-13.0,-5.0,11.0,-3.0,10.0,7559.0,-13270.0,4834.0,-3442.0,20.0,-11.0,-14.0,1.0
