Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 10:52:36.170027-07:00,2412.4,657.0,1433.2,1563.7,987.6,1948.9,1615.2,2058.4,3446.7,3450.4,2015.4,1939.0,1485.6,3445.5,1145.4,1756.0,3452.8,3443.1,867.9,1514.3,1369.4,701.1,1745.4,1722.4,3452.8,3450.4,944.9,1231.9,1506.9,1734.9,1409.4,1098.2,0.0,-8.0,-24.0,6222.0,242.0,175.0,15154.0,3.0,3.0,-1.0,16.0,4.0,0.0,5131.0,2153.0,-818.0,15388.0,3.0,-6.0,0.0,1.0
2022-05-06 10:52:36.230482-07:00,2421.9,645.7,1437.8,1558.1,987.6,1948.9,1615.2,2062.5,3454.0,3458.9,2011.4,1938.0,1485.6,3445.5,1145.4,1756.0,3450.4,3443.1,867.9,1514.3,1365.7,692.1,1742.6,1718.6,3445.5,3450.4,944.9,1231.9,1512.5,1733.9,1406.7,1101.7,0.0,-11.0,-23.0,6222.0,242.0,175.0,15154.0,-1.0,2.0,0.0,14.0,3.0,-4.0,5131.0,2152.0,-818.0,15389.0,-1.0,13.0,-3.0,1.0
2022-05-06 10:52:36.290166-07:00,2410.3,645.7,1437.8,1558.1,975.6,1946.9,1612.4,2062.5,3449.1,3458.9,2011.4,1938.0,1487.5,3450.4,1145.4,1756.0,3450.4,3447.9,866.3,1516.2,1365.7,692.1,1742.6,1715.8,3445.5,3458.9,947.5,1223.0,1512.5,1733.9,1406.7,1105.1,0.0,-14.0,-29.0,6222.0,242.0,175.0,15154.0,1.0,2.0,0.0,14.0,6.0,0.0,5131.0,2152.0,-818.0,15389.0,-4.0,-10.0,3.0,1.0
2022-05-06 10:52:36.320153-07:00,2410.3,656.2,1428.6,1559.9,975.6,1946.9,1612.4,2059.4,3449.1,3454.0,2012.4,1935.1,1487.5,3450.4,1145.4,1757.0,3443.1,3447.9,866.3,1516.2,1366.6,700.3,1741.6,1715.8,3455.2,3458.9,947.5,1223.0,1509.7,1735.8,1404.9,1105.1,1.0,-12.0,-29.0,6222.0,242.0,175.0,15154.0,0.0,3.0,0.0,16.0,6.0,-7.0,5131.0,2151.0,-817.0,15389.0,-3.0,2.0,1.0,1.0
2022-05-06 10:52:36.440327-07:00,2415.5,656.2,1428.6,1559.9,973.1,1946.9,1613.4,2059.4,3445.5,3454.0,2012.4,1935.1,1481.0,3454.0,1149.8,1757.0,3443.1,3450.4,868.8,1512.5,1366.6,700.3,1741.6,1717.7,3455.2,3450.4,949.2,1223.9,1509.7,1735.8,1404.9,1100.8,0.0,-10.0,-29.0,6222.0,242.0,175.0,15154.0,4.0,-2.0,1.0,12.0,5.0,1.0,5131.0,2150.0,-817.0,15389.0,3.0,-4.0,0.0,1.0
2022-05-06 10:52:36.441945-07:00,2415.5,648.1,1429.5,1571.1,973.1,1946.9,1613.4,2064.5,3445.5,3451.6,2014.4,1935.1,1481.0,3454.0,1149.8,1757.9,3445.5,3450.4,868.8,1512.5,1366.6,694.6,1745.4,1717.7,3452.8,3450.4,949.2,1223.9,1514.3,1732.0,1413.1,1100.8,-2.0,-10.0,-26.0,6222.0,242.0,175.0,15154.0,0.0,-6.0,0.0,16.0,3.0,-3.0,5131.0,2148.0,-816.0,15389.0,1.0,20.0,-3.0,1.0
2022-05-06 10:52:36.470126-07:00,2416.6,648.1,1429.5,1571.1,981.6,1946.9,1608.7,2064.5,3449.1,3451.6,2014.4,1935.1,1480.1,3446.7,1147.1,1757.9,3445.5,3445.5,867.9,1520.8,1366.6,694.6,1745.4,1714.8,3452.8,3451.6,949.2,1232.8,1514.3,1732.0,1413.1,1099.9,0.0,-10.0,-26.0,6222.0,242.0,175.0,15154.0,1.0,-1.0,-1.0,12.0,6.0,0.0,5131.0,2149.0,-817.0,15389.0,5.0,-13.0,3.0,1.0
2022-05-06 10:52:36.530132-07:00,2416.6,644.9,1430.5,1561.8,981.6,1946.9,1619.9,2062.5,3449.1,3451.6,2012.4,1935.1,1480.1,3446.7,1143.6,1757.9,3440.7,3443.1,867.9,1520.8,1368.5,697.0,1740.6,1714.8,3445.5,3452.8,949.2,1232.8,1503.2,1731.1,1407.6,1099.9,0.0,-11.0,-28.0,6222.0,242.0,175.0,15154.0,2.0,2.0,1.0,19.0,3.0,-5.0,5131.0,2148.0,-817.0,15389.0,-2.0,6.0,1.0,1.0
2022-05-06 10:52:36.560925-07:00,2411.3,649.7,1430.5,1561.8,976.5,1948.9,1619.9,2062.5,3454.0,3446.7,2012.4,1935.1,1484.7,3446.7,1143.6,1757.9,3440.7,3443.1,864.6,1515.3,1368.5,697.0,1740.6,1714.8,3445.5,3452.8,945.8,1231.9,1503.2,1731.1,1404.9,1097.3,3.0,-10.0,-26.0,6222.0,242.0,175.0,15154.0,7.0,2.0,0.0,11.0,3.0,0.0,5131.0,2148.0,-816.0,15389.0,3.0,-12.0,5.0,1.0
2022-05-06 10:52:36.650089-07:00,2411.3,649.7,1428.6,1561.8,976.5,1948.9,1611.5,2064.5,3454.0,3446.7,2007.4,1944.0,1484.7,3446.7,1147.1,1755.0,3437.0,3447.9,864.6,1515.3,1367.6,698.7,1740.6,1714.8,3444.3,3443.1,945.8,1231.9,1511.5,1731.1,1404.9,1097.3,0.0,-10.0,-26.0,6222.0,242.0,175.0,15154.0,-3.0,0.0,0.0,12.0,4.0,-7.0,5131.0,2146.0,-816.0,15389.0,-6.0,-1.0,1.0,1.0
2022-05-06 10:52:36.710752-07:00,2414.5,649.7,1428.6,1561.8,973.1,1943.0,1611.5,2064.5,3438.2,3449.1,2007.4,1944.0,1486.6,3450.4,1147.1,1755.0,3437.0,3447.9,868.8,1516.2,1367.6,698.7,1733.0,1716.7,3444.3,3443.1,950.9,1228.4,1511.5,1731.1,1406.7,1108.6,0.0,-10.0,-24.0,6222.0,242.0,175.0,15154.0,4.0,6.0,1.0,15.0,4.0,1.0,5131.0,2146.0,-816.0,15389.0,1.0,1.0,0.0,1.0
2022-05-06 10:52:36.712285-07:00,2414.5,649.7,1427.7,1557.1,973.1,1943.0,1607.7,2057.4,3438.2,3449.1,2007.4,1940.0,1486.6,3450.4,1141.9,1752.1,3447.9,3443.1,868.8,1516.2,1363.9,692.1,1733.0,1716.7,3450.4,3447.9,950.9,1228.4,1503.2,1730.1,1406.7,1108.6,-2.0,-9.0,-25.0,6222.0,242.0,175.0,15154.0,0.0,-3.0,1.0,19.0,3.0,-3.0,5131.0,2147.0,-816.0,15389.0,-3.0,8.0,-1.0,1.0
2022-05-06 10:52:36.800323-07:00,2419.8,650.5,1427.7,1557.1,975.6,1955.8,1607.7,2057.4,3449.1,3445.5,2007.4,1940.0,1490.3,3457.6,1141.9,1752.1,3447.9,3443.1,862.9,1519.0,1363.9,692.1,1743.5,1724.4,3450.4,3447.9,952.6,1239.1,1503.2,1730.1,1410.3,1106.0,-1.0,-9.0,-23.0,6222.0,242.0,175.0,15154.0,0.0,-3.0,2.0,16.0,8.0,-1.0,5131.0,2147.0,-816.0,15389.0,2.0,9.0,-2.0,1.0
2022-05-06 10:52:36.801681-07:00,2419.8,650.5,1425.9,1564.6,975.6,1948.9,1611.5,2063.5,3449.1,3445.5,2013.4,1942.0,1490.3,3450.4,1147.1,1764.6,3451.6,3445.5,869.6,1519.0,1370.3,699.5,1743.5,1724.4,3449.1,3450.4,951.7,1239.1,1511.5,1733.0,1410.3,1106.0,-3.0,-7.0,-24.0,6222.0,242.0,175.0,15154.0,-1.0,-4.0,1.0,15.0,5.0,1.0,5131.0,2147.0,-816.0,15389.0,0.0,-7.0,2.0,1.0
2022-05-06 10:52:36.860152-07:00,2412.4,653.8,1429.5,1564.6,979.0,1948.9,1611.5,2063.5,3443.1,3451.6,2013.4,1942.0,1486.6,3450.4,1147.1,1764.6,3451.6,3445.5,869.6,1515.3,1370.3,698.7,1737.8,1721.5,3449.1,3450.4,951.7,1236.4,1511.5,1733.0,1412.2,1097.3,0.0,-8.0,-27.0,6222.0,242.0,175.0,15154.0,-2.0,0.0,0.0,21.0,4.0,-2.0,5131.0,2146.0,-816.0,15389.0,-2.0,-2.0,0.0,1.0
2022-05-06 10:52:36.980088-07:00,2412.4,653.8,1429.5,1559.0,979.0,1955.8,1615.2,2067.5,3443.1,3451.6,2013.4,1942.0,1486.6,3445.5,1137.5,1752.1,3444.3,3438.2,867.1,1515.3,1369.4,698.7,1737.8,1721.5,3450.4,3446.7,944.9,1236.4,1506.0,1733.0,1412.2,1097.3,-3.0,-8.0,-27.0,6222.0,242.0,175.0,15154.0,2.0,1.0,0.0,16.0,3.0,2.0,5131.0,2146.0,-816.0,15389.0,2.0,-7.0,4.0,1.0
2022-05-06 10:52:36.981327-07:00,2409.2,648.1,1429.5,1559.0,977.3,1955.8,1615.2,2067.5,3456.4,3443.1,2012.4,1942.0,1485.6,3445.5,1137.5,1752.1,3444.3,3438.2,867.1,1520.8,1369.4,694.6,1741.6,1721.5,3450.4,3446.7,944.9,1230.2,1506.0,1735.8,1408.5,1104.3,0.0,-7.0,-32.0,6222.0,242.0,175.0,15154.0,-1.0,4.0,-1.0,19.0,6.0,-6.0,5131.0,2146.0,-816.0,15389.0,-4.0,-4.0,1.0,1.0
2022-05-06 10:52:37.070147-07:00,2409.2,648.1,1429.5,1563.7,977.3,1947.9,1611.5,2056.4,3456.4,3443.1,2012.4,1938.0,1485.6,3445.5,1148.0,1757.9,3443.1,3449.1,866.3,1520.8,1368.5,694.6,1741.6,1721.5,3447.9,3451.6,944.9,1230.2,1505.1,1735.8,1408.5,1104.3,3.0,-12.0,-25.0,6222.0,242.0,175.0,15154.0,1.0,4.0,0.0,14.0,6.0,2.0,5131.0,2144.0,-815.0,15390.0,2.0,-7.0,1.0,1.0
2022-05-06 10:52:37.131378-07:00,2411.3,650.5,1428.6,1561.8,980.7,1947.9,1611.5,2056.4,3456.4,3445.5,2017.4,1940.0,1485.6,3445.5,1148.0,1757.9,3443.1,3449.1,866.3,1516.2,1366.6,696.2,1745.4,1726.3,3447.9,3451.6,944.9,1229.3,1505.1,1735.8,1410.3,1097.3,0.0,-9.0,-29.0,6222.0,242.0,175.0,15154.0,-4.0,3.0,1.0,12.0,6.0,-2.0,5131.0,2144.0,-815.0,15390.0,-6.0,-16.0,3.0,1.0
2022-05-06 10:52:37.132230-07:00,2411.3,650.5,1428.6,1561.8,979.9,1953.9,1605.8,2058.4,3456.4,3445.5,2017.4,1940.0,1481.0,3449.1,1144.5,1755.0,3447.9,3444.3,867.9,1514.3,1366.6,696.2,1745.4,1726.3,3450.4,3458.9,943.2,1231.0,1505.1,1735.8,1410.3,1097.3,0.0,-14.0,-24.0,6222.0,242.0,175.0,15154.0,3.0,2.0,0.0,12.0,3.0,0.0,5131.0,2144.0,-815.0,15390.0,1.0,0.0,1.0,1.0
2022-05-06 10:52:37.160839-07:00,2418.7,647.3,1433.2,1568.3,979.9,1953.9,1605.8,2058.4,3451.6,3456.4,2007.4,1941.0,1481.0,3449.1,1144.5,1755.0,3447.9,3444.3,867.9,1514.3,1369.4,698.7,1740.6,1724.4,3450.4,3458.9,943.2,1231.0,1505.1,1733.9,1412.2,1099.0,-1.0,-12.0,-28.0,6222.0,242.0,175.0,15154.0,2.0,-3.0,-1.0,13.0,9.0,-3.0,5131.0,2144.0,-815.0,15390.0,-4.0,-7.0,1.0,1.0
2022-05-06 10:52:37.220042-07:00,2418.7,647.3,1433.2,1568.3,976.5,1944.0,1614.3,2063.5,3451.6,3456.4,2007.4,1941.0,1481.0,3454.0,1144.5,1754.1,3451.6,3441.9,865.4,1519.0,1369.4,698.7,1740.6,1724.4,3457.6,3447.9,962.0,1227.5,1505.1,1733.9,1412.2,1099.0,3.0,-12.0,-27.0,6222.0,242.0,175.0,15154.0,2.0,0.0,-1.0,15.0,6.0,-4.0,5131.0,2144.0,-815.0,15390.0,-2.0,2.0,0.0,1.0
2022-05-06 10:52:37.250725-07:00,2412.4,648.1,1441.5,1562.7,976.5,1944.0,1614.3,2063.5,3452.8,3443.1,2013.4,1935.1,1481.0,3454.0,1144.5,1754.1,3451.6,3441.9,865.4,1519.0,1367.6,696.2,1740.6,1721.5,3457.6,3447.9,962.0,1227.5,1506.9,1732.0,1406.7,1103.4,0.0,-8.0,-28.0,6222.0,242.0,175.0,15154.0,-5.0,0.0,0.0,17.0,5.0,-3.0,5131.0,2144.0,-815.0,15390.0,0.0,3.0,1.0,1.0
2022-05-06 10:52:37.310798-07:00,2412.4,648.1,1441.5,1562.7,974.8,1952.9,1610.5,2054.4,3452.8,3443.1,2013.4,1935.1,1485.6,3449.1,1144.5,1758.9,3446.7,3449.1,864.6,1517.1,1367.6,696.2,1740.6,1721.5,3447.9,3454.0,944.1,1231.0,1506.9,1732.0,1406.7,1103.4,-3.0,-10.0,-24.0,6222.0,242.0,175.0,15154.0,-2.0,0.0,0.0,19.0,4.0,-6.0,5131.0,2145.0,-815.0,15390.0,3.0,5.0,-2.0,1.0
2022-05-06 10:52:37.370741-07:00,2418.7,650.5,1432.3,1560.9,974.8,1952.9,1610.5,2060.5,3443.1,3447.9,2011.4,1937.1,1485.6,3449.1,1144.5,1760.8,3449.1,3449.1,864.6,1517.1,1363.9,699.5,1739.7,1720.5,3449.1,3454.0,944.1,1231.0,1511.5,1731.1,1409.4,1096.4,-1.0,-8.0,-22.0,6222.0,242.0,175.0,15154.0,-1.0,3.0,-1.0,13.0,6.0,-5.0,5131.0,2144.0,-815.0,15390.0,-2.0,3.0,-1.0,1.0
2022-05-06 10:52:37.402011-07:00,2411.3,650.5,1432.3,1560.9,984.2,1951.9,1611.5,2060.5,3447.9,3447.9,2011.4,1937.1,1489.3,3447.9,1145.4,1760.8,3449.1,3455.2,864.6,1524.5,1363.9,699.5,1739.7,1723.4,3449.1,3456.4,950.0,1231.0,1511.5,1731.1,1409.4,1094.7,2.0,-7.0,-26.0,6222.0,242.0,175.0,15154.0,0.0,9.0,-1.0,10.0,9.0,-1.0,5131.0,2145.0,-815.0,15390.0,1.0,-21.0,4.0,1.0
2022-05-06 10:52:37.460733-07:00,2411.3,648.1,1427.7,1568.3,984.2,1951.9,1611.5,2061.5,3447.9,3443.1,2012.4,1935.1,1489.3,3447.9,1145.4,1762.7,3438.2,3455.2,864.6,1524.5,1365.7,694.6,1747.3,1723.4,3452.8,3456.4,950.0,1231.0,1504.1,1733.0,1409.4,1094.7,-1.0,-9.0,-23.0,6222.0,242.0,175.0,15154.0,0.0,1.0,-1.0,14.0,6.0,-2.0,5131.0,2144.0,-815.0,15390.0,-3.0,2.0,1.0,1.0
2022-05-06 10:52:37.520750-07:00,2409.2,648.1,1427.7,1568.3,973.1,1945.9,1610.5,2061.5,3450.4,3443.1,2012.4,1935.1,1489.3,3450.4,1144.5,1762.7,3438.2,3451.6,865.4,1524.5,1365.7,694.6,1747.3,1716.7,3452.8,3447.9,953.4,1231.0,1504.1,1733.0,1409.4,1101.7,-1.0,-12.0,-27.0,6222.0,242.0,175.0,15154.0,4.0,1.0,0.0,16.0,4.0,1.0,5131.0,2144.0,-815.0,15390.0,0.0,-12.0,3.0,1.0
2022-05-06 10:52:37.550071-07:00,2409.2,645.7,1431.4,1557.1,973.1,1945.9,1610.5,2063.5,3450.4,3451.6,2014.4,1939.0,1489.3,3450.4,1144.5,1754.1,3446.7,3451.6,865.4,1524.5,1368.5,701.1,1744.5,1716.7,3458.9,3447.9,953.4,1231.0,1510.6,1733.0,1412.2,1101.7,-3.0,-12.0,-26.0,6222.0,242.0,175.0,15154.0,-2.0,-6.0,-1.0,16.0,4.0,-3.0,5131.0,2143.0,-815.0,15390.0,-3.0,15.0,-4.0,1.0
2022-05-06 10:52:37.610260-07:00,2417.6,645.7,1431.4,1557.1,982.5,1949.9,1612.4,2063.5,3454.0,3451.6,2014.4,1939.0,1483.8,3451.6,1139.2,1754.1,3446.7,3445.5,872.1,1517.1,1368.5,701.1,1744.5,1717.7,3458.9,3452.8,949.2,1239.1,1510.6,1733.0,1412.2,1096.4,0.0,-10.0,-25.0,6222.0,242.0,175.0,15154.0,4.0,0.0,1.0,14.0,6.0,0.0,5131.0,2143.0,-815.0,15390.0,3.0,-1.0,4.0,1.0
2022-05-06 10:52:37.670896-07:00,2417.6,644.0,1433.2,1559.0,982.5,1949.9,1613.4,2063.5,3454.0,3450.4,2011.4,1940.0,1483.8,3451.6,1144.5,1758.9,3447.9,3449.1,872.1,1517.1,1367.6,695.4,1733.9,1717.7,3455.2,3454.0,949.2,1239.1,1513.4,1733.0,1412.2,1096.4,-2.0,-7.0,-24.0,6222.0,242.0,175.0,15154.0,-2.0,-2.0,-1.0,19.0,6.0,-2.0,5131.0,2143.0,-815.0,15390.0,-4.0,13.0,-1.0,1.0
2022-05-06 10:52:37.700745-07:00,2415.5,650.5,1433.2,1559.0,975.6,1947.9,1613.4,2063.5,3446.7,3446.7,2011.4,1940.0,1484.7,3457.6,1144.5,1758.9,3447.9,3449.1,863.7,1520.8,1367.6,695.4,1741.6,1719.6,3455.2,3454.0,950.9,1239.1,1513.4,1733.0,1410.3,1103.4,-2.0,-11.0,-27.0,6222.0,242.0,175.0,15154.0,-2.0,5.0,1.0,16.0,4.0,1.0,5131.0,2142.0,-814.0,15390.0,4.0,-1.0,0.0,1.0
2022-05-06 10:52:37.790670-07:00,2415.5,650.5,1424.1,1560.9,975.6,1947.9,1611.5,2071.5,3446.7,3446.7,2009.4,1943.0,1484.7,3457.6,1138.4,1750.2,3447.9,3454.0,863.7,1520.8,1369.4,697.0,1741.6,1719.6,3451.6,3454.0,950.9,1239.1,1509.7,1732.0,1410.3,1103.4,0.0,-8.0,-26.0,6222.0,242.0,175.0,15154.0,3.0,1.0,0.0,16.0,5.0,-5.0,5131.0,2143.0,-815.0,15390.0,-6.0,14.0,0.0,1.0
2022-05-06 10:52:37.850236-07:00,2420.8,646.5,1424.1,1560.9,976.5,1943.0,1611.5,2071.5,3443.1,3462.5,2009.4,1943.0,1481.9,3452.8,1138.4,1750.2,3447.9,3454.0,864.6,1514.3,1369.4,697.0,1741.6,1716.7,3451.6,3454.0,953.4,1229.3,1509.7,1732.0,1407.6,1098.2,0.0,-9.0,-29.0,6222.0,242.0,175.0,15154.0,2.0,4.0,-1.0,19.0,6.0,0.0,5131.0,2142.0,-814.0,15390.0,1.0,-5.0,0.0,1.0
2022-05-06 10:52:37.851279-07:00,2420.8,646.5,1430.5,1563.7,976.5,1943.0,1615.2,2060.5,3443.1,3462.5,2011.4,1939.0,1481.9,3452.8,1145.4,1757.0,3446.7,3450.4,864.6,1514.3,1365.7,699.5,1741.6,1716.7,3445.5,3450.4,953.4,1229.3,1507.8,1732.0,1407.6,1098.2,0.0,-8.0,-30.0,6222.0,242.0,175.0,15154.0,3.0,0.0,0.0,16.0,4.0,-7.0,5131.0,2143.0,-815.0,15390.0,-2.0,6.0,0.0,1.0
2022-05-06 10:52:37.970268-07:00,2418.7,657.0,1430.5,1563.7,975.6,1946.9,1615.2,2060.5,3447.9,3450.4,2011.4,1939.0,1493.0,3443.1,1145.4,1757.0,3446.7,3450.4,869.6,1520.8,1365.7,699.5,1746.4,1712.9,3445.5,3450.4,953.4,1232.8,1507.8,1732.0,1409.4,1094.7,-2.0,-10.0,-28.0,6222.0,242.0,175.0,15154.0,0.0,-4.0,-1.0,17.0,1.0,2.0,5131.0,2143.0,-815.0,15390.0,1.0,-14.0,1.0,1.0
2022-05-06 10:52:37.971389-07:00,2418.7,657.0,1427.7,1560.9,975.6,1951.9,1602.1,2062.5,3447.9,3450.4,2019.4,1938.0,1493.0,3445.5,1147.1,1757.9,3438.2,3447.9,868.8,1520.8,1360.3,697.0,1746.4,1712.9,3450.4,3454.0,948.3,1232.8,1509.7,1736.8,1409.4,1094.7,3.0,-12.0,-27.0,6222.0,242.0,175.0,15154.0,1.0,-4.0,2.0,11.0,3.0,-8.0,5131.0,2142.0,-814.0,15390.0,0.0,-2.0,1.0,1.0
2022-05-06 10:52:38.000236-07:00,2415.5,653.8,1431.4,1560.9,978.2,1951.9,1602.1,2062.5,3458.9,3449.1,2006.4,1938.0,1492.1,3445.5,1147.1,1757.9,3438.2,3447.9,868.8,1518.0,1360.3,699.5,1736.8,1720.5,3450.4,3454.0,948.3,1228.4,1509.7,1735.8,1408.5,1097.3,-3.0,-7.0,-32.0,6222.0,242.0,175.0,15154.0,0.0,-9.0,-1.0,16.0,5.0,0.0,5132.0,2140.0,-814.0,15390.0,-2.0,-14.0,3.0,1.0
2022-05-06 10:52:38.061157-07:00,2415.5,653.8,1431.4,1559.9,978.2,1948.9,1619.0,2061.5,3458.9,3449.1,2006.4,1944.0,1492.1,3452.8,1139.2,1760.8,3439.5,3446.7,867.9,1518.0,1360.3,699.5,1736.8,1720.5,3458.9,3449.1,953.4,1228.4,1506.9,1735.8,1408.5,1097.3,0.0,-8.0,-26.0,6222.0,242.0,175.0,15154.0,-4.0,2.0,-2.0,14.0,8.0,-3.0,5132.0,2141.0,-814.0,15390.0,-7.0,1.0,1.0,1.0
2022-05-06 10:52:38.180309-07:00,2412.4,654.6,1434.1,1559.9,979.9,1948.9,1619.0,2061.5,3447.9,3441.9,2010.4,1944.0,1490.3,3452.8,1139.2,1760.8,3439.5,3446.7,867.9,1519.9,1360.3,700.3,1738.7,1723.4,3458.9,3449.1,953.4,1234.6,1506.9,1735.8,1409.4,1100.8,0.0,-11.0,-26.0,6222.0,242.0,175.0,15154.0,-1.0,-2.0,1.0,18.0,6.0,0.0,5132.0,2140.0,-814.0,15390.0,1.0,-16.0,4.0,1.0
2022-05-06 10:52:38.181370-07:00,2412.4,654.6,1434.1,1559.9,979.9,1951.9,1619.0,2059.4,3447.9,3441.9,2010.4,1943.0,1490.3,3451.6,1147.1,1754.1,3445.5,3444.3,869.6,1519.9,1371.2,700.3,1738.7,1723.4,3452.8,3447.9,948.3,1234.6,1506.9,1735.8,1409.4,1100.8,0.0,-11.0,-21.0,6222.0,242.0,175.0,15154.0,-1.0,-1.0,0.0,17.0,1.0,-6.0,5132.0,2141.0,-814.0,15390.0,-5.0,14.0,-2.0,1.0
2022-05-06 10:52:38.240264-07:00,2407.1,660.3,1432.3,1559.9,984.2,1951.9,1619.0,2059.4,3451.6,3440.7,2008.4,1943.0,1484.7,3451.6,1147.1,1754.1,3445.5,3444.3,869.6,1522.7,1371.2,696.2,1735.8,1719.6,3452.8,3447.9,948.3,1229.3,1506.9,1732.0,1404.9,1096.4,-1.0,-10.0,-25.0,6222.0,242.0,175.0,15154.0,2.0,-3.0,0.0,15.0,3.0,1.0,5132.0,2140.0,-814.0,15390.0,1.0,-10.0,2.0,1.0
2022-05-06 10:52:38.270153-07:00,2407.1,660.3,1432.3,1559.9,980.7,1948.9,1606.8,2065.5,3451.6,3440.7,2008.4,1943.0,1485.6,3445.5,1141.9,1748.3,3443.1,3443.1,865.4,1518.0,1363.9,696.2,1735.8,1719.6,3449.1,3449.1,946.6,1231.9,1506.0,1732.0,1404.9,1096.4,-2.0,-8.0,-29.0,6222.0,242.0,175.0,15154.0,2.0,0.0,0.0,16.0,5.0,-6.0,5132.0,2140.0,-814.0,15390.0,-4.0,13.0,-1.0,1.0
2022-05-06 10:52:38.360218-07:00,2410.3,656.2,1431.4,1559.0,980.7,1948.9,1606.8,2065.5,3451.6,3455.2,2015.4,1941.0,1485.6,3445.5,1141.9,1748.3,3443.1,3443.1,865.4,1518.0,1372.1,696.2,1736.8,1722.4,3449.1,3449.1,946.6,1231.9,1513.4,1730.1,1408.5,1101.7,0.0,-11.0,-27.0,6222.0,242.0,175.0,15154.0,-3.0,-1.0,-2.0,13.0,5.0,2.0,5132.0,2139.0,-813.0,15390.0,3.0,-18.0,4.0,1.0
2022-05-06 10:52:38.361389-07:00,2410.3,656.2,1431.4,1559.0,984.2,1948.9,1614.3,2063.5,3451.6,3455.2,2015.4,1941.0,1486.6,3454.0,1139.2,1752.1,3445.5,3450.4,867.9,1513.4,1372.1,696.2,1736.8,1722.4,3447.9,3454.0,944.1,1239.1,1513.4,1730.1,1408.5,1101.7,-3.0,-10.0,-26.0,6222.0,243.0,175.0,15154.0,1.0,3.0,-2.0,17.0,5.0,-6.0,5132.0,2139.0,-813.0,15390.0,-2.0,14.0,-2.0,1.0
2022-05-06 10:52:38.480129-07:00,2416.6,652.2,1432.3,1559.9,984.2,1948.9,1614.3,2063.5,3451.6,3446.7,2006.4,1937.1,1486.6,3454.0,1139.2,1752.1,3445.5,3450.4,867.9,1513.4,1366.6,694.6,1736.8,1720.5,3447.9,3454.0,944.1,1239.1,1508.8,1732.0,1405.8,1099.9,-2.0,-9.0,-24.0,6222.0,243.0,175.0,15154.0,-2.0,-1.0,1.0,17.0,5.0,1.0,5132.0,2137.0,-813.0,15391.0,1.0,-9.0,2.0,1.0
2022-05-06 10:52:38.541332-07:00,2416.6,652.2,1432.3,1559.9,977.3,1943.0,1616.2,2059.4,3451.6,3446.7,2006.4,1937.1,1487.5,3449.1,1147.1,1753.1,3452.8,3452.8,867.1,1517.1,1366.6,694.6,1736.8,1720.5,3447.9,3450.4,947.5,1234.6,1508.8,1732.0,1405.8,1099.9,-2.0,-10.0,-27.0,6222.0,243.0,175.0,15154.0,1.0,5.0,-2.0,15.0,7.0,-2.0,5132.0,2134.0,-812.0,15391.0,2.0,-16.0,3.0,1.0
2022-05-06 10:52:38.542876-07:00,2412.4,647.3,1432.3,1555.3,977.3,1943.0,1616.2,2059.4,3451.6,3454.0,2010.4,1944.0,1487.5,3449.1,1147.1,1753.1,3452.8,3452.8,867.1,1517.1,1368.5,696.2,1746.4,1721.5,3447.9,3450.4,947.5,1234.6,1499.5,1731.1,1406.7,1102.5,1.0,-10.0,-26.0,6222.0,243.0,175.0,15154.0,-4.0,-2.0,1.0,18.0,3.0,-1.0,5132.0,2136.0,-812.0,15391.0,-4.0,10.0,0.0,1.0
2022-05-06 10:52:38.630224-07:00,2412.4,647.3,1432.3,1555.3,983.3,1947.9,1607.7,2054.4,3454.0,3454.0,2010.4,1944.0,1489.3,3447.9,1144.5,1754.1,3444.3,3443.1,864.6,1518.0,1368.5,696.2,1746.4,1718.6,3447.9,3463.7,945.8,1235.5,1499.5,1731.1,1406.7,1099.9,1.0,-8.0,-28.0,6222.0,243.0,175.0,15154.0,6.0,1.0,0.0,16.0,9.0,-1.0,5132.0,2134.0,-812.0,15391.0,4.0,1.0,-1.0,1.0
2022-05-06 10:52:38.631774-07:00,2412.4,648.1,1432.3,1572.1,983.3,1947.9,1607.7,2056.4,3454.0,3444.3,2006.4,1944.0,1489.3,3447.9,1144.5,1750.2,3450.4,3443.1,864.6,1518.0,1363.9,696.2,1740.6,1718.6,3451.6,3463.7,945.8,1235.5,1507.8,1734.9,1408.5,1099.9,-1.0,-9.0,-23.0,6222.0,243.0,175.0,15154.0,0.0,3.0,1.0,16.0,6.0,0.0,5132.0,2135.0,-812.0,15391.0,-4.0,13.0,-2.0,1.0
2022-05-06 10:52:38.659987-07:00,2413.4,648.1,1432.3,1572.1,980.7,1947.9,1604.9,2056.4,3452.8,3444.3,2006.4,1944.0,1484.7,3454.0,1146.3,1750.2,3450.4,3445.5,867.1,1515.3,1363.9,696.2,1740.6,1713.8,3451.6,3450.4,945.8,1239.9,1507.8,1734.9,1408.5,1100.8,-3.0,-9.0,-31.0,6222.0,243.0,175.0,15154.0,1.0,4.0,0.0,16.0,6.0,-4.0,5132.0,2134.0,-812.0,15391.0,1.0,1.0,0.0,1.0
