Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:40:13.849128-07:00,1173.5,727.4,1055.6,1006.5,888.2,805.2,1532.9,1346.7,3472.2,3472.2,1055.6,890.7,1550.6,3471.0,1326.8,1217.7,3471.0,3480.7,272.9,510.7,752.9,1170.0,497.2,1744.5,3477.1,3467.4,648.1,746.3,1721.5,1092.9,1019.4,872.1,-1.0,-9.0,1.0,6595.0,-6354.0,10826.0,-8208.0,17.0,2.0,-8.0,1.0,-3.0,7.0,4452.0,-11685.0,-10158.0,2983.0,10.0,1.0,1.0,1.0
2022-05-06 11:40:13.879405-07:00,1173.5,727.4,1046.1,1008.2,888.2,805.2,1537.6,1341.3,3472.2,3472.2,1056.5,894.1,1550.6,3471.0,1331.4,1199.1,3468.6,3485.6,272.9,510.7,752.9,1165.6,497.2,1744.5,3475.9,3479.5,648.1,746.3,1720.5,1099.9,1019.4,872.1,0.0,-10.0,8.0,6597.0,-6356.0,10824.0,-8207.0,-3.0,-15.0,0.0,1.0,-8.0,4.0,4455.0,-11684.0,-10157.0,2986.0,8.0,-8.0,-3.0,1.0
2022-05-06 11:40:14.029335-07:00,1170.9,732.3,1046.1,1008.2,890.7,805.2,1537.6,1341.3,3466.1,3471.0,1056.5,894.1,1551.5,3474.6,1331.4,1199.1,3468.6,3485.6,268.3,502.8,752.9,1165.6,503.6,1741.6,3475.9,3479.5,636.7,740.6,1720.5,1099.9,1026.3,870.5,-1.0,-10.0,4.0,6598.0,-6357.0,10823.0,-8207.0,-4.0,7.0,0.0,1.0,-3.0,5.0,4455.0,-11684.0,-10157.0,2986.0,-13.0,2.0,3.0,1.0
2022-05-06 11:40:14.059231-07:00,1170.9,732.3,1044.4,1003.0,890.7,805.2,1544.1,1341.3,3466.1,3471.0,1050.4,895.7,1551.5,3474.6,1324.1,1208.9,3473.4,3472.2,268.3,502.8,757.1,1162.1,503.6,1741.6,3479.5,3478.3,636.7,740.6,1720.5,1103.4,1026.3,870.5,1.0,-6.0,-2.0,6595.0,-6354.0,10825.0,-8209.0,-2.0,1.0,-5.0,0.0,-6.0,4.0,4453.0,-11685.0,-10157.0,2984.0,-8.0,-1.0,1.0,1.0
2022-05-06 11:40:14.060281-07:00,1174.4,732.3,1044.4,1003.0,894.1,797.7,1544.1,1341.3,3464.9,3478.3,1050.4,895.7,1556.2,3477.1,1324.1,1208.9,3473.4,3472.2,265.3,512.3,757.1,1162.1,502.0,1746.4,3479.5,3478.3,636.7,745.5,1720.5,1103.4,1024.5,875.5,1.0,-4.0,12.0,6599.0,-6357.0,10822.0,-8207.0,14.0,-3.0,-8.0,1.0,-4.0,9.0,4454.0,-11684.0,-10157.0,2985.0,16.0,-6.0,0.0,1.0
2022-05-06 11:40:14.092188-07:00,1174.4,732.3,1044.4,1003.0,894.1,797.7,1532.9,1351.2,3464.9,3478.3,1053.0,897.4,1556.2,3466.1,1325.9,1199.1,3474.6,3472.2,282.1,512.3,756.3,1167.4,502.0,1746.4,3480.7,3472.2,640.8,745.5,1725.3,1097.3,1024.5,875.5,-1.0,-14.0,8.0,6596.0,-6356.0,10824.0,-8208.0,-10.0,17.0,11.0,-1.0,-4.0,4.0,4455.0,-11684.0,-10157.0,2986.0,-7.0,1.0,0.0,1.0
2022-05-06 11:40:14.149451-07:00,1163.0,729.0,1046.1,1003.0,890.7,797.7,1532.9,1351.2,3462.5,3468.6,1052.2,897.4,1559.9,3466.1,1325.9,1199.1,3474.6,3472.2,282.1,513.9,756.3,1164.7,502.8,1744.5,3480.7,3472.2,640.8,744.7,1725.3,1099.0,1019.4,874.7,-4.0,-8.0,-1.0,6596.0,-6353.0,10825.0,-8208.0,-7.0,-2.0,-3.0,0.0,-3.0,5.0,4455.0,-11684.0,-10157.0,2986.0,-7.0,-5.0,1.0,1.0
2022-05-06 11:40:14.179286-07:00,1163.0,729.0,1046.1,1008.2,890.7,799.4,1530.1,1346.7,3462.5,3468.6,1052.2,896.6,1559.9,3471.0,1326.8,1202.7,3472.2,3468.6,275.2,513.9,757.9,1164.7,502.8,1744.5,3479.5,3472.2,637.6,744.7,1720.5,1099.0,1019.4,874.7,3.0,-6.0,7.0,6597.0,-6353.0,10824.0,-8209.0,11.0,3.0,-9.0,1.0,-7.0,4.0,4455.0,-11684.0,-10157.0,2986.0,14.0,1.0,-9.0,1.0
2022-05-06 11:40:14.299933-07:00,1175.3,736.5,1046.1,1008.2,889.8,799.4,1530.1,1346.7,3464.9,3464.9,1056.5,896.6,1550.6,3471.0,1326.8,1202.7,3472.2,3468.6,275.2,507.5,757.9,1160.3,500.4,1742.6,3479.5,3472.2,637.6,739.7,1720.5,1100.8,1032.3,878.0,0.0,-13.0,3.0,6597.0,-6354.0,10823.0,-8210.0,-9.0,-3.0,1.0,2.0,-6.0,4.0,4456.0,-11683.0,-10157.0,2986.0,-12.0,5.0,-5.0,1.0
2022-05-06 11:40:14.301314-07:00,1175.3,736.5,1046.1,1006.5,889.8,799.4,1541.3,1349.4,3464.9,3464.9,1056.5,895.7,1550.6,3467.4,1326.8,1210.6,3477.1,3474.6,275.2,507.5,756.3,1160.3,500.4,1742.6,3477.1,3485.6,636.7,739.7,1722.4,1100.8,1032.3,878.0,0.0,-6.0,0.0,6597.0,-6354.0,10823.0,-8210.0,1.0,-5.0,-8.0,2.0,-5.0,5.0,4454.0,-11684.0,-10158.0,2985.0,1.0,3.0,-1.0,1.0
2022-05-06 11:40:14.329297-07:00,1177.0,741.4,1043.5,1001.3,890.7,799.4,1541.3,1349.4,3467.4,3467.4,1048.7,899.1,1551.5,3467.4,1326.8,1210.6,3477.1,3474.6,275.2,509.9,762.0,1160.3,500.4,1762.7,3477.1,3485.6,636.7,743.0,1720.5,1100.8,1038.3,873.8,-3.0,-11.0,9.0,6597.0,-6355.0,10823.0,-8210.0,8.0,5.0,-3.0,0.0,-4.0,8.0,4454.0,-11684.0,-10158.0,2985.0,-5.0,0.0,-6.0,1.0
2022-05-06 11:40:14.389183-07:00,1177.0,741.4,1043.5,1001.3,885.6,802.7,1535.7,1352.1,3467.4,3467.4,1048.7,899.1,1556.2,3469.8,1324.1,1211.5,3473.4,3479.5,272.9,515.5,762.0,1160.3,500.4,1762.7,3488.0,3474.6,643.2,738.1,1720.5,1100.8,1038.3,873.8,0.0,-10.0,0.0,6596.0,-6357.0,10821.0,-8212.0,16.0,1.0,-17.0,2.0,-6.0,2.0,4455.0,-11684.0,-10158.0,2983.0,-12.0,13.0,-11.0,1.0
2022-05-06 11:40:14.449501-07:00,1177.0,737.3,1058.2,1007.3,885.6,802.7,1535.7,1352.1,3489.2,3478.3,1056.5,893.2,1556.2,3469.8,1324.1,1211.5,3473.4,3479.5,272.9,515.5,755.4,1153.3,498.0,1747.3,3488.0,3474.6,643.2,738.1,1719.6,1083.4,1021.9,874.7,7.0,-9.0,8.0,6594.0,-6362.0,10817.0,-8213.0,0.0,-6.0,-11.0,3.0,-6.0,7.0,4458.0,-11681.0,-10160.0,2982.0,12.0,-5.0,-13.0,1.0
2022-05-06 11:40:14.539351-07:00,1177.0,737.3,1058.2,1007.3,900.0,796.0,1541.3,1341.3,3489.2,3478.3,1056.5,893.2,1559.0,3474.6,1325.0,1214.2,3478.3,3473.4,269.9,508.3,755.4,1153.3,498.0,1747.3,3479.5,3481.9,640.8,739.7,1719.6,1083.4,1021.9,874.7,0.0,-6.0,2.0,6593.0,-6360.0,10817.0,-8217.0,-15.0,14.0,-2.0,1.0,-6.0,5.0,4459.0,-11680.0,-10161.0,2981.0,-10.0,13.0,-10.0,1.0
2022-05-06 11:40:14.540781-07:00,1182.3,733.2,1042.6,1010.8,900.0,796.0,1541.3,1341.3,3481.9,3478.3,1051.3,889.8,1559.0,3474.6,1325.0,1214.2,3478.3,3473.4,269.9,508.3,754.6,1160.3,505.1,1742.6,3479.5,3481.9,640.8,739.7,1711.9,1100.8,1027.1,876.4,-2.0,-11.0,2.0,6589.0,-6360.0,10820.0,-8215.0,1.0,1.0,-9.0,1.0,-5.0,3.0,4457.0,-11681.0,-10163.0,2974.0,-2.0,11.0,-5.0,1.0
2022-05-06 11:40:14.599392-07:00,1185.9,733.2,1042.6,1010.8,893.2,812.7,1536.6,1343.1,3479.5,3478.3,1051.3,889.8,1552.5,3479.5,1322.3,1210.6,3481.9,3475.9,262.2,511.5,754.6,1160.3,505.1,1745.4,3478.3,3477.1,643.2,741.4,1711.9,1100.8,1027.1,872.1,4.0,-5.0,6.0,6590.0,-6362.0,10819.0,-8214.0,10.0,3.0,-11.0,2.0,-4.0,4.0,4459.0,-11680.0,-10163.0,2975.0,16.0,0.0,-6.0,1.0
2022-05-06 11:40:14.629395-07:00,1185.9,734.0,1052.2,1006.5,893.2,812.7,1536.6,1343.1,3479.5,3478.3,1052.2,889.8,1552.5,3479.5,1322.3,1200.9,3483.2,3475.9,262.2,511.5,751.3,1158.6,503.6,1745.4,3474.6,3477.1,643.2,741.4,1722.4,1101.7,1026.3,872.1,0.0,-10.0,7.0,6589.0,-6363.0,10818.0,-8215.0,-1.0,11.0,-5.0,1.0,-6.0,6.0,4457.0,-11681.0,-10163.0,2974.0,-13.0,8.0,-4.0,1.0
2022-05-06 11:40:14.689824-07:00,1170.9,734.0,1052.2,1006.5,889.8,802.7,1540.3,1343.1,3477.1,3478.3,1052.2,889.8,1549.7,3478.3,1312.4,1200.9,3483.2,3477.1,267.6,508.3,751.3,1158.6,503.6,1747.3,3474.6,3485.6,640.8,738.1,1722.4,1101.7,1026.3,874.7,-1.0,-5.0,-1.0,6590.0,-6362.0,10818.0,-8217.0,2.0,-15.0,-9.0,5.0,-4.0,6.0,4457.0,-11681.0,-10163.0,2972.0,7.0,-1.0,-8.0,1.0
2022-05-06 11:40:14.779191-07:00,1170.9,735.6,1054.8,1009.9,889.8,802.7,1540.3,1338.6,3477.1,3471.0,1051.3,896.6,1549.7,3478.3,1312.4,1203.5,3484.4,3477.1,267.6,508.3,752.9,1164.7,502.0,1747.3,3484.4,3485.6,640.8,738.1,1730.1,1096.4,1020.2,874.7,3.0,-13.0,8.0,6591.0,-6366.0,10813.0,-8219.0,17.0,7.0,-8.0,3.0,-4.0,5.0,4464.0,-11677.0,-10163.0,2976.0,10.0,0.0,-6.0,1.0
2022-05-06 11:40:14.869110-07:00,1172.6,735.6,1054.8,1009.9,886.5,795.2,1536.6,1338.6,3464.9,3471.0,1051.3,896.6,1550.6,3467.4,1326.8,1203.5,3484.4,3477.1,273.7,508.3,752.9,1164.7,502.0,1749.3,3484.4,3488.0,635.9,726.6,1730.1,1096.4,1020.2,871.3,2.0,-11.0,-1.0,6592.0,-6365.0,10811.0,-8221.0,-3.0,-3.0,-6.0,2.0,-4.0,1.0,4462.0,-11679.0,-10163.0,2972.0,-12.0,5.0,-3.0,1.0
2022-05-06 11:40:14.870275-07:00,1172.6,734.0,1045.2,1011.6,886.5,795.2,1536.6,1342.2,3464.9,3479.5,1053.0,900.8,1550.6,3467.4,1326.8,1206.2,3469.8,3477.1,273.7,508.3,752.1,1166.5,508.3,1749.3,3474.6,3488.0,635.9,726.6,1713.8,1103.4,1028.8,871.3,4.0,-6.0,8.0,6594.0,-6367.0,10810.0,-8220.0,6.0,-5.0,-16.0,3.0,-6.0,7.0,4464.0,-11678.0,-10164.0,2973.0,7.0,3.0,-4.0,1.0
2022-05-06 11:40:14.871797-07:00,1169.1,731.5,1045.2,1011.6,892.4,801.0,1556.2,1342.2,3472.2,3477.1,1053.0,900.8,1556.2,3478.3,1324.1,1206.2,3469.8,3475.9,269.1,513.1,752.1,1166.5,501.2,1747.3,3474.6,3480.7,640.0,739.7,1713.8,1103.4,1023.7,874.7,3.0,-11.0,2.0,6592.0,-6371.0,10804.0,-8226.0,3.0,2.0,-11.0,4.0,-5.0,7.0,4464.0,-11678.0,-10164.0,2973.0,3.0,4.0,-6.0,1.0
2022-05-06 11:40:14.929366-07:00,1169.1,731.5,1045.2,1003.9,892.4,801.0,1536.6,1355.8,3472.2,3477.1,1061.7,891.5,1556.2,3478.3,1318.7,1208.0,3477.1,3473.4,269.1,513.1,755.4,1153.3,501.2,1747.3,3472.2,3474.6,640.0,739.7,1719.6,1105.1,1023.7,874.7,4.0,-5.0,11.0,6591.0,-6372.0,10804.0,-8226.0,-10.0,6.0,-8.0,5.0,-4.0,6.0,4463.0,-11678.0,-10164.0,2973.0,-12.0,3.0,-5.0,1.0
2022-05-06 11:40:14.989201-07:00,1176.2,731.5,1045.2,1003.9,888.2,805.2,1536.6,1355.8,3466.1,3462.5,1061.7,891.5,1549.7,3478.3,1318.7,1208.0,3477.1,3473.4,269.1,507.5,755.4,1153.3,502.8,1741.6,3472.2,3474.6,642.4,742.2,1719.6,1105.1,1025.4,878.0,4.0,-14.0,2.0,6586.0,-6372.0,10805.0,-8228.0,-4.0,13.0,-2.0,7.0,-5.0,5.0,4462.0,-11678.0,-10164.0,2972.0,9.0,2.0,-5.0,1.0
2022-05-06 11:40:15.049352-07:00,1176.2,731.5,1049.6,1000.5,888.2,805.2,1532.9,1349.4,3466.1,3462.5,1053.0,898.3,1549.7,3478.3,1319.6,1203.5,3473.4,3478.3,269.1,507.5,754.6,1164.7,502.8,1741.6,3474.6,3478.3,642.4,742.2,1717.7,1098.2,1025.4,878.0,1.0,-8.0,-2.0,6583.0,-6370.0,10807.0,-8230.0,-1.0,6.0,-10.0,7.0,-3.0,9.0,4461.0,-11680.0,-10164.0,2968.0,-14.0,15.0,-1.0,1.0
2022-05-06 11:40:15.139247-07:00,1176.2,731.5,1049.6,1000.5,891.5,812.7,1532.9,1349.4,3468.6,3488.0,1053.0,898.3,1556.2,3466.1,1319.6,1203.5,3473.4,3478.3,267.6,517.1,754.6,1164.7,506.7,1744.5,3474.6,3478.3,635.1,741.4,1717.7,1098.2,1026.3,867.9,6.0,-6.0,6.0,6583.0,-6371.0,10807.0,-8229.0,7.0,-4.0,-6.0,6.0,-5.0,5.0,4460.0,-11680.0,-10164.0,2968.0,-3.0,6.0,1.0,1.0
2022-05-06 11:40:15.140292-07:00,1176.2,731.5,1049.6,1006.5,891.5,811.9,1532.0,1347.6,3468.6,3488.0,1051.3,889.0,1556.2,3471.0,1319.6,1204.4,3471.0,3478.3,269.9,517.1,758.7,1161.2,506.7,1744.5,3467.4,3488.0,644.0,741.4,1724.4,1097.3,1026.3,867.9,1.0,-10.0,1.0,6581.0,-6372.0,10805.0,-8233.0,-6.0,10.0,-5.0,7.0,-3.0,4.0,4460.0,-11680.0,-10164.0,2967.0,-2.0,7.0,-7.0,1.0
2022-05-06 11:40:15.169147-07:00,1171.8,738.9,1046.1,1006.5,892.4,811.9,1532.0,1347.6,3462.5,3472.2,1053.9,889.0,1550.6,3471.0,1319.6,1204.4,3471.0,3478.3,269.9,512.3,758.7,1163.0,500.4,1738.7,3467.4,3488.0,644.0,742.2,1724.4,1103.4,1026.3,878.0,6.0,-4.0,3.0,6581.0,-6372.0,10805.0,-8233.0,2.0,-4.0,-9.0,5.0,-4.0,6.0,4460.0,-11680.0,-10164.0,2967.0,-1.0,2.0,-2.0,1.0
2022-05-06 11:40:15.229336-07:00,1171.8,738.9,1046.1,1010.8,892.4,802.7,1531.0,1339.5,3462.5,3472.2,1053.9,892.4,1550.6,3472.2,1325.0,1214.2,3473.4,3483.2,267.6,512.3,756.3,1163.0,500.4,1738.7,3478.3,3469.8,636.7,742.2,1712.9,1103.4,1026.3,878.0,0.0,-13.0,5.0,6580.0,-6375.0,10802.0,-8235.0,9.0,2.0,-2.0,5.0,-5.0,4.0,4460.0,-11680.0,-10164.0,2967.0,9.0,-2.0,0.0,1.0
2022-05-06 11:40:15.319152-07:00,1171.8,727.4,1050.4,1010.8,892.4,802.7,1531.0,1339.5,3468.6,3473.4,1049.6,892.4,1556.2,3472.2,1325.0,1214.2,3473.4,3483.2,267.6,510.7,756.3,1156.8,505.1,1734.9,3478.3,3469.8,636.7,739.7,1712.9,1098.2,1028.8,872.1,7.0,-7.0,2.0,6580.0,-6375.0,10802.0,-8235.0,-4.0,-1.0,5.0,6.0,-4.0,6.0,4460.0,-11680.0,-10164.0,2966.0,-4.0,-3.0,2.0,1.0
2022-05-06 11:40:15.439765-07:00,1171.8,727.4,1050.4,1013.3,892.4,805.2,1542.2,1346.7,3468.6,3473.4,1049.6,899.1,1556.2,3477.1,1324.1,1202.7,3479.5,3472.2,270.6,510.7,754.6,1156.8,505.1,1734.9,3475.9,3480.7,640.8,739.7,1722.4,1098.2,1028.8,872.1,6.0,-8.0,5.0,6580.0,-6375.0,10802.0,-8235.0,7.0,3.0,-4.0,6.0,-5.0,8.0,4460.0,-11680.0,-10164.0,2966.0,-4.0,-7.0,6.0,1.0
2022-05-06 11:40:15.441004-07:00,1171.8,729.0,1051.3,1016.8,899.1,805.2,1542.2,1346.7,3471.0,3467.4,1056.5,894.1,1551.5,3477.1,1324.1,1202.7,3479.5,3472.2,270.6,512.3,759.6,1162.1,498.8,1744.5,3475.9,3480.7,640.8,742.2,1727.2,1097.3,1030.6,873.8,1.0,-11.0,4.0,6582.0,-6377.0,10803.0,-8231.0,-15.0,-15.0,13.0,5.0,-5.0,7.0,4459.0,-11680.0,-10165.0,2968.0,11.0,-11.0,3.0,1.0
2022-05-06 11:40:15.442479-07:00,1171.8,729.0,1051.3,1016.8,894.9,805.2,1541.3,1349.4,3471.0,3467.4,1056.5,894.1,1554.3,3473.4,1322.3,1208.0,3480.7,3474.6,272.1,514.7,759.6,1162.1,498.8,1744.5,3479.5,3472.2,645.7,739.7,1727.2,1097.3,1030.6,873.8,4.0,-4.0,3.0,6584.0,-6375.0,10804.0,-8228.0,6.0,9.0,-7.0,6.0,-4.0,9.0,4459.0,-11680.0,-10165.0,2968.0,-14.0,-1.0,7.0,1.0
2022-05-06 11:40:15.469128-07:00,1175.3,734.0,1043.5,1009.9,894.9,805.2,1541.3,1349.4,3478.3,3474.6,1055.6,899.1,1554.3,3473.4,1322.3,1208.0,3480.7,3474.6,272.1,514.7,753.8,1164.7,501.2,1740.6,3479.5,3472.2,645.7,739.7,1724.4,1093.8,1021.1,873.0,0.0,-7.0,0.0,6584.0,-6375.0,10804.0,-8229.0,-1.0,-9.0,-3.0,5.0,-4.0,6.0,4459.0,-11680.0,-10165.0,2968.0,-3.0,-5.0,4.0,1.0
2022-05-06 11:40:15.529206-07:00,1175.3,734.0,1043.5,1009.9,892.4,798.5,1544.1,1344.0,3478.3,3474.6,1055.6,899.1,1553.4,3471.0,1328.7,1207.1,3483.2,3480.7,265.3,511.5,753.8,1164.7,501.2,1740.6,3474.6,3473.4,640.8,741.4,1724.4,1093.8,1021.1,873.0,8.0,-9.0,9.0,6587.0,-6376.0,10804.0,-8226.0,-1.0,-9.0,12.0,5.0,-6.0,8.0,4459.0,-11679.0,-10165.0,2971.0,14.0,-11.0,11.0,1.0
2022-05-06 11:40:15.679209-07:00,1168.2,724.9,1040.1,1008.2,892.4,798.5,1544.1,1344.0,3474.6,3483.2,1050.4,897.4,1553.4,3471.0,1328.7,1207.1,3483.2,3480.7,265.3,511.5,755.4,1163.0,501.2,1746.4,3474.6,3473.4,640.8,741.4,1719.6,1100.8,1024.5,871.3,1.0,-10.0,1.0,6588.0,-6375.0,10805.0,-8225.0,3.0,5.0,15.0,3.0,-6.0,5.0,4457.0,-11680.0,-10162.0,2977.0,0.0,-10.0,16.0,1.0
2022-05-06 11:40:15.709143-07:00,1168.2,724.9,1040.1,1008.2,883.9,801.0,1532.0,1346.7,3474.6,3483.2,1050.4,897.4,1556.2,3473.4,1325.9,1209.7,3468.6,3484.4,265.3,511.5,755.4,1163.0,501.2,1746.4,3479.5,3488.0,635.1,738.9,1719.6,1100.8,1024.5,871.3,4.0,-9.0,4.0,6589.0,-6373.0,10810.0,-8219.0,-2.0,3.0,7.0,3.0,-6.0,6.0,4455.0,-11683.0,-10159.0,2980.0,-5.0,-8.0,10.0,1.0
2022-05-06 11:40:15.710112-07:00,1168.2,735.6,1054.8,1001.3,883.9,801.0,1532.0,1343.1,3472.2,3478.3,1050.4,892.4,1556.2,3473.4,1325.9,1205.3,3481.9,3484.4,265.3,511.5,758.7,1166.5,502.8,1744.5,3472.2,3488.0,635.1,738.9,1714.8,1095.6,1021.1,877.2,1.0,-10.0,9.0,6589.0,-6373.0,10810.0,-8219.0,8.0,0.0,5.0,4.0,-6.0,11.0,4455.0,-11683.0,-10158.0,2985.0,11.0,-9.0,7.0,1.0
2022-05-06 11:40:15.739164-07:00,1168.2,735.6,1054.8,1001.3,889.8,805.2,1523.6,1343.1,3488.0,3478.3,1050.4,892.4,1556.2,3469.8,1325.0,1205.3,3481.9,3475.9,273.7,508.3,758.7,1166.5,502.8,1739.7,3472.2,3488.0,647.3,739.7,1714.8,1095.6,1021.1,874.7,1.0,-16.0,1.0,6590.0,-6372.0,10810.0,-8219.0,-13.0,3.0,17.0,3.0,-7.0,7.0,4454.0,-11682.0,-10159.0,2987.0,0.0,-14.0,7.0,1.0
2022-05-06 11:40:15.769823-07:00,1168.2,730.7,1045.2,1010.8,889.8,805.2,1523.6,1336.8,3488.0,3477.1,1055.6,894.1,1556.2,3469.8,1325.0,1204.4,3474.6,3475.9,273.7,508.3,758.7,1166.5,502.0,1739.7,3478.3,3488.0,647.3,739.7,1713.8,1092.1,1021.1,874.7,10.0,-2.0,8.0,6594.0,-6367.0,10814.0,-8215.0,-11.0,7.0,11.0,4.0,-7.0,8.0,4450.0,-11684.0,-10157.0,2994.0,1.0,-10.0,12.0,1.0
2022-05-06 11:40:15.829274-07:00,1168.2,730.7,1045.2,1010.8,897.4,801.0,1535.7,1336.8,3473.4,3477.1,1055.6,894.1,1556.2,3474.6,1319.6,1204.4,3474.6,3481.9,266.8,508.3,758.7,1166.5,502.0,1747.3,3478.3,3483.2,640.0,742.2,1713.8,1092.1,1021.1,873.8,0.0,-11.0,0.0,6594.0,-6365.0,10816.0,-8213.0,-6.0,-10.0,14.0,3.0,-6.0,7.0,4448.0,-11686.0,-10155.0,2996.0,8.0,-8.0,6.0,1.0
2022-05-06 11:40:15.889222-07:00,1168.2,732.3,1049.6,1004.8,897.4,801.0,1535.7,1341.3,3473.4,3469.8,1053.9,894.9,1556.2,3474.6,1319.6,1209.7,3477.1,3481.9,266.8,508.3,754.6,1163.8,503.6,1747.3,3475.9,3483.2,640.0,742.2,1718.6,1097.3,1021.1,873.8,1.0,-13.0,1.0,6596.0,-6366.0,10816.0,-8211.0,-7.0,-3.0,5.0,4.0,-7.0,6.0,4447.0,-11687.0,-10154.0,2997.0,9.0,-11.0,11.0,1.0
2022-05-06 11:40:15.949970-07:00,1171.8,727.4,1049.6,1004.8,883.1,800.2,1537.6,1341.3,3467.4,3472.2,1053.9,894.9,1551.5,3469.8,1324.1,1209.7,3477.1,3477.1,266.8,512.3,754.6,1163.8,502.8,1744.5,3475.9,3489.2,641.6,737.3,1718.6,1097.3,1021.9,876.4,4.0,-6.0,8.0,6597.0,-6364.0,10820.0,-8206.0,-1.0,8.0,7.0,2.0,-4.0,9.0,4444.0,-11689.0,-10151.0,3002.0,-13.0,-4.0,10.0,1.0
2022-05-06 11:40:15.979585-07:00,1171.8,727.4,1047.0,1014.2,883.1,800.2,1537.6,1337.7,3467.4,3472.2,1050.4,894.9,1551.5,3469.8,1325.9,1208.9,3469.8,3475.9,266.8,512.3,752.9,1163.8,502.8,1744.5,3484.4,3478.3,641.6,737.3,1715.8,1092.9,1021.9,876.4,1.0,-9.0,1.0,6596.0,-6365.0,10821.0,-8205.0,-12.0,1.0,-1.0,1.0,-8.0,6.0,4441.0,-11690.0,-10151.0,3001.0,2.0,-5.0,2.0,1.0
2022-05-06 11:40:16.039219-07:00,1165.6,734.0,1047.0,1014.2,893.2,801.0,1537.6,1337.7,3469.8,3473.4,1050.4,894.9,1556.2,3474.6,1325.9,1208.9,3469.8,3475.9,272.1,515.5,752.9,1163.8,503.6,1738.7,3484.4,3478.3,644.0,737.3,1715.8,1092.9,1023.7,892.4,1.0,-16.0,4.0,6595.0,-6369.0,10820.0,-8204.0,13.0,-11.0,-11.0,3.0,-6.0,5.0,4439.0,-11689.0,-10152.0,3003.0,2.0,-3.0,6.0,1.0
2022-05-06 11:40:16.069168-07:00,1165.6,734.0,1046.1,1011.6,893.2,801.0,1532.9,1338.6,3469.8,3473.4,1052.2,894.9,1556.2,3474.6,1319.6,1211.5,3466.1,3474.6,272.1,515.5,754.6,1175.3,503.6,1738.7,3473.4,3477.1,644.0,737.3,1728.2,1097.3,1023.7,892.4,3.0,-6.0,6.0,6597.0,-6370.0,10817.0,-8206.0,-12.0,2.0,-3.0,5.0,-6.0,6.0,4443.0,-11688.0,-10151.0,3008.0,-7.0,-2.0,3.0,1.0
2022-05-06 11:40:16.278942-07:00,1169.1,735.6,1046.1,1011.6,888.2,799.4,1532.9,1338.6,3473.4,3473.4,1052.2,894.9,1554.3,3478.3,1319.6,1211.5,3466.1,3474.6,269.9,508.3,754.6,1175.3,498.8,1745.4,3473.4,3477.1,642.4,738.9,1728.2,1097.3,1023.7,854.5,1.0,-10.0,1.0,6596.0,-6371.0,10818.0,-8204.0,2.0,-6.0,-2.0,5.0,-4.0,6.0,4441.0,-11689.0,-10151.0,3006.0,-8.0,3.0,6.0,1.0
2022-05-06 11:40:16.280894-07:00,1169.1,735.6,1045.2,1003.0,888.2,799.4,1541.3,1333.2,3473.4,3473.4,1057.3,899.1,1554.3,3478.3,1333.2,1206.2,3478.3,3477.1,269.9,508.3,756.3,1165.6,498.8,1745.4,3472.2,3474.6,642.4,738.9,1722.4,1098.2,1023.7,854.5,1.0,-11.0,6.0,6596.0,-6371.0,10818.0,-8204.0,-1.0,-2.0,7.0,2.0,-6.0,6.0,4442.0,-11688.0,-10151.0,3008.0,10.0,-4.0,7.0,1.0
2022-05-06 11:40:16.281651-07:00,1166.5,733.2,1041.8,1003.0,889.0,801.0,1541.3,1333.2,3475.9,3474.6,1049.6,899.1,1547.8,3466.1,1333.2,1206.2,3478.3,3477.1,278.3,509.1,756.3,1168.2,498.8,1738.7,3472.2,3474.6,638.4,734.8,1722.4,1099.0,1023.7,877.2,0.0,-6.0,1.0,6596.0,-6371.0,10818.0,-8204.0,1.0,2.0,-8.0,3.0,-5.0,4.0,4440.0,-11690.0,-10151.0,3006.0,-15.0,4.0,4.0,1.0
2022-05-06 11:40:16.282266-07:00,1166.5,733.2,1041.8,1015.1,889.0,798.5,1531.0,1335.0,3475.9,3474.6,1049.6,891.5,1547.8,3468.6,1320.5,1207.1,3475.9,3468.6,269.1,509.1,751.3,1168.2,498.8,1738.7,3474.6,3478.3,636.7,734.8,1718.6,1099.0,1023.7,877.2,4.0,-7.0,0.0,6598.0,-6372.0,10816.0,-8204.0,3.0,-25.0,-7.0,1.0,-5.0,5.0,4440.0,-11690.0,-10151.0,3006.0,18.0,-5.0,-4.0,1.0
2022-05-06 11:40:16.339191-07:00,1167.4,730.7,1049.6,1015.1,887.3,798.5,1531.0,1335.0,3468.6,3461.3,1054.8,891.5,1554.3,3468.6,1320.5,1207.1,3475.9,3468.6,269.1,510.7,751.3,1168.2,498.8,1738.7,3474.6,3478.3,636.7,742.2,1718.6,1101.7,1016.8,870.5,6.0,-8.0,13.0,6602.0,-6376.0,10814.0,-8202.0,4.0,15.0,-8.0,1.0,-5.0,9.0,4444.0,-11688.0,-10150.0,3011.0,-1.0,2.0,2.0,1.0
