Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:52:59.246811-07:00,1024.5,638.4,997.0,911.8,847.0,838.6,1546.9,1352.1,3468.6,3475.9,1015.9,794.4,1438.7,3469.8,1281.9,1143.6,3475.9,3478.3,334.4,558.6,831.9,1056.5,460.0,1636.9,3469.8,3481.9,602.8,650.5,1697.6,950.0,897.4,759.6,4.0,-1.0,2.0,5295.0,-5456.0,12227.0,-7819.0,-18.0,1.0,-1.0,0.0,-3.0,5.0,6435.0,-14480.0,4050.0,-984.0,-25.0,-6.0,0.0,1.0
2022-05-06 14:52:59.277601-07:00,1024.5,638.4,997.0,907.6,847.0,821.0,1553.4,1348.5,3468.6,3475.9,1015.9,796.9,1438.7,3469.8,1279.2,1142.7,3466.1,3472.2,329.8,558.6,829.4,1056.5,460.0,1636.9,3475.9,3478.3,607.6,650.5,1698.6,950.0,897.4,759.6,7.0,0.0,-3.0,5297.0,-5458.0,12227.0,-7817.0,-3.0,-18.0,6.0,-3.0,7.0,-4.0,6433.0,-14480.0,4050.0,-983.0,-15.0,-6.0,1.0,1.0
2022-05-06 14:52:59.336741-07:00,1031.4,638.4,982.5,907.6,849.5,821.0,1553.4,1348.5,3463.7,3472.2,1016.8,796.9,1437.8,3469.8,1279.2,1142.7,3466.1,3472.2,329.8,561.8,829.4,1059.9,456.1,1646.4,3475.9,3478.3,607.6,644.0,1698.6,950.9,892.4,761.2,1.0,1.0,4.0,5297.0,-5459.0,12228.0,-7814.0,-9.0,-9.0,2.0,-1.0,-1.0,2.0,6430.0,-14482.0,4050.0,-983.0,-15.0,-2.0,3.0,1.0
2022-05-06 14:52:59.426732-07:00,1031.4,638.4,982.5,916.0,849.5,826.0,1544.1,1350.3,3463.7,3472.2,1016.8,796.0,1437.8,3478.3,1273.9,1143.6,3472.2,3474.6,336.7,561.8,831.9,1059.9,456.1,1646.4,3479.5,3471.0,606.8,644.0,1694.8,950.9,892.4,761.2,2.0,-4.0,-3.0,5297.0,-5463.0,12231.0,-7806.0,-9.0,-7.0,5.0,0.0,-8.0,8.0,6422.0,-14485.0,4051.0,-980.0,7.0,-4.0,2.0,1.0
2022-05-06 14:52:59.427847-07:00,1038.3,641.6,985.0,903.4,845.3,826.0,1544.1,1350.3,3475.9,3471.0,1016.8,797.7,1439.6,3478.3,1273.9,1143.6,3472.2,3474.6,336.7,553.0,831.9,1056.5,462.4,1637.9,3479.5,3471.0,606.8,645.7,1694.8,942.4,892.4,757.9,3.0,2.0,3.0,5300.0,-5461.0,12232.0,-7803.0,-16.0,2.0,9.0,-3.0,-11.0,14.0,6419.0,-14486.0,4051.0,-979.0,-4.0,4.0,0.0,1.0
2022-05-06 14:52:59.486792-07:00,1038.3,641.6,985.0,903.4,852.8,822.7,1541.3,1344.0,3475.9,3471.0,1016.8,797.7,1437.8,3474.6,1273.9,1142.7,3473.4,3479.5,332.1,553.0,831.9,1056.5,462.4,1637.9,3481.9,3481.9,605.2,648.9,1694.8,942.4,892.4,757.9,5.0,-2.0,2.0,5302.0,-5462.0,12231.0,-7804.0,21.0,0.0,-3.0,-3.0,0.0,4.0,6420.0,-14486.0,4051.0,-980.0,9.0,-4.0,1.0,1.0
2022-05-06 14:52:59.546859-07:00,1035.7,640.8,990.2,905.0,852.8,822.7,1541.3,1344.0,3475.9,3475.9,1015.1,799.4,1437.8,3474.6,1273.9,1142.7,3473.4,3479.5,332.1,553.0,833.6,1058.2,460.0,1641.6,3481.9,3481.9,605.2,648.9,1700.5,948.3,893.2,756.3,-1.0,-6.0,4.0,5299.0,-5463.0,12235.0,-7798.0,-30.0,9.0,10.0,-5.0,-6.0,9.0,6414.0,-14489.0,4051.0,-978.0,-6.0,1.0,3.0,1.0
2022-05-06 14:52:59.577345-07:00,1035.7,640.8,990.2,905.0,851.1,824.4,1545.9,1346.7,3475.9,3475.9,1015.1,799.4,1436.9,3467.4,1275.6,1145.4,3467.4,3478.3,331.3,557.8,833.6,1058.2,460.0,1641.6,3474.6,3475.9,611.7,647.3,1700.5,948.3,893.2,756.3,9.0,7.0,0.0,5297.0,-5466.0,12234.0,-7799.0,-15.0,1.0,-18.0,0.0,2.0,-4.0,6416.0,-14488.0,4051.0,-979.0,-31.0,5.0,-7.0,1.0
2022-05-06 14:52:59.637099-07:00,1032.3,639.2,987.6,905.9,851.1,824.4,1545.9,1346.7,3466.1,3478.3,1010.8,799.4,1436.9,3467.4,1275.6,1145.4,3467.4,3478.3,331.3,557.8,836.9,1058.2,460.0,1626.5,3474.6,3475.9,611.7,647.3,1694.8,937.3,894.1,756.3,5.0,-4.0,2.0,5294.0,-5470.0,12237.0,-7794.0,21.0,-4.0,2.0,-2.0,-9.0,7.0,6411.0,-14490.0,4052.0,-977.0,30.0,-4.0,1.0,1.0
2022-05-06 14:52:59.696826-07:00,1029.7,639.2,987.6,905.9,846.1,822.7,1537.6,1346.7,3473.4,3478.3,1010.8,799.4,1436.0,3475.9,1285.5,1132.2,3469.8,3479.5,329.8,553.0,836.9,1058.2,460.0,1638.8,3473.4,3475.9,623.8,647.3,1694.8,937.3,894.1,765.3,6.0,-3.0,3.0,5294.0,-5473.0,12239.0,-7789.0,-57.0,-6.0,1.0,-3.0,-1.0,0.0,6408.0,-14492.0,4052.0,-976.0,-39.0,5.0,-1.0,1.0
2022-05-06 14:52:59.727572-07:00,1029.7,644.0,980.7,905.0,846.1,822.7,1537.6,1339.5,3473.4,3478.3,1017.6,796.9,1436.0,3475.9,1285.5,1141.0,3469.8,3479.5,329.8,553.0,829.4,1059.1,456.1,1638.8,3473.4,3475.9,623.8,647.3,1691.9,944.9,889.8,765.3,5.0,0.0,11.0,5292.0,-5472.0,12240.0,-7790.0,33.0,10.0,-6.0,-2.0,-3.0,9.0,6411.0,-14490.0,4052.0,-977.0,11.0,4.0,1.0,1.0
2022-05-06 14:52:59.786879-07:00,1037.5,644.0,980.7,905.0,850.3,827.7,1544.1,1339.5,3472.2,3478.3,1017.6,796.9,1433.2,3468.6,1277.4,1141.0,3469.8,3475.9,330.5,555.4,829.4,1059.1,456.1,1638.8,3473.4,3469.8,610.0,641.6,1691.9,944.9,889.8,760.4,6.0,-3.0,2.0,5293.0,-5474.0,12238.0,-7790.0,-7.0,-7.0,4.0,-7.0,2.0,2.0,6411.0,-14490.0,4052.0,-977.0,-23.0,-3.0,3.0,1.0
2022-05-06 14:52:59.846877-07:00,1037.5,633.5,979.9,907.6,850.3,827.7,1544.1,1348.5,3472.2,3480.7,1015.1,800.2,1433.2,3468.6,1277.4,1142.7,3472.2,3475.9,330.5,555.4,827.7,1063.4,458.5,1638.8,3478.3,3469.8,610.0,641.6,1696.7,946.6,891.5,760.4,0.0,-8.0,7.0,5291.0,-5479.0,12243.0,-7781.0,-15.0,6.0,7.0,-4.0,-8.0,8.0,6403.0,-14494.0,4052.0,-974.0,3.0,-8.0,7.0,1.0
2022-05-06 14:52:59.906895-07:00,1027.1,633.5,979.9,907.6,850.3,823.5,1530.1,1348.5,3478.3,3480.7,1015.1,800.2,1441.5,3473.4,1274.7,1142.7,3472.2,3478.3,334.4,558.6,827.7,1063.4,458.5,1642.6,3478.3,3473.4,597.1,648.9,1696.7,946.6,891.5,760.4,8.0,10.0,-9.0,5294.0,-5478.0,12239.0,-7785.0,-13.0,-11.0,0.0,0.0,6.0,-1.0,6409.0,-14491.0,4051.0,-976.0,-33.0,-5.0,-1.0,1.0
2022-05-06 14:52:59.936725-07:00,1027.1,627.0,991.9,911.0,850.3,823.5,1544.1,1344.9,3478.3,3473.4,1015.9,793.5,1441.5,3473.4,1274.7,1142.7,3479.5,3479.5,334.4,558.6,831.9,1058.2,458.5,1642.6,3475.9,3472.2,597.1,648.9,1704.3,944.9,890.7,760.4,6.0,0.0,5.0,5294.0,-5478.0,12240.0,-7784.0,41.0,-8.0,5.0,-1.0,0.0,3.0,6408.0,-14492.0,4051.0,-974.0,39.0,-7.0,2.0,1.0
2022-05-06 14:52:59.996806-07:00,1033.2,641.6,991.9,911.0,848.6,826.0,1544.1,1344.9,3471.0,3478.3,1015.9,793.5,1441.5,3473.4,1274.7,1142.7,3479.5,3479.5,335.2,555.4,831.9,1058.2,461.6,1626.5,3475.9,3472.2,601.2,644.0,1704.3,944.9,902.5,752.9,4.0,-9.0,3.0,5296.0,-5478.0,12239.0,-7784.0,-37.0,-6.0,1.0,-1.0,-11.0,6.0,6407.0,-14492.0,4051.0,-974.0,-33.0,-2.0,2.0,1.0
2022-05-06 14:53:00.026660-07:00,1033.2,641.6,979.9,900.0,848.6,826.0,1541.3,1340.4,3471.0,3478.3,1016.8,798.5,1441.5,3473.4,1279.2,1139.2,3478.3,3471.0,335.2,555.4,829.4,1060.8,461.6,1626.5,3480.7,3472.2,601.2,644.0,1719.6,948.3,902.5,752.9,9.0,5.0,4.0,5298.0,-5479.0,12242.0,-7777.0,-26.0,4.0,3.0,-2.0,-5.0,8.0,6403.0,-14494.0,4051.0,-973.0,-37.0,1.0,3.0,1.0
2022-05-06 14:53:00.086788-07:00,1028.8,644.0,979.9,900.0,852.0,823.5,1541.3,1340.4,3471.0,3471.0,1016.8,798.5,1436.9,3473.4,1279.2,1139.2,3478.3,3471.0,338.3,555.4,829.4,1060.8,461.6,1637.9,3480.7,3472.2,608.4,647.3,1719.6,948.3,897.4,756.3,3.0,0.0,0.0,5297.0,-5480.0,12243.0,-7775.0,-17.0,3.0,-10.0,-6.0,-6.0,7.0,6401.0,-14495.0,4052.0,-973.0,-22.0,5.0,-6.0,1.0
2022-05-06 14:53:00.147063-07:00,1028.8,644.0,987.6,905.0,852.0,823.5,1538.5,1335.9,3471.0,3471.0,1024.5,796.9,1436.9,3473.4,1284.6,1147.1,3478.3,3474.6,338.3,555.4,836.9,1049.6,461.6,1637.9,3480.7,3474.6,608.4,647.3,1698.6,945.8,897.4,756.3,6.0,1.0,3.0,5298.0,-5481.0,12242.0,-7775.0,14.0,-4.0,2.0,-2.0,4.0,0.0,6405.0,-14494.0,4050.0,-971.0,15.0,-10.0,2.0,1.0
2022-05-06 14:53:00.177908-07:00,1032.3,636.7,986.7,905.0,852.0,824.4,1538.5,1335.9,3460.1,3471.0,1017.6,796.9,1437.8,3477.1,1284.6,1147.1,3478.3,3474.6,334.4,558.6,836.9,1055.6,456.9,1637.9,3480.7,3474.6,598.7,645.7,1698.6,946.6,903.4,780.3,2.0,0.0,5.0,5297.0,-5480.0,12242.0,-7776.0,4.0,12.0,6.0,-4.0,-5.0,8.0,6404.0,-14494.0,4050.0,-971.0,3.0,-2.0,2.0,1.0
2022-05-06 14:53:00.237396-07:00,1032.3,636.7,986.7,905.0,852.0,819.4,1540.3,1338.6,3460.1,3471.0,1017.6,799.4,1437.8,3472.2,1278.3,1141.9,3474.6,3475.9,330.5,558.6,837.7,1055.6,456.9,1637.9,3475.9,3469.8,606.8,645.7,1704.3,946.6,903.4,780.3,7.0,-5.0,1.0,5296.0,-5479.0,12243.0,-7777.0,-11.0,9.0,7.0,-1.0,0.0,2.0,6402.0,-14495.0,4051.0,-970.0,-7.0,3.0,6.0,1.0
2022-05-06 14:53:00.296803-07:00,1028.8,638.4,981.6,905.0,847.8,819.4,1540.3,1338.6,3480.7,3466.1,1015.1,799.4,1434.1,3472.2,1278.3,1141.9,3474.6,3475.9,330.5,561.0,837.7,1059.1,457.7,1642.6,3475.9,3469.8,606.8,642.4,1704.3,944.1,899.1,768.7,5.0,2.0,3.0,5293.0,-5472.0,12248.0,-7776.0,0.0,12.0,15.0,-3.0,-4.0,9.0,6402.0,-14495.0,4052.0,-969.0,-6.0,-4.0,10.0,1.0
2022-05-06 14:53:00.327095-07:00,1028.8,638.4,981.6,902.5,847.8,826.0,1548.7,1346.7,3480.7,3466.1,1015.1,798.5,1434.1,3467.4,1280.1,1143.6,3478.3,3467.4,335.9,561.0,836.9,1059.1,457.7,1642.6,3469.8,3469.8,601.2,642.4,1691.9,944.1,899.1,768.7,5.0,-6.0,1.0,5292.0,-5471.0,12250.0,-7775.0,-10.0,5.0,-1.0,-5.0,-6.0,3.0,6398.0,-14496.0,4052.0,-969.0,-12.0,2.0,-2.0,1.0
2022-05-06 14:53:00.386865-07:00,1026.3,648.1,985.9,902.5,860.4,826.0,1548.7,1346.7,3480.7,3475.9,1018.5,798.5,1438.7,3467.4,1280.1,1143.6,3478.3,3467.4,335.9,555.4,836.9,1064.3,458.5,1634.1,3469.8,3469.8,601.2,638.4,1691.9,947.5,894.1,760.4,7.0,4.0,0.0,5293.0,-5470.0,12249.0,-7776.0,-4.0,-7.0,-4.0,-4.0,0.0,4.0,6401.0,-14495.0,4052.0,-969.0,0.0,-1.0,-4.0,1.0
2022-05-06 14:53:00.416715-07:00,1026.3,648.1,985.9,902.5,860.4,825.2,1541.3,1343.1,3480.7,3475.9,1018.5,798.5,1438.7,3468.6,1276.5,1143.6,3472.2,3473.4,334.4,555.4,826.0,1064.3,458.5,1634.1,3489.2,3478.3,606.0,638.4,1697.6,947.5,894.1,760.4,5.0,-4.0,5.0,5291.0,-5469.0,12250.0,-7776.0,16.0,5.0,-2.0,-1.0,-8.0,10.0,6401.0,-14495.0,4052.0,-969.0,5.0,5.0,1.0,1.0
2022-05-06 14:53:00.507597-07:00,1033.2,639.2,983.3,904.2,847.8,825.2,1541.3,1343.1,3477.1,3467.4,1015.9,797.7,1433.2,3468.6,1276.5,1143.6,3472.2,3473.4,334.4,558.6,829.4,1059.1,457.7,1638.8,3489.2,3478.3,606.0,640.0,1694.8,941.5,899.1,757.9,5.0,-2.0,-1.0,5292.0,-5469.0,12248.0,-7778.0,-18.0,0.0,6.0,-2.0,-10.0,8.0,6401.0,-14495.0,4052.0,-969.0,-22.0,4.0,4.0,1.0
2022-05-06 14:53:00.536802-07:00,1033.2,639.2,983.3,904.2,856.2,822.7,1536.6,1338.6,3477.1,3467.4,1015.9,797.7,1431.4,3473.4,1273.9,1139.2,3473.4,3472.2,336.7,552.2,829.4,1059.1,457.7,1638.8,3478.3,3477.1,604.4,636.7,1694.8,941.5,899.1,757.9,5.0,-2.0,5.0,5291.0,-5470.0,12250.0,-7775.0,-11.0,12.0,4.0,-5.0,-1.0,2.0,6398.0,-14496.0,4052.0,-968.0,-13.0,1.0,0.0,1.0
2022-05-06 14:53:00.566887-07:00,1030.6,636.7,983.3,902.5,856.2,822.7,1536.6,1338.6,3464.9,3471.0,1015.1,796.9,1431.4,3473.4,1273.9,1139.2,3473.4,3472.2,336.7,552.2,832.7,1047.0,463.2,1628.4,3478.3,3477.1,604.4,636.7,1696.7,943.2,888.2,763.7,7.0,7.0,-2.0,5291.0,-5468.0,12249.0,-7778.0,-1.0,-4.0,-7.0,-4.0,2.0,6.0,6401.0,-14495.0,4052.0,-969.0,0.0,1.0,-6.0,1.0
2022-05-06 14:53:00.627076-07:00,1030.6,636.7,983.3,902.5,847.8,829.4,1539.4,1339.5,3464.9,3471.0,1015.1,796.9,1433.2,3457.6,1281.0,1137.5,3473.4,3475.9,329.0,558.6,832.7,1047.0,463.2,1628.4,3471.0,3484.4,617.3,640.0,1696.7,943.2,888.2,763.7,6.0,-1.0,0.0,5292.0,-5470.0,12249.0,-7775.0,-2.0,-11.0,2.0,-6.0,-1.0,1.0,6398.0,-14496.0,4052.0,-969.0,0.0,-9.0,-1.0,1.0
2022-05-06 14:53:00.686751-07:00,1025.4,640.8,988.5,905.9,847.8,829.4,1539.4,1339.5,3478.3,3467.4,1011.6,802.7,1433.2,3457.6,1281.0,1137.5,3473.4,3475.9,329.0,558.6,831.9,1058.2,454.5,1636.0,3471.0,3484.4,617.3,640.0,1690.0,944.1,894.1,756.3,10.0,3.0,5.0,5293.0,-5471.0,12249.0,-7775.0,6.0,2.0,-1.0,0.0,-4.0,9.0,6398.0,-14496.0,4052.0,-969.0,4.0,2.0,-1.0,1.0
2022-05-06 14:53:00.716781-07:00,1007.3,640.8,988.5,905.9,847.8,831.9,1541.3,1348.5,3467.4,3467.4,1011.6,802.7,1438.7,3467.4,1281.0,1143.6,3479.5,3485.6,329.8,557.0,831.9,1058.2,454.5,1636.0,3484.4,3472.2,604.4,640.8,1690.0,944.1,894.1,753.8,4.0,-3.0,5.0,5293.0,-5471.0,12249.0,-7775.0,-4.0,-6.0,1.0,-6.0,-5.0,4.0,6398.0,-14496.0,4052.0,-969.0,-5.0,1.0,2.0,1.0
2022-05-06 14:53:00.777205-07:00,1007.3,640.8,985.0,909.3,847.8,831.9,1541.3,1341.3,3467.4,3468.6,1010.8,797.7,1438.7,3467.4,1281.0,1143.6,3466.1,3485.6,329.8,557.0,831.9,1060.8,460.0,1636.0,3469.8,3472.2,604.4,640.8,1690.0,944.9,894.1,753.8,4.0,-5.0,0.0,5292.0,-5468.0,12248.0,-7779.0,18.0,10.0,6.0,-6.0,-6.0,5.0,6401.0,-14495.0,4052.0,-969.0,18.0,-1.0,7.0,1.0
2022-05-06 14:53:00.837188-07:00,1032.3,640.8,985.0,909.3,852.0,820.2,1545.0,1341.3,3467.4,3468.6,1010.8,797.7,1427.7,3473.4,1276.5,1143.6,3466.1,3485.6,329.8,563.4,831.9,1060.8,460.0,1636.9,3469.8,3481.9,602.0,647.3,1690.0,944.9,894.1,759.6,6.0,1.0,0.0,5292.0,-5469.0,12249.0,-7777.0,-16.0,-9.0,0.0,-4.0,0.0,3.0,6399.0,-14496.0,4052.0,-969.0,-12.0,-5.0,3.0,1.0
2022-05-06 14:53:00.866888-07:00,1032.3,633.5,985.0,897.4,852.0,820.2,1545.0,1339.5,3467.4,3461.3,1007.3,799.4,1427.7,3473.4,1276.5,1141.9,3467.4,3485.6,329.8,563.4,829.4,1055.6,460.0,1636.9,3473.4,3481.9,602.0,647.3,1685.3,943.2,893.2,759.6,0.0,-1.0,4.0,5291.0,-5470.0,12251.0,-7775.0,14.0,-2.0,-2.0,-6.0,-7.0,7.0,6396.0,-14497.0,4053.0,-968.0,9.0,-2.0,-3.0,1.0
2022-05-06 14:53:00.927261-07:00,1022.8,633.5,985.0,897.4,858.7,819.4,1533.8,1339.5,3474.6,3461.3,1007.3,799.4,1428.6,3464.9,1279.2,1141.9,3467.4,3474.6,331.3,554.6,829.4,1055.6,460.0,1636.9,3473.4,3479.5,605.2,642.4,1685.3,943.2,893.2,761.2,6.0,-4.0,1.0,5292.0,-5470.0,12249.0,-7776.0,-10.0,-7.0,-5.0,0.0,-1.0,3.0,6396.0,-14497.0,4053.0,-968.0,-15.0,0.0,-5.0,1.0
2022-05-06 14:53:00.986768-07:00,1022.8,641.6,982.5,908.4,858.7,819.4,1548.7,1335.9,3474.6,3473.4,1017.6,795.2,1428.6,3464.9,1275.6,1139.2,3475.9,3473.4,331.3,554.6,829.4,1049.6,459.3,1636.9,3478.3,3475.9,605.2,642.4,1677.6,941.5,894.9,761.2,10.0,5.0,3.0,5293.0,-5469.0,12248.0,-7777.0,-1.0,6.0,-5.0,0.0,3.0,1.0,6397.0,-14497.0,4052.0,-968.0,-2.0,-3.0,-5.0,1.0
2022-05-06 14:53:01.016783-07:00,1033.2,641.6,982.5,908.4,846.1,821.9,1548.7,1335.9,3478.3,3469.8,1017.6,795.2,1432.3,3471.0,1275.6,1139.2,3475.9,3473.4,332.1,557.0,829.4,1049.6,457.7,1641.6,3478.3,3475.9,608.4,640.0,1677.6,941.5,896.6,760.4,4.0,1.0,4.0,5293.0,-5469.0,12248.0,-7777.0,12.0,-2.0,1.0,-5.0,-3.0,9.0,6394.0,-14498.0,4053.0,-967.0,9.0,-1.0,6.0,1.0
2022-05-06 14:53:01.076858-07:00,1033.2,641.6,978.2,899.1,846.1,821.9,1545.9,1341.3,3478.3,3469.8,1014.2,800.2,1432.3,3471.0,1279.2,1139.2,3467.4,3478.3,332.1,557.0,832.7,1057.3,457.7,1641.6,3462.5,3474.6,608.4,640.0,1687.2,942.4,896.6,760.4,6.0,-6.0,5.0,5292.0,-5469.0,12249.0,-7777.0,-4.0,10.0,7.0,-3.0,-4.0,4.0,6391.0,-14499.0,4053.0,-967.0,-17.0,-1.0,6.0,1.0
2022-05-06 14:53:01.136783-07:00,1028.8,636.7,978.2,899.1,848.6,818.5,1545.9,1341.3,3467.4,3471.0,1014.2,800.2,1434.1,3471.0,1279.2,1139.2,3467.4,3478.3,334.4,561.8,832.7,1057.3,459.3,1633.1,3462.5,3474.6,603.6,642.4,1687.2,942.4,895.7,772.0,8.0,8.0,-2.0,5293.0,-5471.0,12249.0,-7775.0,-15.0,-14.0,-8.0,-4.0,0.0,7.0,6391.0,-14499.0,4053.0,-966.0,-15.0,-4.0,-4.0,1.0
2022-05-06 14:53:01.166846-07:00,1028.8,636.7,976.5,921.1,848.6,818.5,1541.3,1343.1,3467.4,3471.0,1012.5,796.9,1434.1,3471.0,1276.5,1138.4,3469.8,3474.6,334.4,561.8,832.7,1059.9,459.3,1633.1,3479.5,3483.2,603.6,642.4,1684.3,943.2,895.7,772.0,10.0,-5.0,3.0,5293.0,-5472.0,12250.0,-7773.0,27.0,-7.0,-6.0,-3.0,-9.0,5.0,6390.0,-14500.0,4053.0,-966.0,34.0,0.0,-5.0,1.0
2022-05-06 14:53:01.226899-07:00,1028.8,636.7,976.5,921.1,842.8,825.2,1541.3,1343.1,3467.4,3469.8,1012.5,796.9,1437.8,3474.6,1276.5,1138.4,3469.8,3474.6,334.4,563.4,832.7,1059.9,453.0,1630.3,3479.5,3483.2,601.2,642.4,1684.3,943.2,889.8,772.8,3.0,-2.0,0.0,5297.0,-5469.0,12244.0,-7781.0,1.0,1.0,0.0,-2.0,-7.0,9.0,6399.0,-14496.0,4052.0,-969.0,-1.0,1.0,-1.0,1.0
2022-05-06 14:53:01.286790-07:00,1028.8,636.7,976.5,906.7,842.8,820.2,1539.4,1340.4,3467.4,3469.8,1011.6,797.7,1437.8,3472.2,1285.5,1142.7,3473.4,3468.6,335.2,563.4,829.4,1063.4,453.0,1630.3,3479.5,3477.1,603.6,642.4,1694.8,944.1,889.8,772.8,5.0,1.0,1.0,5296.0,-5469.0,12245.0,-7780.0,-2.0,-10.0,7.0,-2.0,-7.0,11.0,6398.0,-14496.0,4052.0,-968.0,-3.0,-4.0,0.0,1.0
2022-05-06 14:53:01.316756-07:00,1027.1,637.6,978.2,906.7,849.5,820.2,1539.4,1340.4,3468.6,3466.1,1013.3,797.7,1437.8,3472.2,1285.5,1142.7,3473.4,3468.6,335.2,555.4,829.4,1054.8,452.2,1637.9,3479.5,3477.1,603.6,647.3,1694.8,943.2,891.5,757.9,11.0,-3.0,5.0,5298.0,-5472.0,12246.0,-7776.0,3.0,0.0,1.0,-5.0,-3.0,7.0,6397.0,-14497.0,4052.0,-968.0,20.0,1.0,-6.0,1.0
2022-05-06 14:53:01.377238-07:00,1027.1,637.6,978.2,903.4,849.5,822.7,1544.1,1338.6,3468.6,3466.1,1013.3,797.7,1437.8,3463.7,1279.2,1143.6,3478.3,3467.4,331.3,555.4,832.7,1054.8,452.2,1637.9,3474.6,3464.9,611.7,647.3,1691.0,943.2,891.5,757.9,3.0,1.0,-1.0,5299.0,-5468.0,12242.0,-7783.0,-1.0,3.0,-1.0,-7.0,-1.0,8.0,6405.0,-14493.0,4052.0,-970.0,-9.0,3.0,-3.0,1.0
2022-05-06 14:53:01.436830-07:00,1028.8,639.2,979.9,903.4,846.1,822.7,1544.1,1338.6,3477.1,3467.4,1016.8,797.7,1438.7,3463.7,1279.2,1143.6,3478.3,3467.4,331.3,557.8,832.7,1061.7,456.9,1641.6,3474.6,3464.9,611.7,641.6,1691.0,946.6,917.7,757.1,3.0,2.0,-2.0,5297.0,-5470.0,12245.0,-7779.0,6.0,-6.0,6.0,-4.0,-1.0,4.0,6402.0,-14494.0,4052.0,-970.0,4.0,-7.0,3.0,1.0
2022-05-06 14:53:01.466873-07:00,1028.8,639.2,979.9,905.9,846.1,821.0,1543.1,1338.6,3477.1,3467.4,1016.8,798.5,1438.7,3477.1,1277.4,1139.2,3478.3,3475.9,337.5,557.8,831.9,1061.7,456.9,1641.6,3474.6,3474.6,604.4,641.6,1691.0,946.6,917.7,757.1,8.0,1.0,3.0,5297.0,-5469.0,12244.0,-7781.0,26.0,18.0,3.0,-2.0,-4.0,11.0,6403.0,-14494.0,4052.0,-970.0,14.0,1.0,-3.0,1.0
2022-05-06 14:53:01.527070-07:00,1023.7,648.9,980.7,905.0,849.5,821.0,1543.1,1338.6,3469.8,3478.3,1015.1,803.5,1430.5,3477.1,1277.4,1139.2,3478.3,3475.9,337.5,549.8,831.1,1059.1,454.5,1636.0,3474.6,3474.6,604.4,650.5,1697.6,940.7,894.9,762.9,6.0,-11.0,4.0,5296.0,-5469.0,12246.0,-7780.0,-17.0,-12.0,0.0,-4.0,-6.0,6.0,6398.0,-14496.0,4052.0,-968.0,-7.0,-3.0,1.0,1.0
2022-05-06 14:53:01.586825-07:00,1023.7,648.9,980.7,905.0,850.3,815.2,1532.0,1342.2,3469.8,3478.3,1015.1,803.5,1433.2,3468.6,1277.4,1139.2,3472.2,3483.2,329.8,553.0,831.1,1059.1,454.5,1636.0,3468.6,3480.7,606.8,647.3,1697.6,940.7,894.9,762.9,0.0,1.0,-4.0,5297.0,-5467.0,12243.0,-7784.0,-13.0,14.0,2.0,-1.0,-4.0,5.0,6403.0,-14494.0,4052.0,-970.0,-38.0,3.0,5.0,1.0
2022-05-06 14:53:01.616824-07:00,1023.7,639.2,988.5,899.1,850.3,815.2,1532.0,1342.2,3480.7,3478.3,1010.8,811.9,1433.2,3468.6,1277.4,1139.2,3472.2,3483.2,329.8,553.0,826.0,1056.5,456.1,1632.2,3468.6,3480.7,606.8,647.3,1687.2,944.1,891.5,751.3,11.0,2.0,4.0,5293.0,-5469.0,12249.0,-7776.0,6.0,-1.0,10.0,-4.0,1.0,4.0,6395.0,-14498.0,4053.0,-968.0,8.0,-6.0,5.0,1.0
2022-05-06 14:53:01.706828-07:00,1023.7,639.2,988.5,899.1,857.9,819.4,1532.9,1343.1,3480.7,3478.3,1010.8,811.9,1429.5,3467.4,1281.0,1141.9,3473.4,3480.7,334.4,554.6,826.0,1056.5,456.1,1632.2,3481.9,3480.7,601.2,639.2,1687.2,944.1,891.5,751.3,7.0,0.0,-4.0,5295.0,-5467.0,12247.0,-7779.0,0.0,-3.0,-13.0,-4.0,-2.0,6.0,6396.0,-14497.0,4053.0,-968.0,-3.0,3.0,-6.0,1.0
2022-05-06 14:53:01.766880-07:00,1027.1,639.2,973.1,903.4,857.9,819.4,1532.9,1343.1,3474.6,3466.1,1016.8,796.0,1429.5,3467.4,1281.0,1141.9,3473.4,3480.7,334.4,554.6,831.1,1048.7,453.0,1635.0,3481.9,3480.7,601.2,639.2,1695.7,943.2,891.5,757.1,11.0,-3.0,-1.0,5294.0,-5468.0,12247.0,-7780.0,6.0,-9.0,6.0,-1.0,-5.0,5.0,6396.0,-14497.0,4053.0,-968.0,-2.0,-7.0,3.0,1.0
2022-05-06 14:53:01.797425-07:00,1040.9,639.2,973.1,903.4,847.8,820.2,1537.6,1369.4,3457.6,3466.1,1016.8,796.0,1441.5,3475.9,1283.7,1140.1,3480.7,3475.9,332.1,553.0,831.1,1048.7,453.0,1636.9,3467.4,3488.0,604.4,642.4,1695.7,943.2,891.5,754.6,1.0,-3.0,6.0,5295.0,-5468.0,12247.0,-7779.0,14.0,-3.0,-3.0,-8.0,-3.0,4.0,6397.0,-14497.0,4052.0,-967.0,10.0,-4.0,-2.0,1.0
