Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:50:04.353101-07:00,2060.5,614.1,1068.6,1269.4,1071.2,1231.9,1117.4,1318.7,3426.2,3429.8,1389.4,1251.5,1396.7,3424.9,1056.5,1435.0,3424.9,3427.4,695.4,1268.5,861.2,578.6,1121.7,1888.9,3421.3,3418.9,813.5,914.4,1217.7,1390.3,1129.6,1009.9,2.0,-10.0,-10.0,10883.0,11556.0,3964.0,869.0,7.0,-3.0,10.0,2.0,-7.0,-2.0,12404.0,9563.0,-1690.0,-4503.0,0.0,-2.0,-1.0,1.0
2022-05-23 15:50:04.354941-07:00,2060.5,614.1,1068.6,1278.3,1067.7,1239.1,1118.2,1326.8,3426.2,3429.8,1389.4,1253.3,1396.7,3429.8,1053.0,1434.1,3418.9,3417.7,699.5,1274.7,861.2,578.6,1121.7,1888.9,3431.0,3428.6,813.5,909.3,1223.9,1390.3,1129.6,1009.9,1.0,4.0,-2.0,10886.0,11553.0,3963.0,874.0,-44.0,27.0,1.0,-2.0,3.0,0.0,12404.0,9562.0,-1690.0,-4503.0,-11.0,-5.0,2.0,1.0
2022-05-23 15:50:04.412558-07:00,2066.5,619.7,1056.5,1263.1,1067.7,1239.1,1118.2,1326.8,3428.6,3427.4,1383.0,1249.7,1396.7,3429.8,1053.0,1434.1,3418.9,3417.7,699.5,1274.7,860.4,581.0,1120.9,1860.6,3431.0,3428.6,813.5,909.3,1222.2,1385.7,1129.6,1015.1,-1.0,3.0,-2.0,10887.0,11547.0,3973.0,881.0,18.0,24.0,-24.0,0.0,-6.0,9.0,12407.0,9559.0,-1689.0,-4504.0,9.0,7.0,-6.0,1.0
2022-05-23 15:50:04.442757-07:00,2066.5,619.7,1056.5,1263.1,1069.5,1224.8,1113.0,1319.6,3428.6,3427.4,1383.0,1249.7,1396.7,3422.5,1058.2,1441.5,3420.1,3426.2,696.2,1272.1,860.4,581.0,1120.9,1860.6,3431.0,3431.0,816.9,917.7,1222.2,1385.7,1129.6,1015.1,0.0,-10.0,-2.0,10882.0,11545.0,3992.0,882.0,-7.0,48.0,-26.0,2.0,-6.0,5.0,12406.0,9561.0,-1684.0,-4502.0,0.0,10.0,-7.0,1.0
2022-05-23 15:50:04.502928-07:00,2061.5,610.0,1057.3,1268.5,1069.5,1224.8,1113.0,1319.6,3429.8,3429.8,1381.2,1248.8,1396.7,3422.5,1058.2,1441.5,3420.1,3426.2,696.2,1272.1,861.2,578.6,1124.4,1865.4,3431.0,3431.0,816.9,917.7,1219.5,1411.3,1122.6,1007.3,-2.0,-1.0,-11.0,10879.0,11544.0,4004.0,888.0,17.0,-13.0,0.0,2.0,-7.0,7.0,12405.0,9563.0,-1684.0,-4501.0,14.0,7.0,-3.0,1.0
2022-05-23 15:50:04.562687-07:00,2061.5,610.0,1057.3,1268.5,1066.0,1222.2,1118.2,1318.7,3429.8,3429.8,1381.2,1248.8,1402.1,3420.1,1053.0,1428.6,3429.8,3416.5,701.1,1271.2,861.2,578.6,1124.4,1865.4,3429.8,3427.4,811.9,913.5,1219.5,1411.3,1122.6,1007.3,-6.0,-12.0,-14.0,10878.0,11546.0,4003.0,886.0,27.0,-10.0,-4.0,-3.0,-5.0,8.0,12404.0,9564.0,-1684.0,-4501.0,9.0,9.0,0.0,1.0
2022-05-23 15:50:04.592911-07:00,2063.5,623.0,1059.1,1264.0,1066.0,1222.2,1118.2,1316.0,3422.5,3426.2,1386.6,1256.9,1402.1,3420.1,1053.0,1437.8,3420.1,3416.5,701.1,1271.2,857.9,577.0,1122.6,1861.5,3434.6,3427.4,811.9,913.5,1218.6,1384.8,1125.2,1009.9,2.0,-2.0,0.0,10870.0,11555.0,4000.0,879.0,32.0,-12.0,-8.0,1.0,-10.0,1.0,12399.0,9573.0,-1683.0,-4497.0,17.0,8.0,-3.0,1.0
2022-05-23 15:50:04.683387-07:00,2063.5,623.0,1059.1,1264.0,1069.5,1215.1,1119.1,1316.0,3428.6,3426.2,1386.6,1256.9,1401.2,3429.8,1047.0,1437.8,3420.1,3424.9,699.5,1270.3,857.9,577.0,1122.6,1869.3,3434.6,3431.0,808.5,914.4,1218.6,1384.8,1125.2,1011.6,1.0,-11.0,-2.0,10874.0,11549.0,4004.0,885.0,-36.0,29.0,-1.0,-1.0,-9.0,2.0,12403.0,9569.0,-1680.0,-4496.0,-21.0,13.0,11.0,1.0
2022-05-23 15:50:04.712721-07:00,2063.5,612.5,1052.2,1265.8,1069.5,1215.1,1119.1,1322.3,3428.6,3431.0,1383.0,1248.8,1401.2,3429.8,1047.0,1439.6,3429.8,3424.9,699.5,1270.3,857.9,584.3,1124.4,1869.3,3418.9,3431.0,808.5,914.4,1213.3,1397.6,1126.1,1011.6,8.0,11.0,-8.0,10872.0,11549.0,4008.0,896.0,-7.0,34.0,12.0,4.0,3.0,-4.0,12403.0,9571.0,-1681.0,-4492.0,5.0,2.0,10.0,1.0
2022-05-23 15:50:04.742733-07:00,2065.5,612.5,1052.2,1265.8,1061.7,1223.0,1112.1,1322.3,3426.2,3431.0,1383.0,1248.8,1397.6,3423.7,1051.3,1439.6,3429.8,3421.3,700.3,1281.9,857.9,584.3,1124.4,1866.4,3418.9,3418.9,810.2,910.1,1213.3,1397.6,1126.1,1018.5,0.0,-7.0,-11.0,10878.0,11539.0,4015.0,907.0,-3.0,8.0,0.0,-1.0,-3.0,-2.0,12406.0,9566.0,-1679.0,-4493.0,4.0,0.0,-4.0,1.0
2022-05-23 15:50:04.802889-07:00,2065.5,610.8,1038.3,1271.2,1061.7,1223.0,1112.1,1309.7,3426.2,3427.4,1384.8,1250.6,1397.6,3423.7,1051.3,1435.0,3424.9,3421.3,700.3,1281.9,854.5,578.6,1120.9,1866.4,3429.8,3418.9,810.2,910.1,1212.4,1389.4,1126.1,1018.5,2.0,-11.0,-13.0,10878.0,11541.0,4012.0,905.0,-5.0,-13.0,9.0,-1.0,-4.0,-2.0,12405.0,9568.0,-1679.0,-4492.0,-3.0,-8.0,2.0,1.0
2022-05-23 15:50:04.862618-07:00,2053.4,610.8,1038.3,1271.2,1061.7,1216.8,1113.9,1309.7,3423.7,3427.4,1384.8,1250.6,1401.2,3428.6,1052.2,1435.0,3424.9,3424.9,697.0,1270.3,854.5,578.6,1120.9,1865.4,3429.8,3421.3,818.5,919.4,1212.4,1389.4,1126.1,1009.9,4.0,0.0,-15.0,10882.0,11540.0,4004.0,909.0,-22.0,-21.0,26.0,5.0,-5.0,-5.0,12405.0,9565.0,-1684.0,-4496.0,-12.0,-21.0,7.0,1.0
2022-05-23 15:50:04.892846-07:00,2053.4,618.9,1049.6,1266.7,1061.7,1216.8,1116.5,1311.5,3423.7,3423.7,1382.1,1249.7,1401.2,3428.6,1053.9,1437.8,3428.6,3423.7,697.0,1270.3,863.7,577.0,1120.0,1865.4,3428.6,3423.7,818.5,919.4,1218.6,1396.7,1127.0,1009.9,0.0,-2.0,-8.0,10892.0,11535.0,3988.0,909.0,-28.0,-35.0,17.0,2.0,-5.0,5.0,12409.0,9554.0,-1692.0,-4505.0,-21.0,-34.0,3.0,1.0
2022-05-23 15:50:04.982722-07:00,2048.4,607.6,1049.6,1266.7,1066.0,1219.5,1116.5,1311.5,3429.8,3428.6,1382.1,1249.7,1391.2,3426.2,1053.9,1437.8,3428.6,3423.7,698.7,1266.7,863.7,577.0,1120.9,1864.5,3428.6,3423.7,811.0,913.5,1218.6,1396.7,1126.1,1012.5,-3.0,0.0,0.0,10902.0,11532.0,3971.0,905.0,-29.0,-40.0,19.0,0.0,0.0,12.0,12412.0,9545.0,-1700.0,-4514.0,-23.0,-32.0,0.0,1.0
2022-05-23 15:50:05.012663-07:00,2048.4,607.6,1047.8,1262.2,1066.0,1219.5,1121.7,1320.5,3429.8,3428.6,1383.0,1247.1,1391.2,3426.2,1047.8,1436.9,3421.3,3421.3,698.7,1266.7,858.7,582.6,1120.9,1864.5,3427.4,3439.5,811.0,913.5,1213.3,1392.1,1126.1,1012.5,2.0,0.0,5.0,10911.0,11530.0,3955.0,904.0,-4.0,-5.0,16.0,7.0,-5.0,13.0,12414.0,9539.0,-1706.0,-4520.0,-1.0,-14.0,8.0,1.0
2022-05-23 15:50:05.072825-07:00,2057.4,614.9,1047.8,1262.2,1062.5,1218.6,1121.7,1320.5,3415.3,3426.2,1383.0,1247.1,1402.1,3435.8,1047.8,1436.9,3421.3,3421.3,697.0,1272.1,858.7,582.6,1118.2,1867.4,3427.4,3439.5,806.9,911.0,1213.3,1392.1,1125.2,1007.3,-5.0,6.0,-2.0,10910.0,11531.0,3950.0,904.0,11.0,-16.0,6.0,-3.0,0.0,12.0,12414.0,9539.0,-1706.0,-4520.0,5.0,2.0,-2.0,1.0
2022-05-23 15:50:05.102843-07:00,2057.4,614.9,1041.8,1264.9,1062.5,1218.6,1107.8,1318.7,3415.3,3426.2,1387.5,1250.6,1402.1,3435.8,1052.2,1433.2,3416.5,3418.9,697.0,1272.1,873.8,581.8,1118.2,1867.4,3428.6,3426.2,806.9,911.0,1217.7,1389.4,1125.2,1007.3,2.0,-1.0,-7.0,10909.0,11532.0,3954.0,906.0,-11.0,29.0,-9.0,5.0,0.0,5.0,12413.0,9541.0,-1706.0,-4519.0,-1.0,8.0,-2.0,1.0
2022-05-23 15:50:05.162266-07:00,2057.4,609.2,1057.3,1264.9,1061.7,1221.3,1107.8,1318.7,3422.5,3423.7,1383.0,1250.6,1400.3,3434.6,1052.2,1433.2,3416.5,3418.9,697.0,1270.3,873.8,582.6,1120.9,1864.5,3428.6,3426.2,811.0,912.7,1217.7,1390.3,1127.9,1011.6,3.0,6.0,-7.0,10909.0,11531.0,3954.0,907.0,-7.0,0.0,5.0,2.0,2.0,0.0,12413.0,9541.0,-1706.0,-4519.0,-9.0,1.0,-7.0,1.0
2022-05-23 15:50:05.192662-07:00,2057.4,609.2,1057.3,1266.7,1061.7,1222.2,1120.0,1307.0,3422.5,3423.7,1383.0,1247.1,1400.3,3423.7,1053.0,1433.2,3426.2,3420.1,699.5,1270.3,859.5,582.6,1120.9,1864.5,3421.3,3423.7,807.7,912.7,1216.0,1390.3,1127.9,1011.6,-4.0,-4.0,-2.0,10909.0,11528.0,3963.0,903.0,-2.0,14.0,-26.0,3.0,0.0,12.0,12412.0,9541.0,-1703.0,-4522.0,2.0,12.0,-10.0,1.0
2022-05-23 15:50:05.253450-07:00,2063.5,607.6,1040.9,1266.7,1066.0,1222.2,1120.0,1307.0,3429.8,3423.7,1385.7,1247.1,1397.6,3423.7,1053.0,1433.2,3426.2,3420.1,699.5,1266.7,859.5,585.1,1120.0,1859.6,3421.3,3423.7,807.7,916.0,1216.0,1386.6,1122.6,1007.3,4.0,-13.0,0.0,10908.0,11528.0,3967.0,898.0,12.0,-3.0,-9.0,1.0,-9.0,9.0,12412.0,9542.0,-1699.0,-4521.0,3.0,2.0,0.0,1.0
2022-05-23 15:50:05.312652-07:00,2063.5,607.6,1040.9,1259.6,1066.0,1226.6,1119.1,1310.6,3429.8,3423.7,1385.7,1245.3,1397.6,3428.6,1047.0,1436.9,3416.5,3415.3,706.0,1266.7,862.1,585.1,1120.0,1859.6,3422.5,3424.9,808.5,916.0,1217.7,1386.6,1122.6,1007.3,3.0,-8.0,-11.0,10915.0,11523.0,3963.0,908.0,-36.0,5.0,22.0,5.0,-12.0,9.0,12416.0,9538.0,-1702.0,-4517.0,-16.0,0.0,19.0,1.0
2022-05-23 15:50:05.342653-07:00,2057.4,607.6,1036.6,1259.6,1068.6,1226.6,1119.1,1310.6,3434.6,3423.7,1377.5,1245.3,1400.3,3428.6,1047.0,1436.9,3416.5,3415.3,706.0,1270.3,862.1,582.6,1118.2,1872.3,3422.5,3424.9,808.5,913.5,1217.7,1387.5,1142.7,1018.5,-6.0,20.0,-15.0,10913.0,11527.0,3956.0,906.0,18.0,-25.0,4.0,-3.0,17.0,2.0,12415.0,9540.0,-1703.0,-4516.0,4.0,-9.0,-7.0,1.0
2022-05-23 15:50:05.402811-07:00,2057.4,607.6,1036.6,1274.7,1059.9,1218.6,1120.9,1307.9,3434.6,3423.7,1377.5,1251.5,1401.2,3428.6,1052.2,1437.8,3428.6,3421.3,702.8,1272.1,857.9,582.6,1118.2,1872.3,3429.8,3428.6,806.9,914.4,1219.5,1387.5,1142.7,1018.5,6.0,-6.0,0.0,10920.0,11520.0,3958.0,901.0,-10.0,14.0,-20.0,3.0,-9.0,1.0,12415.0,9538.0,-1699.0,-4520.0,6.0,6.0,-11.0,1.0
2022-05-23 15:50:05.462685-07:00,2054.4,603.6,1044.4,1264.9,1059.9,1218.6,1120.9,1307.9,3420.1,3422.5,1382.1,1254.2,1401.2,3428.6,1052.2,1437.8,3428.6,3421.3,702.8,1272.1,859.5,577.0,1122.6,1859.6,3429.8,3428.6,806.9,914.4,1216.8,1387.5,1126.1,1010.8,-1.0,-8.0,-12.0,10916.0,11523.0,3963.0,900.0,6.0,-8.0,-6.0,-2.0,-3.0,0.0,12412.0,9542.0,-1701.0,-4521.0,4.0,-10.0,-5.0,1.0
2022-05-23 15:50:05.492694-07:00,2054.4,603.6,1044.4,1264.9,1062.5,1233.7,1112.1,1308.8,3420.1,3422.5,1382.1,1254.2,1404.9,3416.5,1051.3,1435.0,3429.8,3418.9,700.3,1273.9,859.5,577.0,1122.6,1859.6,3428.6,3435.8,802.7,914.4,1216.8,1387.5,1126.1,1010.8,9.0,-1.0,-1.0,10922.0,11519.0,3956.0,902.0,-6.0,5.0,17.0,6.0,-1.0,5.0,12414.0,9538.0,-1702.0,-4524.0,8.0,-7.0,3.0,1.0
2022-05-23 15:50:05.582694-07:00,2054.4,615.7,1042.6,1264.0,1062.5,1233.7,1112.1,1308.8,3429.8,3428.6,1377.5,1244.4,1404.9,3416.5,1051.3,1435.0,3429.8,3418.9,700.3,1273.9,857.0,574.6,1121.7,1864.5,3428.6,3435.8,802.7,914.4,1216.0,1393.0,1127.9,993.6,-7.0,6.0,-7.0,10917.0,11520.0,3966.0,905.0,10.0,18.0,-16.0,-4.0,-1.0,12.0,12411.0,9542.0,-1703.0,-4524.0,9.0,5.0,-12.0,1.0
2022-05-23 15:50:05.612482-07:00,2054.4,615.7,1042.6,1264.0,1061.7,1218.6,1113.0,1303.4,3429.8,3428.6,1377.5,1244.4,1393.9,3417.7,1050.4,1433.2,3429.8,3414.1,701.1,1264.9,857.0,574.6,1121.7,1864.5,3434.6,3429.8,813.5,915.2,1216.0,1393.0,1127.9,993.6,2.0,-16.0,-5.0,10917.0,11519.0,3969.0,902.0,1.0,0.0,-3.0,4.0,-10.0,0.0,12409.0,9544.0,-1702.0,-4525.0,1.0,-2.0,2.0,1.0
2022-05-23 15:50:05.642735-07:00,2059.4,604.4,1045.2,1264.0,1061.7,1218.6,1113.0,1303.4,3433.4,3417.7,1383.0,1247.1,1393.9,3417.7,1050.4,1433.2,3429.8,3414.1,701.1,1264.9,861.2,583.5,1122.6,1863.5,3434.6,3429.8,813.5,915.2,1216.0,1387.5,1123.5,1015.1,10.0,0.0,-16.0,10918.0,11520.0,3963.0,908.0,-16.0,-3.0,26.0,6.0,2.0,-3.0,12409.0,9543.0,-1706.0,-4524.0,-7.0,-17.0,11.0,1.0
2022-05-23 15:50:05.702841-07:00,2065.5,604.4,1045.2,1264.0,1066.0,1225.7,1120.9,1310.6,3427.4,3417.7,1383.0,1247.1,1398.5,3423.7,1053.0,1437.8,3421.3,3431.0,699.5,1268.5,861.2,583.5,1122.6,1869.3,3429.8,3428.6,811.9,911.8,1216.0,1387.5,1123.5,1016.8,-5.0,7.0,-17.0,10924.0,11517.0,3954.0,911.0,-18.0,-29.0,18.0,-4.0,2.0,3.0,12410.0,9538.0,-1713.0,-4529.0,-10.0,-27.0,1.0,1.0
2022-05-23 15:50:05.762801-07:00,2065.5,605.2,1040.9,1265.8,1066.0,1225.7,1120.9,1317.8,3427.4,3424.9,1382.1,1245.3,1398.5,3423.7,1053.0,1436.9,3426.2,3431.0,699.5,1268.5,856.2,578.6,1119.1,1869.3,3428.6,3428.6,811.9,911.8,1209.7,1382.1,1121.7,1016.8,0.0,-1.0,-7.0,10933.0,11512.0,3942.0,906.0,-17.0,-34.0,12.0,3.0,-5.0,13.0,12413.0,9531.0,-1718.0,-4535.0,-12.0,-23.0,-4.0,1.0
2022-05-23 15:50:05.793050-07:00,2058.4,605.2,1040.9,1265.8,1070.3,1218.6,1110.4,1317.8,3418.9,3424.9,1382.1,1245.3,1404.9,3421.3,1049.6,1436.9,3426.2,3429.8,697.0,1275.6,856.2,578.6,1119.1,1866.4,3428.6,3428.6,811.0,916.0,1209.7,1382.1,1121.7,1017.6,2.0,-16.0,1.0,10941.0,11511.0,3924.0,903.0,-6.0,-32.0,33.0,2.0,-15.0,12.0,12415.0,9526.0,-1722.0,-4539.0,-5.0,-10.0,5.0,1.0
2022-05-23 15:50:05.852835-07:00,2058.4,609.2,1044.4,1269.4,1070.3,1218.6,1110.4,1308.8,3418.9,3418.9,1386.6,1252.4,1404.9,3421.3,1049.6,1441.5,3422.5,3429.8,697.0,1275.6,862.1,577.0,1118.2,1866.4,3437.0,3428.6,811.0,916.0,1216.8,1393.0,1127.9,1017.6,1.0,6.0,6.0,10944.0,11514.0,3909.0,900.0,-2.0,4.0,6.0,1.0,-4.0,15.0,12414.0,9526.0,-1725.0,-4541.0,5.0,1.0,6.0,1.0
2022-05-23 15:50:05.912731-07:00,2059.4,609.2,1044.4,1269.4,1069.5,1223.0,1110.4,1308.8,3437.0,3418.9,1386.6,1252.4,1399.4,3428.6,1047.0,1441.5,3422.5,3418.9,709.3,1261.3,862.1,577.0,1118.2,1866.4,3437.0,3426.2,813.5,912.7,1216.8,1393.0,1127.9,1014.2,3.0,5.0,-9.0,10936.0,11521.0,3911.0,899.0,31.0,14.0,-2.0,2.0,5.0,7.0,12409.0,9533.0,-1725.0,-4538.0,19.0,9.0,-1.0,1.0
2022-05-23 15:50:05.942765-07:00,2059.4,606.8,1049.6,1274.7,1069.5,1223.0,1118.2,1309.7,3437.0,3426.2,1383.0,1244.4,1399.4,3428.6,1052.2,1438.7,3426.2,3422.5,709.3,1261.3,857.0,579.4,1119.1,1866.4,3439.5,3431.0,813.5,912.7,1229.3,1392.1,1119.1,1014.2,5.0,-11.0,-7.0,10937.0,11518.0,3915.0,903.0,-13.0,22.0,-10.0,2.0,-13.0,1.0,12408.0,9534.0,-1724.0,-4538.0,2.0,7.0,0.0,1.0
2022-05-23 15:50:06.002768-07:00,2050.4,610.0,1049.6,1274.7,1059.9,1222.2,1118.2,1309.7,3431.0,3434.6,1383.0,1244.4,1399.4,3424.9,1052.2,1438.7,3426.2,3422.5,700.3,1269.4,857.0,579.4,1122.6,1865.4,3439.5,3431.0,805.2,911.8,1229.3,1392.1,1128.7,1009.0,2.0,-3.0,-12.0,10933.0,11520.0,3919.0,908.0,-3.0,7.0,12.0,2.0,-1.0,2.0,12406.0,9538.0,-1726.0,-4537.0,1.0,-3.0,4.0,1.0
2022-05-23 15:50:06.092751-07:00,2050.4,610.0,1043.5,1269.4,1059.9,1222.2,1107.8,1313.3,3431.0,3434.6,1378.5,1248.8,1399.4,3424.9,1040.9,1428.6,3422.5,3418.9,700.3,1269.4,863.7,579.4,1122.6,1865.4,3423.7,3431.0,805.2,911.8,1216.0,1387.5,1128.7,1009.0,0.0,-2.0,-15.0,10936.0,11520.0,3911.0,909.0,-14.0,-32.0,19.0,3.0,-1.0,7.0,12406.0,9537.0,-1727.0,-4538.0,-12.0,-15.0,-1.0,1.0
2022-05-23 15:50:06.093747-07:00,2063.5,606.0,1043.5,1269.4,1066.0,1219.5,1107.8,1313.3,3421.3,3423.7,1378.5,1248.8,1395.7,3426.2,1040.9,1428.6,3422.5,3418.9,699.5,1268.5,863.7,579.4,1114.7,1861.5,3423.7,3431.0,812.7,914.4,1216.0,1387.5,1118.2,1021.1,4.0,0.0,-5.0,10946.0,11514.0,3901.0,912.0,-22.0,4.0,7.0,2.0,-8.0,6.0,12407.0,9532.0,-1731.0,-4542.0,-5.0,-8.0,0.0,1.0
2022-05-23 15:50:06.152744-07:00,2063.5,606.0,1045.2,1268.5,1066.0,1219.5,1118.2,1317.8,3421.3,3423.7,1382.1,1253.3,1395.7,3426.2,1052.2,1440.5,3420.1,3428.6,699.5,1268.5,857.9,577.8,1114.7,1861.5,3434.6,3429.8,812.7,914.4,1218.6,1397.6,1118.2,1021.1,-1.0,9.0,0.0,10946.0,11514.0,3903.0,911.0,-6.0,4.0,-15.0,4.0,0.0,14.0,12407.0,9533.0,-1730.0,-4544.0,3.0,1.0,-12.0,1.0
2022-05-23 15:50:06.212656-07:00,2053.4,609.2,1045.2,1268.5,1066.0,1217.7,1118.2,1317.8,3429.8,3433.4,1382.1,1253.3,1397.6,3439.5,1052.2,1440.5,3420.1,3428.6,699.5,1264.9,857.9,577.8,1118.2,1860.6,3434.6,3429.8,811.0,919.4,1218.6,1397.6,1126.1,1003.9,4.0,-4.0,0.0,10945.0,11510.0,3916.0,908.0,2.0,36.0,-27.0,3.0,-8.0,6.0,12405.0,9535.0,-1724.0,-4546.0,9.0,14.0,-11.0,1.0
2022-05-23 15:50:06.242733-07:00,2053.4,609.2,1052.2,1267.6,1066.0,1219.5,1114.7,1314.2,3429.8,3433.4,1374.8,1248.8,1397.6,3429.8,1056.5,1436.0,3429.8,3423.7,697.9,1264.9,859.5,582.6,1118.2,1860.6,3427.4,3434.6,806.9,919.4,1216.8,1390.3,1126.1,1003.9,2.0,-16.0,-11.0,10942.0,11509.0,3925.0,913.0,1.0,17.0,0.0,2.0,-10.0,-9.0,12403.0,9539.0,-1720.0,-4543.0,9.0,2.0,0.0,1.0
2022-05-23 15:50:06.302822-07:00,2057.4,614.9,1042.6,1267.6,1060.8,1219.5,1114.7,1314.2,3418.9,3424.9,1382.1,1248.8,1398.5,3429.8,1056.5,1436.0,3429.8,3423.7,697.9,1266.7,859.5,574.6,1111.2,1865.4,3427.4,3434.6,806.9,910.1,1216.8,1394.8,1118.2,1015.1,2.0,-4.0,-20.0,10941.0,11509.0,3929.0,917.0,-9.0,-12.0,6.0,6.0,-6.0,0.0,12403.0,9539.0,-1721.0,-4544.0,1.0,-11.0,4.0,1.0
2022-05-23 15:50:06.362912-07:00,2057.4,614.9,1042.6,1263.1,1060.8,1229.3,1119.1,1301.6,3418.9,3424.9,1382.1,1248.8,1398.5,3424.9,1056.5,1437.8,3420.1,3417.7,697.9,1266.7,860.4,574.6,1111.2,1865.4,3418.9,3429.8,807.7,910.1,1216.0,1394.8,1118.2,1015.1,0.0,8.0,-11.0,10937.0,11515.0,3924.0,909.0,-2.0,-29.0,-1.0,-2.0,1.0,0.0,12400.0,9541.0,-1727.0,-4547.0,4.0,-25.0,-8.0,1.0
2022-05-23 15:50:06.392761-07:00,2060.5,610.0,1047.8,1263.1,1060.8,1229.3,1119.1,1301.6,3427.4,3420.1,1381.2,1248.8,1397.6,3424.9,1056.5,1437.8,3420.1,3417.7,697.9,1271.2,860.4,578.6,1122.6,1873.2,3418.9,3429.8,807.7,908.4,1216.0,1392.1,1124.4,1012.5,3.0,-12.0,2.0,10944.0,11510.0,3922.0,901.0,6.0,-18.0,-7.0,5.0,-12.0,13.0,12400.0,9537.0,-1731.0,-4552.0,7.0,-13.0,-9.0,1.0
2022-05-23 15:50:06.483353-07:00,2060.5,610.0,1047.8,1259.6,1060.8,1223.9,1108.6,1314.2,3427.4,3420.1,1381.2,1249.7,1397.6,3429.8,1051.3,1441.5,3423.7,3418.9,697.9,1271.2,861.2,578.6,1122.6,1873.2,3432.2,3423.7,809.4,908.4,1215.1,1392.1,1124.4,1012.5,5.0,8.0,2.0,10941.0,11514.0,3917.0,894.0,-12.0,-12.0,-2.0,2.0,3.0,10.0,12397.0,9540.0,-1733.0,-4552.0,-9.0,-8.0,-2.0,1.0
2022-05-23 15:50:06.484195-07:00,2052.4,613.3,1038.3,1259.6,1072.1,1223.9,1108.6,1314.2,3417.7,3428.6,1382.1,1248.8,1398.5,3429.8,1051.3,1441.5,3423.7,3418.9,697.9,1275.6,858.7,576.2,1116.5,1865.4,3432.2,3423.7,809.4,916.0,1213.3,1389.4,1127.0,1019.4,-6.0,-4.0,-6.0,10948.0,11506.0,3921.0,898.0,6.0,22.0,-7.0,-4.0,-10.0,13.0,12400.0,9536.0,-1732.0,-4553.0,9.0,5.0,1.0,1.0
2022-05-23 15:50:06.542763-07:00,2052.4,613.3,1038.3,1259.6,1060.8,1216.0,1117.4,1310.6,3417.7,3428.6,1382.1,1248.8,1396.7,3420.1,1046.1,1433.2,3426.2,3424.9,701.9,1275.6,858.7,576.2,1116.5,1865.4,3426.2,3431.0,809.4,913.5,1213.3,1389.4,1127.0,1019.4,7.0,2.0,-9.0,10944.0,11509.0,3925.0,899.0,-5.0,21.0,-13.0,1.0,0.0,1.0,12398.0,9540.0,-1733.0,-4552.0,3.0,-6.0,1.0,1.0
2022-05-23 15:50:06.602859-07:00,2052.4,616.5,1050.4,1264.0,1060.8,1216.0,1117.4,1310.6,3429.8,3424.9,1389.4,1247.1,1396.7,3420.1,1046.1,1433.2,3426.2,3424.9,701.9,1275.6,857.9,575.4,1113.9,1865.4,3426.2,3431.0,809.4,913.5,1216.8,1382.1,1113.0,1015.1,-2.0,-8.0,-5.0,10949.0,11498.0,3939.0,910.0,-44.0,36.0,-11.0,0.0,-10.0,11.0,12401.0,9534.0,-1735.0,-4556.0,-28.0,-6.0,2.0,1.0
2022-05-23 15:50:06.662622-07:00,2052.4,616.5,1050.4,1264.0,1062.5,1228.4,1126.1,1310.6,3429.8,3424.9,1389.4,1247.1,1394.8,3427.4,1056.5,1436.9,3431.0,3422.5,701.1,1268.5,857.9,575.4,1113.9,1865.4,3429.8,3429.8,794.4,917.7,1216.8,1382.1,1113.0,1015.1,1.0,0.0,-12.0,10951.0,11493.0,3948.0,917.0,13.0,-7.0,2.0,5.0,-2.0,10.0,12403.0,9531.0,-1734.0,-4556.0,5.0,1.0,0.0,1.0
2022-05-23 15:50:06.693212-07:00,2058.4,609.2,1045.2,1264.0,1062.5,1228.4,1126.1,1310.6,3439.5,3434.6,1383.0,1250.6,1394.8,3427.4,1056.5,1436.9,3431.0,3422.5,701.1,1268.5,857.0,577.0,1122.6,1860.6,3429.8,3429.8,794.4,917.7,1217.7,1390.3,1125.2,1012.5,-1.0,-9.0,-8.0,10955.0,11490.0,3946.0,917.0,-37.0,5.0,-7.0,2.0,-10.0,11.0,12406.0,9527.0,-1732.0,-4557.0,-27.0,-3.0,-4.0,1.0
2022-05-23 15:50:06.752477-07:00,2058.4,609.2,1045.2,1264.0,1063.4,1223.0,1114.7,1314.2,3439.5,3434.6,1383.0,1250.6,1396.7,3429.8,1053.0,1428.6,3420.1,3418.9,700.3,1270.3,857.0,577.0,1122.6,1860.6,3424.9,3424.9,811.0,915.2,1217.7,1390.3,1125.2,1012.5,5.0,0.0,-4.0,10959.0,11486.0,3946.0,919.0,-8.0,0.0,-2.0,3.0,-5.0,9.0,12408.0,9524.0,-1731.0,-4557.0,-4.0,2.0,-2.0,1.0
