Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 14:50:01.243347-07:00,1983.6,555.4,1124.4,1319.6,889.8,1121.7,1180.6,1262.2,3438.2,3444.3,1578.6,1370.3,1366.6,3449.1,1022.8,1445.1,3444.3,3440.7,723.3,1367.6,945.8,562.6,1267.6,1722.4,3438.2,3444.3,679.1,904.2,1255.1,1379.4,1188.5,982.5,-11.0,8.0,8.0,8332.0,11864.0,-5915.0,-4825.0,-6.0,-17.0,0.0,-7.0,-1.0,-1.0,11053.0,10742.0,4765.0,2861.0,-9.0,-10.0,2.0,1.0
2022-05-13 14:50:01.243901-07:00,1982.6,555.4,1124.4,1319.6,895.7,1115.6,1174.4,1262.2,3437.0,3444.3,1578.6,1370.3,1360.3,3445.5,1021.9,1445.1,3444.3,3435.8,734.0,1373.0,945.8,562.6,1267.6,1713.8,3438.2,3445.5,677.4,901.7,1255.1,1379.4,1188.5,982.5,-7.0,1.0,13.0,8331.0,11862.0,-5917.0,-4828.0,-5.0,-3.0,4.0,-4.0,-4.0,4.0,11053.0,10742.0,4765.0,2861.0,-3.0,-4.0,4.0,1.0
2022-05-13 14:50:01.379997-07:00,1982.6,555.4,1125.2,1313.3,895.7,1115.6,1174.4,1265.8,3437.0,3446.7,1576.8,1363.9,1360.3,3445.5,1021.9,1443.3,3438.2,3435.8,734.0,1373.0,950.9,559.4,1266.7,1713.8,3438.2,3445.5,677.4,901.7,1244.4,1378.5,1195.6,982.5,-2.0,6.0,5.0,8331.0,11863.0,-5916.0,-4827.0,14.0,13.0,5.0,-3.0,-2.0,3.0,11052.0,10743.0,4765.0,2861.0,13.0,8.0,0.0,1.0
2022-05-13 14:50:01.381618-07:00,1988.5,555.4,1125.2,1313.3,896.6,1126.1,1179.7,1265.8,3437.0,3446.7,1576.8,1363.9,1355.8,3438.2,1021.9,1443.3,3438.2,3428.6,731.5,1363.9,950.9,559.4,1266.7,1718.6,3438.2,3444.3,675.0,900.8,1244.4,1378.5,1195.6,985.0,-5.0,10.0,-1.0,8329.0,11867.0,-5915.0,-4821.0,0.0,4.0,-3.0,-5.0,0.0,-2.0,11049.0,10745.0,4766.0,2860.0,4.0,5.0,0.0,1.0
2022-05-13 14:50:01.382611-07:00,1988.5,553.0,1120.9,1312.4,896.6,1126.1,1179.7,1259.6,3437.0,3440.7,1579.6,1363.9,1355.8,3438.2,1021.9,1442.4,3433.4,3428.6,731.5,1363.9,945.8,567.4,1269.4,1718.6,3439.5,3444.3,675.0,900.8,1248.0,1380.3,1199.1,985.0,-5.0,2.0,0.0,8331.0,11866.0,-5914.0,-4822.0,-8.0,1.0,10.0,-4.0,-6.0,1.0,11050.0,10744.0,4766.0,2861.0,-6.0,-2.0,7.0,1.0
2022-05-13 14:50:01.424533-07:00,1991.5,556.2,1120.9,1312.4,888.2,1118.2,1179.7,1259.6,3435.8,3441.9,1579.6,1363.9,1362.1,3441.9,1017.6,1442.4,3433.4,3444.3,731.5,1373.9,945.8,567.4,1263.1,1717.7,3439.5,3446.7,674.2,919.4,1248.0,1380.3,1192.9,979.9,-1.0,9.0,3.0,8331.0,11865.0,-5915.0,-4822.0,-11.0,-5.0,-7.0,0.0,-2.0,0.0,11051.0,10744.0,4766.0,2861.0,-11.0,-3.0,0.0,1.0
2022-05-13 14:50:01.469728-07:00,1991.5,556.2,1123.5,1316.0,888.2,1118.2,1177.0,1257.8,3435.8,3441.9,1575.8,1367.6,1362.1,3441.9,1027.1,1445.1,3435.8,3439.5,731.5,1373.9,950.0,560.2,1263.1,1717.7,3440.7,3440.7,674.2,919.4,1244.4,1377.5,1192.9,979.9,-2.0,5.0,6.0,8333.0,11863.0,-5915.0,-4824.0,4.0,-16.0,13.0,-1.0,-1.0,2.0,11052.0,10742.0,4765.0,2861.0,4.0,-6.0,4.0,1.0
2022-05-13 14:50:01.559020-07:00,1984.6,557.8,1123.5,1316.0,892.4,1119.1,1177.0,1257.8,3443.1,3444.3,1575.8,1367.6,1362.1,3440.7,1027.1,1445.1,3435.8,3439.5,735.6,1379.4,950.0,560.2,1256.0,1722.4,3440.7,3440.7,680.7,907.6,1244.4,1377.5,1192.0,986.7,-8.0,12.0,9.0,8334.0,11862.0,-5916.0,-4826.0,-7.0,4.0,-6.0,-7.0,-3.0,4.0,11052.0,10742.0,4765.0,2861.0,-9.0,-6.0,-3.0,1.0
2022-05-13 14:50:01.604238-07:00,1984.6,557.8,1125.2,1313.3,892.4,1119.1,1183.2,1267.6,3443.1,3444.3,1581.4,1368.5,1362.1,3440.7,1022.8,1445.1,3441.9,3437.0,735.6,1379.4,946.6,564.2,1256.0,1722.4,3439.5,3439.5,680.7,907.6,1248.0,1378.5,1192.0,986.7,-4.0,4.0,10.0,8332.0,11863.0,-5916.0,-4825.0,16.0,10.0,-10.0,-2.0,-5.0,0.0,11052.0,10741.0,4768.0,2861.0,9.0,10.0,-10.0,1.0
2022-05-13 14:50:01.649162-07:00,1985.6,553.0,1125.2,1313.3,891.5,1120.9,1183.2,1267.6,3431.0,3438.2,1581.4,1368.5,1363.0,3438.2,1022.8,1445.1,3441.9,3437.0,730.7,1373.9,946.6,564.2,1265.8,1717.7,3439.5,3439.5,679.1,901.7,1248.0,1378.5,1196.5,981.6,-1.0,10.0,5.0,8328.0,11869.0,-5915.0,-4819.0,12.0,12.0,0.0,-2.0,2.0,-3.0,11047.0,10744.0,4773.0,2864.0,8.0,12.0,-2.0,1.0
2022-05-13 14:50:01.829077-07:00,1985.6,553.0,1125.2,1314.2,891.5,1120.9,1181.5,1264.0,3431.0,3438.2,1582.4,1369.4,1363.0,3438.2,1025.4,1448.8,3439.5,3438.2,730.7,1373.9,945.8,561.8,1265.8,1717.7,3432.2,3441.9,679.1,901.7,1250.6,1379.4,1196.5,981.6,-2.0,5.0,1.0,8328.0,11871.0,-5914.0,-4816.0,1.0,5.0,-6.0,-1.0,0.0,-6.0,11047.0,10743.0,4773.0,2864.0,-1.0,6.0,-1.0,1.0
2022-05-13 14:50:01.830088-07:00,1990.5,552.2,1120.9,1314.2,899.1,1115.6,1181.5,1264.0,3440.7,3441.9,1577.7,1369.4,1362.1,3435.8,1025.4,1448.8,3439.5,3438.2,730.7,1375.7,945.8,562.6,1260.4,1717.7,3432.2,3441.9,681.5,905.9,1250.6,1372.1,1192.9,977.3,-7.0,9.0,2.0,8327.0,11870.0,-5915.0,-4817.0,-1.0,-13.0,-2.0,-7.0,0.0,-6.0,11047.0,10743.0,4773.0,2864.0,-1.0,-7.0,-1.0,1.0
2022-05-13 14:50:01.831060-07:00,1990.5,552.2,1120.9,1307.9,899.1,1116.5,1185.0,1267.6,3440.7,3441.9,1577.7,1372.1,1362.1,3446.7,1014.2,1448.8,3435.8,3439.5,734.0,1375.7,948.3,562.6,1260.4,1717.7,3438.2,3433.4,676.6,905.9,1248.8,1372.1,1192.9,977.3,-9.0,6.0,9.0,8327.0,11868.0,-5917.0,-4822.0,-5.0,-9.0,1.0,-9.0,-4.0,2.0,11048.0,10743.0,4771.0,2863.0,-4.0,-10.0,0.0,1.0
2022-05-13 14:50:01.832882-07:00,1991.5,553.0,1131.4,1307.9,892.4,1116.5,1185.0,1267.6,3438.2,3434.6,1576.8,1372.1,1367.6,3446.7,1014.2,1448.8,3435.8,3439.5,734.0,1374.8,948.3,565.8,1263.1,1718.6,3438.2,3433.4,676.6,906.7,1248.8,1377.5,1198.2,984.2,-6.0,8.0,9.0,8327.0,11868.0,-5917.0,-4822.0,3.0,-10.0,-2.0,-4.0,-4.0,6.0,11048.0,10743.0,4771.0,2863.0,2.0,0.0,0.0,1.0
2022-05-13 14:50:01.873836-07:00,1991.5,553.0,1131.4,1314.2,892.4,1123.5,1175.3,1264.9,3438.2,3434.6,1576.8,1360.3,1367.6,3444.3,1019.4,1443.3,3441.9,3423.7,727.4,1374.8,950.9,565.8,1263.1,1718.6,3446.7,3439.5,670.9,906.7,1245.3,1377.5,1198.2,984.2,-8.0,10.0,8.0,8326.0,11868.0,-5917.0,-4821.0,19.0,13.0,-4.0,-3.0,1.0,0.0,11047.0,10744.0,4771.0,2863.0,12.0,8.0,-4.0,1.0
2022-05-13 14:50:01.921138-07:00,1983.6,560.2,1124.4,1314.2,889.8,1123.5,1175.3,1264.9,3438.2,3428.6,1578.6,1360.3,1355.8,3444.3,1019.4,1443.3,3441.9,3423.7,727.4,1370.3,950.9,570.6,1259.6,1720.5,3446.7,3439.5,670.9,906.7,1245.3,1373.9,1207.1,979.9,-2.0,7.0,0.0,8321.0,11873.0,-5918.0,-4816.0,12.0,0.0,-7.0,-3.0,0.0,-1.0,11043.0,10748.0,4773.0,2861.0,10.0,5.0,-3.0,1.0
2022-05-13 14:50:01.964593-07:00,1983.6,560.2,1124.4,1304.3,884.8,1120.0,1175.3,1264.0,3438.2,3428.6,1578.6,1365.7,1362.1,3440.7,1022.8,1439.6,3438.2,3434.6,731.5,1375.7,947.5,570.6,1259.6,1720.5,3440.7,3433.4,675.8,901.7,1257.8,1373.9,1207.1,979.9,-7.0,5.0,0.0,8321.0,11874.0,-5918.0,-4816.0,-11.0,1.0,8.0,-3.0,-7.0,0.0,11043.0,10748.0,4773.0,2861.0,-1.0,-4.0,4.0,1.0
2022-05-13 14:50:02.054005-07:00,1978.6,556.2,1126.1,1307.9,884.8,1120.0,1175.3,1264.0,3444.3,3441.9,1581.4,1363.9,1362.1,3440.7,1022.8,1439.6,3438.2,3434.6,731.5,1375.7,945.8,557.8,1264.9,1720.5,3440.7,3433.4,675.8,901.7,1249.7,1368.5,1199.1,981.6,-3.0,4.0,11.0,8317.0,11873.0,-5921.0,-4820.0,5.0,-12.0,-15.0,-3.0,0.0,-1.0,11043.0,10748.0,4773.0,2861.0,2.0,-3.0,-1.0,1.0
2022-05-13 14:50:02.099742-07:00,1978.6,556.2,1126.1,1307.9,893.2,1111.2,1177.0,1267.6,3444.3,3441.9,1581.4,1363.9,1364.8,3433.4,1021.1,1445.1,3454.0,3438.2,731.5,1373.0,945.8,557.8,1264.9,1720.5,3445.5,3437.0,675.0,905.9,1249.7,1368.5,1199.1,981.6,-3.0,14.0,8.0,8317.0,11873.0,-5921.0,-4820.0,9.0,-5.0,12.0,-2.0,0.0,1.0,11043.0,10748.0,4773.0,2861.0,8.0,-5.0,4.0,1.0
2022-05-13 14:50:02.144443-07:00,1985.6,553.8,1126.1,1317.8,893.2,1111.2,1177.0,1267.6,3449.1,3439.5,1578.6,1363.9,1364.8,3433.4,1021.1,1445.1,3454.0,3438.2,731.5,1373.0,947.5,562.6,1267.6,1721.5,3445.5,3437.0,675.0,905.9,1256.9,1371.2,1188.5,988.5,-11.0,9.0,6.0,8317.0,11874.0,-5921.0,-4819.0,5.0,4.0,-8.0,-7.0,-2.0,5.0,11043.0,10748.0,4773.0,2861.0,4.0,6.0,-7.0,1.0
2022-05-13 14:50:02.189848-07:00,1985.6,553.8,1126.1,1317.8,891.5,1116.5,1176.2,1267.6,3449.1,3439.5,1578.6,1363.9,1373.0,3449.1,1023.7,1438.7,3440.7,3441.9,734.0,1369.4,947.5,562.6,1267.6,1721.5,3449.1,3440.7,687.2,909.3,1256.9,1371.2,1188.5,988.5,-5.0,2.0,5.0,8314.0,11877.0,-5920.0,-4818.0,14.0,14.0,-3.0,-3.0,-5.0,-1.0,11043.0,10747.0,4774.0,2862.0,8.0,11.0,-3.0,1.0
2022-05-13 14:50:02.234251-07:00,1986.6,557.8,1123.5,1310.6,891.5,1116.5,1176.2,1257.8,3445.5,3439.5,1590.8,1368.5,1373.0,3449.1,1023.7,1436.0,3438.2,3441.9,734.0,1369.4,947.5,559.4,1263.1,1733.9,3437.0,3440.7,687.2,909.3,1248.8,1383.9,1187.6,987.6,-3.0,6.0,-4.0,8314.0,11879.0,-5919.0,-4814.0,4.0,5.0,2.0,-5.0,-1.0,-5.0,11043.0,10747.0,4776.0,2863.0,2.0,2.0,0.0,1.0
2022-05-13 14:50:02.324206-07:00,1979.6,557.8,1123.5,1310.6,886.5,1113.0,1177.9,1257.8,3440.7,3439.5,1590.8,1368.5,1364.8,3435.8,1017.6,1436.0,3438.2,3433.4,729.9,1374.8,947.5,559.4,1263.1,1720.5,3437.0,3439.5,679.9,906.7,1248.8,1383.9,1187.6,984.2,-3.0,2.0,1.0,8313.0,11879.0,-5918.0,-4815.0,-6.0,-10.0,-9.0,-5.0,0.0,-1.0,11043.0,10746.0,4775.0,2862.0,-10.0,-11.0,-3.0,1.0
2022-05-13 14:50:02.325700-07:00,1979.6,553.0,1133.1,1312.4,886.5,1113.0,1177.9,1261.3,3440.7,3440.7,1577.7,1364.8,1364.8,3435.8,1017.6,1441.5,3438.2,3433.4,729.9,1374.8,941.5,562.6,1264.0,1720.5,3439.5,3439.5,679.9,906.7,1250.6,1379.4,1198.2,984.2,-14.0,12.0,8.0,8311.0,11878.0,-5921.0,-4819.0,4.0,-10.0,2.0,-10.0,0.0,3.0,11045.0,10746.0,4773.0,2862.0,-3.0,-10.0,1.0,1.0
2022-05-13 14:50:02.414939-07:00,1984.6,553.0,1133.1,1312.4,894.1,1107.8,1173.5,1261.3,3432.2,3440.7,1577.7,1364.8,1354.9,3440.7,1021.1,1441.5,3438.2,3437.0,732.3,1377.5,941.5,562.6,1264.0,1722.4,3439.5,3449.1,675.8,907.6,1250.6,1379.4,1198.2,979.9,-10.0,8.0,9.0,8310.0,11877.0,-5922.0,-4821.0,7.0,0.0,-7.0,-7.0,-3.0,4.0,11044.0,10747.0,4774.0,2861.0,11.0,4.0,-2.0,1.0
2022-05-13 14:50:02.416025-07:00,1984.6,553.8,1118.2,1319.6,894.1,1107.8,1173.5,1263.1,3432.2,3444.3,1575.8,1363.9,1354.9,3440.7,1021.1,1443.3,3443.1,3437.0,732.3,1377.5,942.4,563.4,1267.6,1722.4,3447.9,3449.1,675.8,907.6,1239.9,1376.6,1195.6,979.9,-4.0,4.0,2.0,8308.0,11879.0,-5923.0,-4819.0,2.0,5.0,0.0,-4.0,2.0,-3.0,11043.0,10748.0,4774.0,2861.0,-4.0,1.0,3.0,1.0
2022-05-13 14:50:02.505354-07:00,1976.6,553.8,1118.2,1319.6,901.7,1110.4,1176.2,1263.1,3449.1,3444.3,1575.8,1363.9,1358.5,3429.8,1025.4,1443.3,3443.1,3435.8,732.3,1370.3,942.4,563.4,1267.6,1720.5,3447.9,3443.1,673.3,902.5,1239.9,1376.6,1195.6,979.0,-6.0,15.0,-2.0,8308.0,11879.0,-5925.0,-4817.0,14.0,-9.0,10.0,-5.0,0.0,-2.0,11042.0,10748.0,4774.0,2861.0,6.0,-2.0,-2.0,1.0
2022-05-13 14:50:02.549437-07:00,1976.6,552.2,1127.0,1308.8,901.7,1110.4,1178.8,1256.9,3449.1,3437.0,1583.3,1367.6,1358.5,3429.8,1028.8,1436.9,3434.6,3439.5,732.3,1370.3,945.8,561.0,1262.2,1720.5,3444.3,3443.1,673.3,902.5,1255.1,1377.5,1192.0,979.0,-4.0,0.0,4.0,8304.0,11880.0,-5926.0,-4821.0,-4.0,-8.0,-10.0,-3.0,-3.0,0.0,11042.0,10748.0,4774.0,2861.0,-5.0,-6.0,-2.0,1.0
2022-05-13 14:50:02.594216-07:00,1981.6,560.2,1127.0,1308.8,894.1,1120.9,1178.8,1256.9,3446.7,3441.9,1583.3,1367.6,1363.9,3438.2,1028.8,1436.9,3434.6,3439.5,724.9,1370.3,945.8,561.0,1265.8,1716.7,3444.3,3443.1,674.2,905.9,1255.1,1377.5,1192.0,987.6,-5.0,9.0,2.0,8304.0,11879.0,-5927.0,-4820.0,-4.0,-5.0,14.0,-2.0,-5.0,-2.0,11043.0,10749.0,4772.0,2860.0,0.0,-10.0,10.0,1.0
2022-05-13 14:50:02.639111-07:00,1981.6,560.2,1127.9,1316.9,894.1,1120.9,1181.5,1260.4,3446.7,3441.9,1577.7,1369.4,1363.9,3438.2,1020.2,1441.5,3439.5,3433.4,724.9,1370.3,947.5,559.4,1265.8,1716.7,3438.2,3444.3,674.2,905.9,1245.3,1374.8,1192.0,987.6,-11.0,11.0,3.0,8303.0,11876.0,-5932.0,-4823.0,-5.0,-19.0,-5.0,-6.0,-4.0,3.0,11045.0,10750.0,4768.0,2856.0,-9.0,-16.0,-3.0,1.0
2022-05-13 14:50:02.773527-07:00,1988.5,552.2,1127.9,1316.9,888.2,1114.7,1181.5,1260.4,3437.0,3446.7,1577.7,1369.4,1356.7,3437.0,1020.2,1441.5,3439.5,3433.4,729.0,1367.6,947.5,559.4,1262.2,1714.8,3438.2,3444.3,677.4,904.2,1245.3,1374.8,1188.5,981.6,-6.0,3.0,16.0,8300.0,11874.0,-5936.0,-4829.0,-3.0,-6.0,2.0,-2.0,0.0,3.0,11045.0,10750.0,4767.0,2855.0,0.0,-2.0,9.0,1.0
2022-05-13 14:50:02.777210-07:00,1988.5,552.2,1118.2,1307.9,888.2,1114.7,1179.7,1261.3,3437.0,3446.7,1579.6,1363.9,1356.7,3437.0,1019.4,1436.9,3439.5,3435.8,729.0,1367.6,948.3,566.6,1262.2,1714.8,3428.6,3439.5,677.4,904.2,1248.8,1379.4,1188.5,981.6,-12.0,22.0,3.0,8301.0,11875.0,-5938.0,-4822.0,15.0,18.0,10.0,-4.0,3.0,4.0,11042.0,10753.0,4768.0,2854.0,11.0,8.0,-3.0,1.0
2022-05-13 14:50:02.778239-07:00,1987.5,556.2,1122.6,1307.9,892.4,1120.9,1179.7,1261.3,3433.4,3435.8,1582.4,1363.9,1373.0,3438.2,1019.4,1436.9,3439.5,3435.8,724.9,1363.0,948.3,563.4,1257.8,1718.6,3428.6,3439.5,679.9,901.7,1248.8,1379.4,1190.3,1000.5,-9.0,1.0,5.0,8296.0,11881.0,-5935.0,-4821.0,16.0,-6.0,-14.0,-6.0,-6.0,2.0,11043.0,10752.0,4772.0,2852.0,3.0,4.0,-10.0,1.0
2022-05-13 14:50:02.997051-07:00,1987.5,556.2,1122.6,1301.6,892.4,1120.0,1174.4,1262.2,3433.4,3435.8,1582.4,1368.5,1373.0,3441.9,1021.1,1443.3,3432.2,3438.2,732.3,1363.0,953.4,563.4,1257.8,1718.6,3451.6,3438.2,675.8,901.7,1245.3,1379.4,1190.3,1000.5,-10.0,0.0,7.0,8296.0,11880.0,-5936.0,-4820.0,2.0,5.0,11.0,-7.0,-9.0,0.0,11043.0,10752.0,4772.0,2852.0,4.0,4.0,6.0,1.0
2022-05-13 14:50:03.044497-07:00,1985.6,556.2,1120.0,1301.6,896.6,1120.0,1174.4,1262.2,3439.5,3439.5,1586.1,1368.5,1360.3,3441.9,1021.1,1443.3,3432.2,3438.2,732.3,1371.2,953.4,568.2,1263.1,1716.7,3451.6,3438.2,675.8,909.3,1245.3,1376.6,1185.0,978.2,-9.0,6.0,-4.0,8297.0,11880.0,-5936.0,-4819.0,-13.0,-5.0,-6.0,-6.0,-3.0,-4.0,11043.0,10752.0,4772.0,2852.0,-9.0,-1.0,2.0,1.0
2022-05-13 14:50:03.089123-07:00,1985.6,556.2,1120.0,1308.8,896.6,1120.9,1184.1,1267.6,3439.5,3439.5,1586.1,1363.9,1360.3,3444.3,1021.1,1442.4,3428.6,3439.5,731.5,1371.2,947.5,568.2,1263.1,1716.7,3438.2,3445.5,678.2,909.3,1246.2,1376.6,1185.0,978.2,-6.0,4.0,1.0,8302.0,11875.0,-5939.0,-4820.0,-16.0,-6.0,21.0,-3.0,0.0,1.0,11043.0,10752.0,4768.0,2853.0,-8.0,-11.0,13.0,1.0
2022-05-13 14:50:03.092320-07:00,1977.6,559.4,1126.1,1308.8,893.2,1120.9,1184.1,1267.6,3440.7,3440.7,1579.6,1363.9,1360.3,3444.3,1021.1,1442.4,3428.6,3439.5,731.5,1371.2,947.5,569.0,1269.4,1720.5,3438.2,3445.5,678.2,905.9,1246.2,1383.0,1196.5,985.9,-8.0,13.0,11.0,8305.0,11871.0,-5941.0,-4822.0,-1.0,-11.0,-5.0,-3.0,1.0,10.0,11044.0,10752.0,4765.0,2853.0,0.0,-4.0,0.0,1.0
2022-05-13 14:50:03.093421-07:00,1977.6,559.4,1126.1,1307.0,893.2,1120.9,1168.2,1261.3,3440.7,3440.7,1579.6,1372.1,1360.3,3441.9,1017.6,1438.7,3434.6,3431.0,726.6,1371.2,940.7,569.0,1269.4,1720.5,3444.3,3435.8,677.4,905.9,1247.1,1383.0,1196.5,985.9,-8.0,4.0,14.0,8305.0,11870.0,-5942.0,-4822.0,8.0,11.0,5.0,-1.0,-3.0,2.0,11043.0,10753.0,4766.0,2853.0,12.0,10.0,0.0,1.0
2022-05-13 14:50:03.223932-07:00,1985.6,558.6,1123.5,1301.6,891.5,1120.9,1168.2,1261.3,3451.6,3441.9,1577.7,1363.9,1361.2,3441.9,1017.6,1438.7,3434.6,3431.0,726.6,1367.6,949.2,562.6,1264.9,1716.7,3444.3,3435.8,677.4,901.7,1244.4,1376.6,1190.3,983.3,-7.0,14.0,2.0,8305.0,11876.0,-5938.0,-4813.0,5.0,25.0,0.0,-8.0,3.0,-1.0,11039.0,10755.0,4771.0,2856.0,7.0,15.0,2.0,1.0
2022-05-13 14:50:03.225962-07:00,1985.6,558.6,1123.5,1301.6,889.0,1118.2,1179.7,1261.3,3451.6,3441.9,1577.7,1363.9,1370.3,3433.4,1015.9,1443.3,3441.9,3433.4,726.6,1373.9,949.2,562.6,1264.9,1716.7,3439.5,3444.3,671.7,906.7,1244.4,1376.6,1190.3,983.3,-6.0,1.0,0.0,8306.0,11877.0,-5937.0,-4809.0,13.0,1.0,11.0,-4.0,-5.0,-3.0,11038.0,10755.0,4771.0,2856.0,11.0,0.0,4.0,1.0
2022-05-13 14:50:03.227003-07:00,1983.6,555.4,1133.1,1307.0,889.0,1118.2,1179.7,1261.3,3439.5,3438.2,1590.8,1366.6,1370.3,3433.4,1015.9,1443.3,3441.9,3433.4,726.6,1373.9,946.6,559.4,1259.6,1722.4,3439.5,3444.3,671.7,906.7,1248.0,1373.9,1193.8,979.0,-6.0,9.0,5.0,8309.0,11875.0,-5939.0,-4809.0,-16.0,2.0,7.0,-6.0,-1.0,-3.0,11038.0,10755.0,4771.0,2856.0,-7.0,-7.0,6.0,1.0
2022-05-13 14:50:03.228013-07:00,1983.6,555.4,1133.1,1307.0,890.7,1112.1,1178.8,1254.2,3439.5,3438.2,1590.8,1366.6,1361.2,3428.6,1021.1,1438.7,3443.1,3431.0,741.4,1373.0,946.6,559.4,1259.6,1722.4,3441.9,3441.9,692.1,906.7,1248.0,1373.9,1193.8,979.0,-6.0,6.0,8.0,8307.0,11876.0,-5939.0,-4808.0,10.0,-1.0,6.0,-5.0,0.0,1.0,11036.0,10757.0,4772.0,2856.0,8.0,-4.0,5.0,1.0
2022-05-13 14:50:03.313795-07:00,1982.6,551.4,1125.2,1301.6,890.7,1112.1,1178.8,1254.2,3439.5,3440.7,1570.2,1360.3,1361.2,3428.6,1021.1,1438.7,3443.1,3431.0,741.4,1373.0,940.7,561.8,1263.1,1718.6,3441.9,3441.9,692.1,906.7,1245.3,1373.9,1195.6,985.9,-8.0,11.0,7.0,8306.0,11875.0,-5941.0,-4809.0,8.0,-12.0,0.0,-3.0,0.0,0.0,11036.0,10757.0,4772.0,2856.0,7.0,-2.0,-1.0,1.0
2022-05-13 14:50:03.629828-07:00,1981.6,551.4,1125.2,1301.6,881.4,1111.2,1175.3,1264.9,3449.1,3440.7,1570.2,1360.3,1363.0,3443.1,1032.3,1437.8,3437.0,3441.9,732.3,1373.0,940.7,561.8,1263.1,1722.4,3435.8,3438.2,677.4,898.3,1245.3,1373.9,1195.6,979.9,-12.0,3.0,9.0,8304.0,11876.0,-5941.0,-4809.0,16.0,4.0,9.0,0.0,-9.0,4.0,11035.0,10758.0,4772.0,2855.0,10.0,8.0,1.0,1.0
2022-05-13 14:50:03.632066-07:00,1981.6,555.4,1121.7,1306.1,881.4,1111.2,1175.3,1260.4,3449.1,3439.5,1569.3,1366.6,1363.0,3443.1,1032.3,1445.1,3444.3,3441.9,732.3,1373.0,945.8,565.0,1267.6,1722.4,3443.1,3438.2,677.4,898.3,1249.7,1374.8,1195.6,979.9,-6.0,2.0,5.0,8305.0,11878.0,-5940.0,-4805.0,2.0,14.0,4.0,-2.0,-9.0,-1.0,11034.0,10758.0,4773.0,2855.0,1.0,6.0,6.0,1.0
2022-05-13 14:50:03.719259-07:00,1985.6,555.4,1121.7,1306.1,888.2,1119.1,1179.7,1260.4,3449.1,3439.5,1569.3,1366.6,1362.1,3446.7,1024.5,1445.1,3444.3,3439.5,724.9,1377.5,945.8,565.0,1267.6,1719.6,3443.1,3443.1,674.2,902.5,1249.7,1374.8,1195.6,983.3,-2.0,9.0,2.0,8304.0,11879.0,-5940.0,-4805.0,-11.0,3.0,3.0,0.0,0.0,0.0,11034.0,10759.0,4773.0,2855.0,-10.0,1.0,7.0,1.0
2022-05-13 14:50:03.720814-07:00,1985.6,555.4,1125.2,1318.7,888.2,1119.1,1179.7,1254.2,3449.1,3439.5,1579.6,1370.3,1362.1,3446.7,1024.5,1442.4,3445.5,3439.5,724.9,1377.5,939.8,569.8,1268.5,1719.6,3445.5,3443.1,674.2,902.5,1244.4,1384.8,1200.0,983.3,-8.0,0.0,0.0,8309.0,11875.0,-5941.0,-4805.0,-8.0,6.0,18.0,-3.0,-7.0,-3.0,11035.0,10758.0,4768.0,2860.0,3.0,-4.0,18.0,1.0
2022-05-13 14:50:03.721835-07:00,1969.7,555.4,1125.2,1318.7,889.8,1120.9,1172.6,1254.2,3449.1,3439.5,1579.6,1370.3,1363.9,3443.1,1021.9,1442.4,3445.5,3428.6,733.2,1369.4,939.8,569.8,1268.5,1714.8,3445.5,3441.9,679.9,905.0,1244.4,1384.8,1200.0,979.9,-7.0,13.0,5.0,8311.0,11869.0,-5952.0,-4803.0,6.0,0.0,2.0,-3.0,-3.0,2.0,11034.0,10762.0,4759.0,2863.0,11.0,0.0,6.0,1.0
2022-05-13 14:50:03.722831-07:00,2003.5,556.2,1127.0,1316.9,889.0,1116.5,1174.4,1259.6,3441.9,3435.8,1575.8,1364.8,1368.5,3441.9,1020.2,1444.2,3438.2,3441.9,732.3,1374.8,947.5,567.4,1263.1,1717.7,3441.9,3444.3,676.6,902.5,1252.4,1375.7,1203.5,977.3,-3.0,3.0,6.0,8311.0,11869.0,-5952.0,-4803.0,3.0,9.0,8.0,-1.0,-3.0,-1.0,11034.0,10762.0,4759.0,2863.0,6.0,-3.0,9.0,1.0
2022-05-13 14:50:03.853529-07:00,2003.5,556.2,1126.1,1310.6,889.0,1116.5,1169.1,1256.9,3441.9,3435.8,1584.2,1367.6,1368.5,3441.9,1022.8,1445.1,3439.5,3444.3,732.3,1374.8,950.0,566.6,1263.1,1717.7,3447.9,3441.9,676.6,902.5,1250.6,1375.7,1203.5,977.3,-2.0,8.0,0.0,8313.0,11867.0,-5955.0,-4800.0,-6.0,-6.0,9.0,0.0,1.0,-2.0,11034.0,10763.0,4757.0,2866.0,1.0,-2.0,10.0,1.0
