Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:11:08.863188-07:00,974.8,884.8,1399.4,1065.1,796.0,491.7,1338.6,959.4,3473.4,3472.2,661.1,1001.3,458.5,3491.7,806.0,803.5,3474.6,3469.8,400.4,631.1,422.3,537.0,245.4,247.7,3479.5,3471.0,613.3,441.9,653.0,1115.6,1357.6,476.6,-27.0,9.0,-6.0,9644.0,10415.0,6845.0,4484.0,-70.0,32.0,4.0,-27.0,6.0,5.0,11444.0,11545.0,-98.0,-2045.0,-58.0,9.0,23.0,1.0
2022-05-08 17:11:08.923006-07:00,978.2,883.1,1388.5,1065.1,795.2,491.7,1338.6,959.4,3475.9,3468.6,661.1,1001.3,454.5,3491.7,806.0,803.5,3474.6,3469.8,400.4,635.1,422.3,536.2,252.3,247.0,3479.5,3471.0,613.3,440.4,653.0,1113.0,1356.7,475.8,-27.0,9.0,-3.0,9654.0,10400.0,6849.0,4491.0,-31.0,6.0,0.0,-27.0,2.0,8.0,11459.0,11531.0,-93.0,-2043.0,-30.0,5.0,-2.0,1.0
2022-05-08 17:11:08.983822-07:00,978.2,883.1,1388.5,1070.3,795.2,489.3,1344.0,956.0,3475.9,3468.6,661.1,997.9,454.5,3500.2,806.0,803.5,3479.5,3486.8,395.0,635.1,421.5,536.2,252.3,247.0,3484.4,3478.3,606.0,440.4,657.9,1113.0,1356.7,475.8,-34.0,-9.0,0.0,9663.0,10390.0,6859.0,4480.0,-3.0,-1.0,-10.0,-28.0,-2.0,1.0,11466.0,11522.0,-82.0,-2050.0,-26.0,8.0,-13.0,1.0
2022-05-08 17:11:09.013801-07:00,977.3,880.6,1393.0,1070.3,795.2,489.3,1344.0,956.0,3477.1,3467.4,659.5,997.9,456.9,3500.2,806.0,803.5,3479.5,3486.8,395.0,640.8,421.5,538.6,251.5,243.9,3484.4,3478.3,606.0,441.9,657.9,1116.5,1354.0,475.8,-21.0,8.0,-8.0,9660.0,10388.0,6868.0,4477.0,28.0,5.0,0.0,-12.0,1.0,11.0,11474.0,11512.0,-72.0,-2059.0,-12.0,-9.0,-24.0,1.0
2022-05-08 17:11:09.014754-07:00,977.3,880.6,1393.0,1080.8,795.2,497.2,1332.3,960.2,3477.1,3467.4,659.5,1003.9,456.9,3490.5,801.0,805.2,3478.3,3475.9,395.0,640.8,424.7,538.6,251.5,243.9,3489.2,3483.2,607.6,441.9,659.5,1116.5,1354.0,475.8,18.0,0.0,3.0,9652.0,10396.0,6879.0,4459.0,29.0,-7.0,-34.0,21.0,7.0,-3.0,11478.0,11507.0,-70.0,-2064.0,-47.0,-29.0,9.0,1.0
2022-05-08 17:11:09.072834-07:00,974.8,881.4,1403.0,1080.8,795.2,497.2,1332.3,960.2,3478.3,3475.9,660.3,1003.9,455.3,3490.5,801.0,805.2,3478.3,3475.9,395.0,630.3,424.7,538.6,250.8,247.0,3489.2,3483.2,607.6,438.8,659.5,1112.1,1361.2,475.0,51.0,14.0,10.0,9642.0,10403.0,6883.0,4459.0,34.0,17.0,8.0,38.0,16.0,4.0,11500.0,11484.0,-91.0,-2070.0,-48.0,-55.0,17.0,1.0
2022-05-08 17:11:09.133239-07:00,974.8,881.4,1403.0,1070.3,788.6,495.6,1340.4,953.4,3478.3,3475.9,660.3,1000.5,456.1,3500.2,805.2,805.2,3475.9,3475.9,400.4,631.9,423.1,538.6,250.8,247.0,3488.0,3478.3,612.5,441.2,658.7,1112.1,1361.2,475.0,64.0,25.0,15.0,9630.0,10409.0,6890.0,4459.0,45.0,17.0,-52.0,52.0,6.0,-2.0,11510.0,11475.0,-119.0,-2067.0,29.0,-13.0,-82.0,1.0
2022-05-08 17:11:09.193242-07:00,973.9,892.4,1388.5,1077.3,788.6,495.6,1340.4,953.4,3478.3,3471.0,657.9,997.0,456.1,3500.2,805.2,805.2,3475.9,3475.9,400.4,631.9,420.0,537.0,247.0,248.5,3488.0,3478.3,612.5,441.2,655.4,1113.9,1356.7,471.9,16.0,15.0,2.0,9612.0,10416.0,6908.0,4452.0,70.0,24.0,-77.0,7.0,8.0,0.0,11485.0,11496.0,-99.0,-2093.0,99.0,13.0,-139.0,1.0
2022-05-08 17:11:09.223504-07:00,973.9,892.4,1388.5,1077.3,791.9,486.1,1341.3,958.5,3478.3,3471.0,657.9,997.0,457.7,3496.6,808.5,808.5,3472.2,3478.3,397.3,632.7,420.0,537.0,247.0,248.5,3479.5,3483.2,605.2,435.7,655.4,1113.9,1356.7,471.9,-10.0,-8.0,1.0,9597.0,10414.0,6950.0,4423.0,81.0,44.0,-87.0,-13.0,-1.0,0.0,11447.0,11527.0,-55.0,-2129.0,87.0,22.0,-133.0,1.0
2022-05-08 17:11:09.283257-07:00,978.2,881.4,1379.4,1069.5,791.9,486.1,1341.3,958.5,3464.9,3471.0,656.2,1000.5,457.7,3496.6,808.5,808.5,3472.2,3478.3,397.3,632.7,422.3,537.0,247.7,243.9,3479.5,3483.2,605.2,435.7,660.3,1111.2,1355.8,473.5,-12.0,-14.0,9.0,9583.0,10412.0,6980.0,4414.0,29.0,61.0,-16.0,-10.0,-2.0,5.0,11418.0,11550.0,-19.0,-2157.0,57.0,16.0,-84.0,1.0
2022-05-08 17:11:09.373347-07:00,978.2,881.4,1379.4,1069.5,781.1,484.5,1332.3,957.7,3464.9,3471.0,656.2,1000.5,453.7,3500.2,812.7,808.5,3485.6,3479.5,398.9,633.5,422.3,537.0,247.7,243.9,3481.9,3478.3,591.5,438.8,660.3,1111.2,1355.8,473.5,-6.0,-8.0,11.0,9566.0,10404.0,6997.0,4442.0,-8.0,133.0,63.0,-5.0,-6.0,4.0,11399.0,11566.0,1.0,-2170.0,61.0,15.0,-35.0,1.0
2022-05-08 17:11:09.404144-07:00,973.1,887.3,1391.2,1079.0,781.1,484.5,1332.3,956.8,3467.4,3473.4,661.1,997.9,453.7,3500.2,812.7,804.4,3485.6,3479.5,398.9,633.5,421.5,541.8,250.0,247.7,3477.1,3478.3,591.5,438.8,661.9,1112.1,1350.3,479.0,2.0,1.0,-6.0,9533.0,10402.0,7010.0,4496.0,-23.0,135.0,97.0,-1.0,10.0,-15.0,11381.0,11585.0,8.0,-2171.0,66.0,13.0,-10.0,1.0
2022-05-08 17:11:09.433269-07:00,975.6,887.3,1391.2,1079.0,785.2,492.5,1346.7,956.8,3479.5,3473.4,661.1,997.9,456.1,3505.1,825.2,804.4,3485.6,3489.2,398.1,635.1,421.5,541.8,250.0,240.9,3477.1,3477.1,606.0,436.4,661.9,1112.1,1350.3,471.9,-4.0,34.0,1.0,9508.0,10379.0,7008.0,4604.0,-273.0,301.0,194.0,5.0,29.0,-13.0,11375.0,11587.0,-7.0,-2185.0,-23.0,-65.0,-1.0,1.0
2022-05-08 17:11:09.493234-07:00,975.6,889.8,1414.9,1065.1,785.2,492.5,1346.7,960.2,3479.5,3467.4,661.1,999.6,456.1,3505.1,825.2,805.2,3479.5,3489.2,398.1,635.1,420.0,538.6,250.8,240.9,3478.3,3477.1,606.0,436.4,660.3,1115.6,1353.1,471.9,41.0,-52.0,40.0,9550.0,10242.0,6970.0,4874.0,-571.0,626.0,348.0,17.0,-46.0,23.0,11431.0,11527.0,-51.0,-2213.0,-232.0,-158.0,96.0,1.0
2022-05-08 17:11:09.553239-07:00,974.8,889.8,1414.9,1065.1,797.7,493.2,1349.4,960.2,3472.2,3467.4,661.1,999.6,457.7,3492.9,821.9,805.2,3479.5,3478.3,398.9,629.5,420.0,538.6,250.8,248.5,3478.3,3472.2,611.7,437.2,660.3,1115.6,1353.1,470.3,-30.0,29.0,18.0,9459.0,10154.0,6999.0,5183.0,-8.0,552.0,296.0,-8.0,4.0,34.0,11445.0,11519.0,-88.0,-2184.0,113.0,68.0,96.0,1.0
2022-05-08 17:11:09.583655-07:00,974.8,888.2,1461.7,1088.6,797.7,493.2,1349.4,956.0,3472.2,3478.3,662.7,1001.3,457.7,3492.9,821.9,805.2,3474.6,3478.3,398.9,629.5,420.0,537.8,254.6,248.5,3474.6,3472.2,611.7,437.2,655.4,1113.9,1355.8,470.3,-24.0,6.0,-85.0,9335.0,10128.0,7057.0,5378.0,85.0,375.0,174.0,-31.0,-4.0,-18.0,11408.0,11566.0,-81.0,-2125.0,157.0,147.0,61.0,1.0
2022-05-08 17:11:09.643180-07:00,979.0,888.2,1461.7,1088.6,802.7,492.5,1344.9,956.0,3478.3,3478.3,662.7,1001.3,454.5,3489.2,812.7,805.2,3474.6,3477.1,398.1,631.9,420.0,537.8,254.6,249.2,3474.6,3484.4,609.2,436.4,655.4,1113.9,1355.8,471.9,-32.0,23.0,-81.0,9233.0,10161.0,7099.0,5436.0,213.0,-12.0,50.0,-39.0,1.0,-19.0,11346.0,11635.0,-67.0,-2083.0,212.0,64.0,20.0,1.0
2022-05-08 17:11:09.672958-07:00,979.0,885.6,1462.6,1088.6,802.7,492.5,1335.9,962.0,3478.3,3479.5,666.8,1003.0,454.5,3489.2,811.9,809.4,3474.6,3484.4,398.1,631.9,424.7,533.8,245.4,249.2,3475.9,3481.9,609.2,436.4,657.9,1109.5,1353.1,471.9,-14.0,2.0,-24.0,9208.0,10198.0,7105.0,5399.0,-112.0,-72.0,-26.0,-22.0,7.0,-4.0,11324.0,11654.0,-70.0,-2092.0,-69.0,-78.0,28.0,1.0
2022-05-08 17:11:09.732820-07:00,976.5,883.1,1462.6,1088.6,804.4,498.0,1335.9,962.0,3475.9,3475.9,666.8,1003.0,460.0,3496.6,811.9,809.4,3474.6,3484.4,401.2,639.2,424.7,533.8,245.4,246.2,3475.9,3481.9,611.7,437.2,657.9,1109.5,1354.0,476.6,-15.0,-12.0,14.0,9256.0,10178.0,7071.0,5402.0,-25.0,-65.0,31.0,-5.0,-10.0,20.0,11355.0,11621.0,-102.0,-2110.0,-45.0,-71.0,37.0,1.0
2022-05-08 17:11:09.763522-07:00,976.5,883.1,1438.7,1079.0,804.4,498.0,1346.7,950.9,3475.9,3475.9,660.3,1004.8,460.0,3496.6,814.4,801.0,3472.2,3478.3,401.2,639.2,422.3,533.0,245.4,246.2,3475.9,3484.4,611.7,437.2,663.6,1120.9,1354.0,476.6,-14.0,12.0,7.0,9257.0,10200.0,7054.0,5380.0,76.0,-74.0,-10.0,-15.0,3.0,11.0,11347.0,11627.0,-114.0,-2115.0,55.0,-1.0,8.0,1.0
2022-05-08 17:11:09.853270-07:00,994.5,873.0,1438.7,1079.0,798.5,500.4,1346.7,950.9,3488.0,3477.1,660.3,1004.8,452.2,3496.6,814.4,801.0,3472.2,3478.3,402.0,630.3,422.3,533.0,249.2,246.2,3475.9,3484.4,610.8,438.0,663.6,1120.9,1351.2,479.8,-9.0,7.0,-22.0,9252.0,10223.0,7054.0,5344.0,135.0,-104.0,-35.0,-4.0,-8.0,12.0,11334.0,11641.0,-108.0,-2110.0,67.0,47.0,2.0,1.0
2022-05-08 17:11:09.855263-07:00,994.5,873.0,1428.6,1078.2,798.5,500.4,1345.8,953.4,3488.0,3477.1,654.6,994.5,452.2,3496.6,810.2,805.2,3478.3,3488.0,402.0,630.3,421.5,533.8,249.2,246.2,3474.6,3475.9,610.8,438.0,656.2,1111.2,1351.2,479.8,-6.0,16.0,-9.0,9236.0,10274.0,7062.0,5263.0,180.0,-137.0,-68.0,-5.0,15.0,-6.0,11307.0,11670.0,-96.0,-2096.0,65.0,30.0,-16.0,1.0
2022-05-08 17:11:09.974064-07:00,975.6,877.2,1428.6,1078.2,790.2,489.3,1345.8,953.4,3478.3,3467.4,654.6,994.5,459.3,3497.8,810.2,805.2,3478.3,3488.0,400.4,632.7,421.5,533.8,247.0,249.2,3474.6,3475.9,608.4,437.2,656.2,1111.2,1347.6,478.2,2.0,-16.0,-4.0,9253.0,10291.0,7060.0,5203.0,-5.0,-107.0,-51.0,0.0,-5.0,1.0,11306.0,11670.0,-90.0,-2099.0,-5.0,-1.0,-9.0,1.0
2022-05-08 17:11:09.975050-07:00,975.6,877.2,1424.1,1072.9,790.2,493.2,1346.7,958.5,3478.3,3467.4,662.7,1004.8,459.3,3496.6,801.0,803.5,3472.2,3481.9,393.4,632.7,421.5,533.8,247.0,249.2,3477.1,3481.9,603.6,437.2,656.2,1111.2,1347.6,478.2,0.0,-2.0,3.0,9268.0,10312.0,7043.0,5156.0,21.0,-138.0,-20.0,-3.0,-1.0,-9.0,11305.0,11671.0,-96.0,-2099.0,-15.0,-23.0,13.0,1.0
2022-05-08 17:11:10.004177-07:00,975.6,883.1,1434.1,1072.9,791.0,493.2,1346.7,958.5,3472.2,3475.9,662.7,1004.8,454.5,3496.6,801.0,803.5,3472.2,3481.9,393.4,635.9,421.5,533.8,248.5,248.5,3477.1,3481.9,603.6,432.5,656.2,1118.2,1355.8,470.3,-1.0,4.0,3.0,9292.0,10321.0,7013.0,5136.0,-62.0,-86.0,32.0,-7.0,2.0,2.0,11317.0,11657.0,-111.0,-2109.0,-42.0,-49.0,12.0,1.0
2022-05-08 17:11:10.063836-07:00,975.6,883.1,1434.1,1075.6,791.0,489.3,1342.2,956.8,3472.2,3475.9,662.7,1010.8,454.5,3497.8,797.7,803.5,3475.9,3483.2,398.9,635.9,425.5,533.8,248.5,248.5,3474.6,3474.6,605.2,432.5,658.7,1118.2,1355.8,470.3,0.0,15.0,9.0,9307.0,10323.0,6993.0,5134.0,-5.0,-21.0,-12.0,-1.0,2.0,6.0,11321.0,11652.0,-116.0,-2116.0,-11.0,-10.0,-13.0,1.0
2022-05-08 17:11:10.123815-07:00,977.3,876.4,1419.5,1075.6,792.7,489.3,1342.2,956.8,3475.9,3472.2,661.9,1010.8,454.5,3497.8,797.7,803.5,3475.9,3483.2,398.9,635.9,425.5,537.8,247.7,247.7,3474.6,3474.6,605.2,442.7,658.7,1111.2,1367.6,473.5,-10.0,-5.0,10.0,9315.0,10310.0,6998.0,5139.0,-22.0,32.0,3.0,-4.0,0.0,13.0,11329.0,11645.0,-113.0,-2118.0,-17.0,2.0,-5.0,1.0
2022-05-08 17:11:10.153326-07:00,977.3,876.4,1419.5,1072.1,792.7,499.6,1336.8,953.4,3475.9,3472.2,661.9,998.7,454.5,3496.6,793.5,801.9,3479.5,3474.6,402.0,635.9,422.3,537.8,247.7,247.7,3477.1,3478.3,601.2,442.7,656.2,1111.2,1367.6,473.5,-15.0,20.0,-11.0,9304.0,10312.0,7003.0,5147.0,53.0,23.0,-5.0,-12.0,-1.0,5.0,11323.0,11651.0,-106.0,-2116.0,32.0,28.0,-24.0,1.0
2022-05-08 17:11:10.243268-07:00,974.8,870.5,1415.8,1072.1,789.4,499.6,1336.8,953.4,3467.4,3467.4,663.6,998.7,459.3,3496.6,793.5,801.9,3479.5,3474.6,402.0,634.3,422.3,537.8,248.5,247.0,3477.1,3478.3,601.2,435.7,656.2,1112.1,1362.1,477.4,-6.0,-11.0,-7.0,9304.0,10310.0,7017.0,5132.0,-7.0,-4.0,-27.0,-13.0,3.0,-4.0,11320.0,11652.0,-95.0,-2122.0,-12.0,-12.0,-17.0,1.0
2022-05-08 17:11:10.273350-07:00,974.8,870.5,1415.8,1071.2,791.9,491.7,1329.6,954.3,3467.4,3467.4,663.6,999.6,462.4,3491.7,794.4,801.9,3479.5,3474.6,398.9,635.9,423.9,537.8,248.5,247.0,3485.6,3475.9,604.4,434.9,663.6,1112.1,1362.1,477.4,-8.0,-5.0,-5.0,9307.0,10306.0,7017.0,5135.0,-10.0,-6.0,11.0,-9.0,-8.0,3.0,11323.0,11648.0,-97.0,-2130.0,6.0,-11.0,2.0,1.0
2022-05-08 17:11:10.303459-07:00,972.2,875.5,1407.6,1069.5,791.9,491.7,1329.6,954.3,3478.3,3469.8,656.2,997.9,462.4,3491.7,794.4,801.9,3479.5,3474.6,398.9,635.9,423.9,535.4,243.9,250.8,3485.6,3475.9,604.4,434.9,658.7,1111.2,1354.0,472.7,-5.0,1.0,-2.0,9302.0,10312.0,7018.0,5128.0,18.0,-19.0,9.0,-4.0,2.0,-1.0,11318.0,11652.0,-99.0,-2130.0,8.0,-10.0,15.0,1.0
2022-05-08 17:11:10.363662-07:00,972.2,875.5,1407.6,1069.5,787.7,490.1,1335.9,956.8,3478.3,3469.8,656.2,997.9,458.5,3490.5,795.2,801.9,3477.1,3477.1,401.2,636.7,423.9,535.4,243.9,250.8,3474.6,3478.3,611.7,434.9,658.7,1111.2,1354.0,472.7,-2.0,7.0,0.0,9304.0,10315.0,7007.0,5134.0,-15.0,-1.0,32.0,1.0,1.0,6.0,11320.0,11652.0,-111.0,-2128.0,-7.0,-8.0,32.0,1.0
2022-05-08 17:11:10.453206-07:00,974.8,875.5,1412.2,1067.7,787.7,490.1,1335.9,956.8,3466.1,3473.4,657.9,997.0,458.5,3490.5,795.2,801.9,3477.1,3477.1,401.2,636.7,427.0,532.2,243.9,245.4,3474.6,3478.3,611.7,434.9,661.9,1111.2,1345.8,473.5,0.0,6.0,3.0,9307.0,10314.0,7001.0,5139.0,-14.0,-4.0,2.0,-1.0,0.0,0.0,11321.0,11651.0,-119.0,-2120.0,-8.0,13.0,20.0,1.0
2022-05-08 17:11:10.543589-07:00,974.8,875.5,1412.2,1067.7,794.4,486.9,1335.9,951.7,3466.1,3473.4,657.9,997.0,461.6,3485.6,798.5,801.9,3483.2,3478.3,395.0,633.5,427.0,532.2,243.9,245.4,3475.9,3474.6,608.4,439.6,661.9,1111.2,1345.8,473.5,-8.0,3.0,3.0,9302.0,10318.0,7005.0,5136.0,34.0,10.0,1.0,-7.0,3.0,4.0,11319.0,11656.0,-119.0,-2109.0,21.0,25.0,15.0,1.0
2022-05-08 17:11:10.544531-07:00,970.5,873.8,1414.9,1065.1,794.4,486.9,1335.9,951.7,3473.4,3469.8,655.4,1001.3,461.6,3485.6,798.5,801.9,3483.2,3478.3,395.0,633.5,423.9,537.8,244.7,243.9,3475.9,3474.6,608.4,439.6,662.7,1110.4,1357.6,475.8,-7.0,0.0,-1.0,9299.0,10314.0,7010.0,5143.0,-10.0,36.0,2.0,-12.0,0.0,-2.0,11319.0,11658.0,-119.0,-2098.0,-7.0,14.0,18.0,1.0
2022-05-08 17:11:10.603201-07:00,974.8,873.8,1414.9,1065.1,784.4,490.9,1339.5,956.0,3475.9,3469.8,655.4,1001.3,456.1,3500.2,801.9,801.0,3477.1,3481.9,402.0,631.1,423.9,537.8,244.7,242.4,3488.0,3483.2,604.4,433.3,662.7,1110.4,1357.6,478.2,-12.0,-1.0,-4.0,9294.0,10311.0,7016.0,5149.0,4.0,12.0,13.0,-14.0,1.0,0.0,11320.0,11658.0,-117.0,-2089.0,7.0,12.0,18.0,1.0
2022-05-08 17:11:10.605201-07:00,974.8,878.9,1412.2,1066.0,784.4,490.9,1339.5,958.5,3475.9,3480.7,661.9,996.2,456.1,3500.2,801.9,811.9,3483.2,3481.9,402.0,631.1,420.0,533.8,243.2,242.4,3481.9,3483.2,604.4,433.3,655.4,1120.0,1353.1,478.2,-5.0,5.0,-7.0,9289.0,10311.0,7015.0,5158.0,-14.0,16.0,19.0,-10.0,2.0,0.0,11321.0,11658.0,-122.0,-2084.0,-5.0,0.0,20.0,1.0
2022-05-08 17:11:10.693840-07:00,973.1,878.9,1412.2,1066.0,787.7,488.5,1332.3,958.5,3480.7,3480.7,661.9,996.2,456.9,3499.0,796.9,811.9,3483.2,3474.6,397.3,634.3,420.0,533.8,243.2,247.0,3481.9,3478.3,606.0,439.6,655.4,1120.0,1353.1,476.6,-9.0,8.0,-7.0,9289.0,10311.0,7015.0,5160.0,-12.0,-7.0,0.0,-9.0,4.0,3.0,11322.0,11657.0,-124.0,-2084.0,-10.0,-15.0,0.0,1.0
2022-05-08 17:11:10.723328-07:00,973.1,871.3,1411.3,1068.6,787.7,488.5,1332.3,952.6,3480.7,3474.6,665.2,997.0,456.9,3499.0,796.9,806.9,3488.0,3474.6,397.3,634.3,424.7,535.4,247.0,247.0,3483.2,3478.3,606.0,439.6,659.5,1111.2,1351.2,476.6,-5.0,4.0,-4.0,9297.0,10307.0,7011.0,5160.0,-14.0,-7.0,-12.0,-8.0,1.0,6.0,11326.0,11651.0,-128.0,-2092.0,-16.0,-23.0,-10.0,1.0
2022-05-08 17:11:10.783211-07:00,981.6,871.3,1411.3,1068.6,796.9,490.1,1331.4,952.6,3478.3,3474.6,665.2,997.0,455.3,3491.7,797.7,806.9,3488.0,3473.4,395.7,631.1,424.7,535.4,247.0,243.9,3483.2,3477.1,608.4,435.7,659.5,1111.2,1351.2,471.9,-12.0,-1.0,0.0,9302.0,10305.0,7010.0,5156.0,2.0,-12.0,-2.0,-11.0,-1.0,10.0,11329.0,11648.0,-132.0,-2099.0,-5.0,-19.0,-10.0,1.0
2022-05-08 17:11:10.813318-07:00,981.6,870.5,1414.0,1070.3,796.9,490.1,1331.4,946.6,3478.3,3483.2,658.7,998.7,455.3,3491.7,797.7,801.0,3478.3,3473.4,395.7,631.1,427.0,534.6,243.9,243.9,3462.5,3477.1,608.4,435.7,661.9,1111.2,1354.0,471.9,-6.0,5.0,-4.0,9304.0,10306.0,7008.0,5152.0,0.0,-18.0,-11.0,-7.0,-3.0,2.0,11328.0,11647.0,-132.0,-2108.0,0.0,-13.0,-14.0,1.0
2022-05-08 17:11:10.873334-07:00,970.5,867.9,1414.0,1070.3,787.7,491.7,1336.8,946.6,3477.1,3478.3,658.7,998.7,458.5,3501.4,796.9,801.0,3478.3,3478.3,401.2,634.3,427.0,534.6,248.5,243.2,3462.5,3481.9,606.8,436.4,661.9,1111.2,1354.0,478.2,0.0,-1.0,-1.0,9309.0,10305.0,7008.0,5144.0,-1.0,-10.0,-9.0,-5.0,-1.0,0.0,11327.0,11647.0,-129.0,-2113.0,2.0,-13.0,-10.0,1.0
2022-05-08 17:11:10.933622-07:00,970.5,867.9,1404.0,1066.0,787.7,491.7,1337.7,956.8,3477.1,3478.3,663.6,1000.5,458.5,3501.4,793.5,804.4,3475.9,3475.9,401.2,634.3,422.3,538.6,248.5,243.2,3481.9,3488.0,606.8,436.4,659.5,1116.5,1354.0,478.2,-7.0,-1.0,-2.0,9310.0,10306.0,7007.0,5145.0,-1.0,-11.0,9.0,-9.0,4.0,5.0,11327.0,11646.0,-133.0,-2116.0,2.0,-9.0,1.0,1.0
2022-05-08 17:11:10.963592-07:00,982.5,872.1,1404.0,1066.0,786.9,490.9,1337.7,956.8,3467.4,3479.5,663.6,1000.5,455.3,3507.5,793.5,804.4,3475.9,3475.9,399.6,630.3,422.3,538.6,243.9,243.9,3481.9,3488.0,602.8,434.9,659.5,1116.5,1349.4,474.3,-1.0,2.0,0.0,9313.0,10307.0,7005.0,5137.0,3.0,-11.0,-13.0,-7.0,2.0,0.0,11327.0,11646.0,-131.0,-2119.0,0.0,3.0,-12.0,1.0
2022-05-08 17:11:11.023843-07:00,982.5,872.1,1412.2,1067.7,786.9,490.9,1331.4,950.9,3467.4,3479.5,668.4,1002.2,455.3,3507.5,799.4,802.7,3483.2,3484.4,399.6,630.3,423.9,533.0,243.9,243.9,3475.9,3474.6,602.8,434.9,658.7,1119.1,1349.4,474.3,4.0,0.0,1.0,9313.0,10307.0,7005.0,5137.0,7.0,9.0,-2.0,-4.0,-2.0,-2.0,11327.0,11646.0,-131.0,-2119.0,2.0,7.0,-3.0,1.0
2022-05-08 17:11:11.053206-07:00,973.1,864.6,1412.2,1067.7,786.1,490.9,1331.4,950.9,3471.0,3472.2,668.4,1002.2,459.3,3501.4,799.4,802.7,3483.2,3484.4,399.6,633.5,423.9,533.0,248.5,250.0,3475.9,3474.6,601.2,436.4,658.7,1119.1,1359.4,475.0,-6.0,-2.0,1.0,9310.0,10306.0,7008.0,5141.0,8.0,11.0,-2.0,-8.0,0.0,4.0,11327.0,11646.0,-130.0,-2119.0,8.0,12.0,3.0,1.0
2022-05-08 17:11:11.112951-07:00,973.1,864.6,1401.2,1068.6,786.1,489.3,1325.9,953.4,3471.0,3472.2,662.7,1002.2,459.3,3502.7,798.5,802.7,3477.1,3475.9,397.3,633.5,422.3,533.8,248.5,250.0,3486.8,3488.0,605.2,436.4,651.4,1113.0,1359.4,475.0,-7.0,1.0,-6.0,9308.0,10308.0,7008.0,5141.0,-7.0,7.0,10.0,-13.0,0.0,1.0,11327.0,11647.0,-128.0,-2116.0,-2.0,5.0,5.0,1.0
2022-05-08 17:11:11.173509-07:00,966.2,876.4,1405.8,1068.6,788.6,489.3,1325.9,953.4,3469.8,3468.6,659.5,1002.2,456.9,3502.7,798.5,802.7,3477.1,3475.9,397.3,637.6,422.3,536.2,245.4,247.7,3486.8,3488.0,605.2,434.9,651.4,1116.5,1354.0,476.6,-7.0,-4.0,0.0,9309.0,10306.0,7010.0,5140.0,-12.0,7.0,-14.0,-9.0,3.0,4.0,11327.0,11647.0,-128.0,-2116.0,-9.0,8.0,-1.0,1.0
2022-05-08 17:11:11.203927-07:00,966.2,876.4,1405.8,1070.3,788.6,491.7,1335.9,951.7,3469.8,3468.6,659.5,1001.3,456.9,3502.7,798.5,808.5,3479.5,3480.7,398.9,637.6,425.5,536.2,245.4,247.7,3479.5,3488.0,602.8,434.9,656.2,1116.5,1354.0,476.6,-15.0,4.0,-2.0,9309.0,10306.0,7008.0,5142.0,6.0,4.0,22.0,-16.0,1.0,5.0,11327.0,11647.0,-130.0,-2114.0,10.0,1.0,10.0,1.0
2022-05-08 17:11:11.263139-07:00,971.3,883.1,1401.2,1070.3,786.1,491.7,1335.9,951.7,3477.1,3481.9,659.5,1001.3,454.5,3502.7,798.5,808.5,3479.5,3480.7,398.9,630.3,425.5,536.2,249.2,242.4,3479.5,3488.0,602.8,439.6,656.2,1117.4,1344.9,474.3,-7.0,2.0,-7.0,9308.0,10308.0,7006.0,5144.0,-5.0,0.0,-6.0,-9.0,0.0,-3.0,11327.0,11647.0,-130.0,-2114.0,-10.0,-3.0,2.0,1.0
2022-05-08 17:11:11.323807-07:00,971.3,883.1,1401.2,1062.5,786.1,498.0,1330.5,955.1,3477.1,3481.9,659.5,997.0,454.5,3488.0,798.5,804.4,3480.7,3471.0,405.1,630.3,421.5,536.2,249.2,242.4,3478.3,3479.5,594.7,439.6,652.2,1117.4,1344.9,474.3,-7.0,9.0,0.0,9310.0,10309.0,7004.0,5142.0,-16.0,-7.0,1.0,-8.0,2.0,2.0,11330.0,11644.0,-131.0,-2115.0,-11.0,-8.0,-1.0,1.0
2022-05-08 17:11:11.413290-07:00,966.2,869.6,1393.0,1062.5,786.9,498.0,1330.5,955.1,3478.3,3467.4,659.5,997.0,458.5,3488.0,798.5,804.4,3480.7,3471.0,405.1,632.7,421.5,537.8,248.5,244.7,3478.3,3479.5,594.7,438.0,652.2,1111.2,1350.3,476.6,-5.0,5.0,0.0,9312.0,10306.0,7003.0,5144.0,3.0,4.0,2.0,-8.0,0.0,3.0,11331.0,11642.0,-130.0,-2115.0,0.0,-6.0,-2.0,1.0
2022-05-08 17:11:11.414389-07:00,966.2,869.6,1393.0,1067.7,785.2,493.2,1332.3,956.0,3478.3,3467.4,659.5,1003.9,456.9,3494.1,798.5,806.9,3488.0,3477.1,398.1,636.7,422.3,537.8,248.5,244.7,3480.7,3479.5,602.8,435.7,658.7,1111.2,1350.3,476.6,-9.0,0.0,0.0,9313.0,10305.0,7004.0,5143.0,-5.0,-2.0,-5.0,-11.0,3.0,2.0,11331.0,11642.0,-130.0,-2115.0,-6.0,1.0,-6.0,1.0
