Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 18:07:31.663831-07:00,851.1,793.5,1186.7,921.1,653.0,434.1,1240.8,803.5,3457.6,3467.4,630.3,861.2,412.1,3494.1,716.7,716.7,3469.8,3474.6,380.9,557.0,390.3,483.0,237.8,236.3,3472.2,3483.2,549.8,441.2,696.2,978.2,1127.0,465.6,-2.0,-7.0,0.0,11539.0,10991.0,3769.0,-532.0,-2.0,-3.0,10.0,-7.0,-7.0,13.0,10892.0,9143.0,-3920.0,-7130.0,11.0,-10.0,7.0,1.0
2022-05-08 18:07:31.814182-07:00,851.1,793.5,1187.6,933.9,653.0,434.1,1239.9,800.2,3457.6,3467.4,640.8,868.8,412.1,3494.1,713.4,715.1,3477.1,3472.2,380.9,557.0,387.9,482.2,237.8,236.3,3477.1,3478.3,549.8,441.2,690.5,984.2,1127.0,465.6,-2.0,0.0,5.0,11537.0,10994.0,3767.0,-531.0,-3.0,-3.0,-8.0,-5.0,-2.0,13.0,10889.0,9146.0,-3922.0,-7129.0,4.0,1.0,-6.0,1.0
2022-05-08 18:07:31.815979-07:00,847.8,792.7,1187.6,933.9,653.8,432.5,1239.9,800.2,3469.8,3473.4,640.8,868.8,414.5,3497.8,713.4,715.1,3477.1,3472.2,380.2,555.4,387.9,482.2,240.1,237.8,3477.1,3478.3,545.0,440.4,690.5,984.2,1133.1,461.6,-1.0,-1.0,0.0,11536.0,10993.0,3770.0,-529.0,16.0,16.0,5.0,-6.0,-3.0,8.0,10887.0,9149.0,-3923.0,-7128.0,17.0,7.0,-1.0,1.0
2022-05-08 18:07:31.816442-07:00,847.8,792.7,1185.9,925.4,653.8,434.9,1232.8,803.5,3469.8,3473.4,643.2,863.7,414.5,3496.6,719.2,719.2,3483.2,3479.5,379.4,555.4,390.3,484.5,240.1,237.8,3477.1,3477.1,555.4,440.4,692.9,982.5,1133.1,461.6,-2.0,6.0,-10.0,11532.0,10996.0,3775.0,-525.0,5.0,17.0,-7.0,-6.0,-2.0,5.0,10885.0,9152.0,-3925.0,-7127.0,6.0,-1.0,-7.0,1.0
2022-05-08 18:07:31.844190-07:00,855.3,801.0,1188.5,925.4,654.6,434.9,1232.8,803.5,3477.1,3480.7,645.7,863.7,412.9,3496.6,719.2,719.2,3483.2,3479.5,379.4,549.8,390.3,483.7,244.7,244.7,3477.1,3477.1,555.4,441.2,692.9,976.5,1127.0,457.7,0.0,-7.0,-9.0,11532.0,10996.0,3778.0,-526.0,-4.0,-7.0,-11.0,-6.0,-8.0,1.0,10884.0,9153.0,-3925.0,-7128.0,-3.0,-10.0,-4.0,1.0
2022-05-08 18:07:31.873993-07:00,855.3,801.0,1188.5,920.3,654.6,429.4,1239.9,805.2,3477.1,3480.7,645.7,867.9,412.9,3492.9,714.2,716.7,3472.2,3478.3,377.8,549.8,389.5,483.7,244.7,244.7,3483.2,3478.3,549.0,441.2,696.2,976.5,1127.0,457.7,-7.0,0.0,0.0,11532.0,10995.0,3779.0,-527.0,2.0,-16.0,3.0,-8.0,-2.0,13.0,10883.0,9152.0,-3926.0,-7129.0,7.0,-5.0,-1.0,1.0
2022-05-08 18:07:31.963659-07:00,855.3,794.4,1179.7,920.3,655.4,429.4,1239.9,805.2,3467.4,3462.5,635.9,867.9,409.0,3492.9,714.2,716.7,3472.2,3478.3,377.8,549.8,389.5,483.7,237.8,237.1,3483.2,3478.3,549.0,438.8,696.2,978.2,1126.1,464.0,-7.0,-9.0,1.0,11532.0,10995.0,3777.0,-529.0,-2.0,13.0,0.0,-6.0,-8.0,10.0,10883.0,9152.0,-3926.0,-7129.0,8.0,6.0,4.0,1.0
2022-05-08 18:07:31.993698-07:00,855.3,794.4,1179.7,914.4,655.4,434.1,1242.6,802.7,3467.4,3462.5,635.9,868.8,409.0,3488.0,705.2,715.1,3475.9,3479.5,380.9,549.8,386.4,483.7,237.8,237.1,3479.5,3481.9,548.2,438.8,692.1,978.2,1126.1,464.0,-1.0,9.0,-5.0,11531.0,10997.0,3777.0,-528.0,2.0,9.0,0.0,-7.0,0.0,7.0,10882.0,9154.0,-3927.0,-7128.0,0.0,0.0,-1.0,1.0
2022-05-08 18:07:32.023590-07:00,851.1,792.7,1180.6,914.4,660.3,434.1,1242.6,802.7,3468.6,3468.6,633.5,868.8,412.9,3488.0,705.2,715.1,3475.9,3479.5,380.9,557.0,386.4,483.7,241.6,237.8,3479.5,3481.9,548.2,441.9,692.1,979.9,1117.4,461.6,-4.0,-10.0,-7.0,11533.0,10995.0,3778.0,-526.0,-5.0,2.0,2.0,-8.0,-7.0,4.0,10882.0,9154.0,-3927.0,-7128.0,-3.0,0.0,7.0,1.0
2022-05-08 18:07:32.113039-07:00,851.1,792.7,1180.6,919.4,653.0,434.9,1242.6,801.0,3468.6,3468.6,633.5,864.6,412.9,3496.6,712.6,720.0,3479.5,3478.3,379.4,553.8,387.9,483.7,241.6,237.8,3478.3,3473.4,554.6,438.8,694.6,979.9,1117.4,461.6,-8.0,2.0,-3.0,11533.0,10995.0,3776.0,-526.0,2.0,-18.0,6.0,-5.0,-2.0,13.0,10882.0,9154.0,-3927.0,-7128.0,4.0,-5.0,4.0,1.0
2022-05-08 18:07:32.173588-07:00,847.8,797.7,1185.0,916.0,653.0,434.9,1242.6,801.0,3473.4,3463.7,638.4,866.3,412.9,3496.6,712.6,720.0,3479.5,3478.3,379.4,553.8,385.6,481.4,244.7,239.3,3478.3,3473.4,554.6,438.8,692.1,978.2,1127.0,461.6,-1.0,-8.0,4.0,11536.0,10993.0,3772.0,-529.0,-11.0,-10.0,-4.0,-6.0,-6.0,9.0,10882.0,9154.0,-3927.0,-7128.0,-6.0,-3.0,0.0,1.0
2022-05-08 18:07:32.174848-07:00,847.8,797.7,1185.0,916.0,662.7,431.7,1247.1,805.2,3473.4,3463.7,638.4,866.3,409.8,3497.8,709.3,717.5,3483.2,3483.2,380.2,553.8,385.6,481.4,244.7,239.3,3479.5,3477.1,549.0,443.5,692.1,978.2,1127.0,461.6,-6.0,-2.0,0.0,11536.0,10993.0,3772.0,-529.0,-2.0,0.0,4.0,-6.0,-5.0,9.0,10882.0,9154.0,-3927.0,-7128.0,2.0,3.0,1.0,1.0
2022-05-08 18:07:32.233484-07:00,848.6,797.7,1185.0,918.6,662.7,431.7,1247.1,805.2,3472.2,3474.6,640.8,862.9,409.8,3497.8,709.3,717.5,3483.2,3483.2,380.2,553.8,385.6,485.3,240.9,245.4,3479.5,3477.1,549.0,443.5,688.0,979.0,1123.5,464.8,-4.0,-3.0,-5.0,11536.0,10993.0,3773.0,-528.0,2.0,6.0,-4.0,-8.0,-6.0,10.0,10882.0,9154.0,-3927.0,-7128.0,7.0,5.0,-1.0,1.0
2022-05-08 18:07:32.323601-07:00,848.6,797.7,1185.0,918.6,657.9,437.2,1241.7,800.2,3472.2,3474.6,640.8,862.9,411.4,3489.2,718.4,723.3,3474.6,3478.3,377.8,556.2,385.6,485.3,240.9,245.4,3478.3,3474.6,552.2,442.7,688.0,979.0,1123.5,464.8,0.0,-1.0,-5.0,11536.0,10993.0,3772.0,-528.0,2.0,-2.0,4.0,-8.0,-5.0,3.0,10882.0,9154.0,-3927.0,-7128.0,6.0,-1.0,-1.0,1.0
2022-05-08 18:07:32.324565-07:00,850.3,796.0,1183.2,918.6,657.9,437.2,1241.7,800.2,3477.1,3466.1,640.8,860.4,411.4,3489.2,718.4,723.3,3474.6,3478.3,377.8,556.2,387.2,483.0,243.2,244.7,3478.3,3474.6,552.2,442.7,690.5,981.6,1129.6,460.8,-3.0,4.0,-2.0,11536.0,10993.0,3772.0,-528.0,2.0,-3.0,-4.0,-6.0,-3.0,8.0,10882.0,9154.0,-3927.0,-7128.0,6.0,2.0,-3.0,1.0
2022-05-08 18:07:32.383124-07:00,858.7,796.0,1183.2,918.6,657.0,439.6,1241.7,805.2,3473.4,3466.1,640.8,860.4,416.8,3496.6,719.2,722.5,3475.9,3478.3,381.7,554.6,387.2,483.0,243.2,236.3,3478.3,3474.6,550.6,440.4,690.5,981.6,1129.6,463.2,0.0,-5.0,-1.0,11536.0,10993.0,3772.0,-528.0,2.0,6.0,2.0,-7.0,-6.0,5.0,10881.0,9155.0,-3927.0,-7128.0,11.0,3.0,0.0,1.0
2022-05-08 18:07:32.503868-07:00,858.7,797.7,1196.5,914.4,657.0,439.6,1241.7,805.2,3473.4,3472.2,640.8,860.4,416.8,3496.6,719.2,715.1,3472.2,3478.3,381.7,554.6,387.2,483.7,241.6,236.3,3477.1,3474.6,550.6,440.4,694.6,987.6,1128.7,463.2,-2.0,2.0,-8.0,11536.0,10993.0,3773.0,-528.0,7.0,-8.0,-1.0,-9.0,-1.0,7.0,10880.0,9156.0,-3928.0,-7127.0,10.0,2.0,0.0,1.0
2022-05-08 18:07:32.504768-07:00,849.5,797.7,1196.5,914.4,649.7,434.1,1243.5,805.2,3472.2,3472.2,640.8,860.4,411.4,3491.7,716.7,715.1,3472.2,3468.6,377.8,548.2,387.2,483.7,241.6,241.6,3477.1,3478.3,552.2,438.8,694.6,987.6,1128.7,464.0,-4.0,-11.0,-3.0,11536.0,10993.0,3774.0,-528.0,2.0,-3.0,0.0,-9.0,-12.0,12.0,10880.0,9156.0,-3928.0,-7127.0,5.0,0.0,-1.0,1.0
2022-05-08 18:07:32.533432-07:00,849.5,798.5,1185.9,918.6,649.7,434.1,1243.5,799.4,3472.2,3471.0,636.7,867.9,411.4,3491.7,716.7,719.2,3474.6,3468.6,377.8,548.2,384.0,484.5,240.1,241.6,3473.4,3478.3,552.2,438.8,691.3,978.2,1122.6,464.0,-8.0,2.0,-6.0,11536.0,10993.0,3772.0,-526.0,-7.0,7.0,4.0,-12.0,-1.0,10.0,10879.0,9157.0,-3929.0,-7127.0,2.0,-1.0,3.0,1.0
2022-05-08 18:07:32.593724-07:00,853.7,798.5,1185.9,918.6,663.6,435.7,1241.7,799.4,3474.6,3471.0,636.7,867.9,409.0,3496.6,716.7,719.2,3474.6,3473.4,378.6,549.8,384.0,484.5,240.1,237.8,3473.4,3475.9,549.8,442.7,691.3,978.2,1122.6,464.8,4.0,0.0,0.0,11537.0,10993.0,3770.0,-528.0,-3.0,-5.0,-2.0,-6.0,-3.0,3.0,10879.0,9157.0,-3929.0,-7127.0,-1.0,-2.0,-1.0,1.0
2022-05-08 18:07:32.683167-07:00,853.7,798.5,1185.0,914.4,663.6,435.7,1241.7,807.7,3474.6,3467.4,641.6,868.8,409.0,3496.6,716.7,719.2,3472.2,3473.4,378.6,549.8,386.4,481.4,237.8,237.8,3477.1,3475.9,549.8,442.7,692.9,979.9,1124.4,464.8,-5.0,2.0,-5.0,11536.0,10993.0,3771.0,-527.0,2.0,5.0,3.0,-8.0,-4.0,6.0,10879.0,9157.0,-3929.0,-7127.0,6.0,-2.0,4.0,1.0
2022-05-08 18:07:32.684700-07:00,852.8,796.9,1185.0,914.4,659.5,433.3,1238.2,807.7,3472.2,3469.8,641.6,868.8,413.7,3500.2,711.8,719.2,3472.2,3480.7,380.2,557.0,386.4,481.4,237.8,240.1,3477.1,3467.4,551.4,443.5,692.9,979.9,1125.2,461.6,-2.0,-7.0,-5.0,11536.0,10993.0,3772.0,-526.0,0.0,-5.0,0.0,-6.0,-8.0,11.0,10879.0,9157.0,-3929.0,-7127.0,2.0,3.0,1.0,1.0
2022-05-08 18:07:32.863742-07:00,852.8,796.9,1190.3,919.4,659.5,433.3,1230.2,801.9,3472.2,3469.8,640.8,868.8,413.7,3500.2,715.1,720.8,3472.2,3473.4,380.2,557.0,392.6,485.3,237.8,240.1,3479.5,3467.4,551.4,443.5,688.9,979.9,1125.2,461.6,-1.0,4.0,-3.0,11536.0,10993.0,3772.0,-526.0,-4.0,0.0,3.0,-7.0,-4.0,6.0,10879.0,9157.0,-3929.0,-7127.0,-4.0,-3.0,1.0,1.0
2022-05-08 18:07:32.864861-07:00,843.6,800.2,1190.3,919.4,657.9,434.9,1230.2,801.9,3479.5,3473.4,640.8,868.8,407.5,3486.8,715.1,720.8,3472.2,3473.4,381.7,553.0,392.6,485.3,241.6,237.8,3479.5,3467.4,549.8,439.6,688.9,979.9,1125.2,460.8,-4.0,-7.0,-2.0,11536.0,10993.0,3772.0,-526.0,-5.0,-4.0,-5.0,-7.0,-8.0,13.0,10879.0,9157.0,-3929.0,-7127.0,0.0,-2.0,-4.0,1.0
2022-05-08 18:07:32.953670-07:00,843.6,800.2,1189.4,922.8,657.9,434.9,1229.3,806.0,3479.5,3473.4,639.2,866.3,407.5,3486.8,714.2,719.2,3483.2,3479.5,381.7,553.0,385.6,484.5,241.6,237.8,3480.7,3478.3,549.8,439.6,692.1,979.9,1125.2,460.8,-4.0,1.0,-4.0,11536.0,10994.0,3769.0,-524.0,3.0,2.0,11.0,-6.0,-4.0,8.0,10879.0,9157.0,-3929.0,-7127.0,9.0,2.0,3.0,1.0
2022-05-08 18:07:32.954680-07:00,852.0,796.9,1189.4,922.8,653.0,439.6,1229.3,806.0,3472.2,3462.5,639.2,866.3,404.3,3491.7,714.2,719.2,3483.2,3479.5,380.9,553.0,385.6,484.5,240.1,240.1,3480.7,3478.3,550.6,442.7,692.1,979.9,1129.6,457.7,-4.0,-1.0,0.0,11536.0,10994.0,3770.0,-525.0,7.0,0.0,-10.0,-5.0,-4.0,11.0,10879.0,9157.0,-3929.0,-7127.0,-2.0,1.0,-7.0,1.0
2022-05-08 18:07:32.955545-07:00,852.0,796.9,1185.9,916.9,653.0,439.6,1234.6,800.2,3472.2,3462.5,633.5,867.1,404.3,3491.7,717.5,717.5,3479.5,3467.4,380.9,553.0,384.0,483.0,240.1,240.1,3478.3,3481.9,550.6,442.7,693.8,976.5,1129.6,457.7,-6.0,-10.0,-5.0,11536.0,10994.0,3771.0,-525.0,6.0,-3.0,8.0,-10.0,-8.0,9.0,10879.0,9157.0,-3929.0,-7127.0,6.0,5.0,-1.0,1.0
2022-05-08 18:07:33.013535-07:00,850.3,799.4,1183.2,916.9,655.4,431.7,1234.6,800.2,3467.4,3473.4,637.6,867.1,412.9,3497.8,717.5,717.5,3479.5,3467.4,380.9,554.6,384.0,485.3,242.4,243.2,3478.3,3481.9,551.4,436.4,693.8,976.5,1126.1,454.5,-2.0,-1.0,-8.0,11536.0,10994.0,3769.0,-524.0,-2.0,2.0,0.0,-7.0,-7.0,6.0,10879.0,9157.0,-3929.0,-7127.0,0.0,-2.0,0.0,1.0
2022-05-08 18:07:33.015208-07:00,850.3,799.4,1183.2,922.8,655.4,431.7,1237.3,805.2,3467.4,3473.4,637.6,868.8,412.9,3486.8,711.8,719.2,3480.7,3478.3,375.5,554.6,386.4,485.3,242.4,243.2,3477.1,3467.4,548.2,436.4,692.9,976.5,1126.1,454.5,-2.0,0.0,-5.0,11536.0,10994.0,3769.0,-524.0,-6.0,-6.0,-4.0,-6.0,-3.0,5.0,10879.0,9157.0,-3929.0,-7127.0,0.0,-7.0,-3.0,1.0
2022-05-08 18:07:33.074218-07:00,849.5,795.2,1184.1,922.8,661.9,431.7,1237.3,805.2,3469.8,3480.7,633.5,868.8,411.4,3486.8,711.8,719.2,3480.7,3478.3,375.5,552.2,386.4,486.9,241.6,241.6,3477.1,3467.4,548.2,441.9,692.9,983.3,1122.6,460.8,-4.0,-4.0,-3.0,11537.0,10994.0,3767.0,-524.0,-2.0,-15.0,13.0,-10.0,-6.0,12.0,10879.0,9157.0,-3929.0,-7127.0,-2.0,-3.0,3.0,1.0
2022-05-08 18:07:33.133975-07:00,849.5,795.2,1184.1,922.8,661.9,437.2,1239.1,811.9,3469.8,3480.7,633.5,865.4,411.4,3492.9,715.9,714.2,3477.1,3475.9,387.9,552.2,388.7,486.9,241.6,241.6,3483.2,3479.5,549.0,441.9,690.5,983.3,1122.6,460.8,-5.0,2.0,-3.0,11537.0,10994.0,3766.0,-525.0,-3.0,-6.0,-4.0,-4.0,-4.0,10.0,10879.0,9157.0,-3929.0,-7127.0,-5.0,-6.0,-1.0,1.0
2022-05-08 18:07:33.193691-07:00,845.3,796.9,1200.0,922.8,657.9,437.2,1239.1,811.9,3471.0,3473.4,638.4,865.4,409.0,3492.9,715.9,714.2,3477.1,3475.9,387.9,553.8,388.7,487.7,240.9,239.3,3483.2,3479.5,549.0,440.4,690.5,986.7,1127.9,460.0,-3.0,-5.0,2.0,11537.0,10994.0,3766.0,-525.0,0.0,6.0,0.0,-6.0,-3.0,11.0,10879.0,9157.0,-3929.0,-7127.0,-1.0,-1.0,-4.0,1.0
2022-05-08 18:07:33.223557-07:00,845.3,796.9,1200.0,918.6,657.9,436.4,1239.1,805.2,3471.0,3473.4,638.4,865.4,409.0,3497.8,715.9,715.9,3475.9,3481.9,377.0,553.8,388.7,487.7,240.9,239.3,3479.5,3475.9,549.0,440.4,697.0,986.7,1127.9,460.0,-1.0,-4.0,-8.0,11536.0,10994.0,3768.0,-523.0,3.0,10.0,5.0,-8.0,-4.0,8.0,10879.0,9157.0,-3929.0,-7127.0,3.0,7.0,1.0,1.0
2022-05-08 18:07:33.283889-07:00,852.0,798.5,1185.9,919.4,653.8,436.4,1239.1,805.2,3478.3,3479.5,636.7,862.1,413.7,3497.8,715.9,715.9,3475.9,3481.9,377.0,549.8,387.2,486.1,237.8,240.9,3479.5,3475.9,549.0,449.0,698.7,979.9,1126.1,466.4,-2.0,0.0,-8.0,11536.0,10994.0,3768.0,-523.0,-2.0,-1.0,2.0,-6.0,-4.0,7.0,10879.0,9157.0,-3929.0,-7127.0,3.0,1.0,0.0,1.0
2022-05-08 18:07:33.343669-07:00,852.0,798.5,1185.9,919.4,657.9,436.4,1240.8,805.2,3478.3,3479.5,636.7,862.1,410.6,3485.6,713.4,719.2,3478.3,3479.5,378.6,549.8,387.2,486.1,237.8,240.9,3477.1,3479.5,545.8,445.1,698.7,979.9,1126.1,466.4,-4.0,-4.0,-2.0,11536.0,10994.0,3768.0,-523.0,-3.0,-6.0,-5.0,-7.0,-7.0,11.0,10879.0,9157.0,-3929.0,-7127.0,-4.0,-2.0,-4.0,1.0
2022-05-08 18:07:33.373906-07:00,853.7,802.7,1180.6,911.8,657.9,436.4,1240.8,805.2,3475.9,3475.9,631.9,867.9,410.6,3485.6,713.4,719.2,3478.3,3479.5,378.6,549.8,392.6,483.7,237.8,237.1,3477.1,3479.5,545.8,445.1,694.6,966.2,1126.1,457.7,-5.0,-5.0,-2.0,11536.0,10995.0,3767.0,-522.0,0.0,9.0,9.0,-6.0,-2.0,10.0,10879.0,9157.0,-3929.0,-7127.0,5.0,0.0,5.0,1.0
2022-05-08 18:07:33.433531-07:00,853.7,802.7,1180.6,911.8,653.0,432.5,1236.4,802.7,3475.9,3475.9,631.9,867.9,410.6,3502.7,714.2,716.7,3481.9,3474.6,379.4,553.0,392.6,483.7,237.8,237.1,3477.1,3481.9,552.2,442.7,694.6,966.2,1126.1,457.7,-4.0,2.0,-5.0,11537.0,10995.0,3766.0,-522.0,-2.0,-3.0,-4.0,-6.0,-5.0,7.0,10879.0,9157.0,-3929.0,-7127.0,1.0,0.0,-5.0,1.0
2022-05-08 18:07:33.493122-07:00,850.3,798.5,1191.2,916.9,653.0,432.5,1236.4,802.7,3475.9,3479.5,635.1,862.1,410.6,3502.7,714.2,716.7,3481.9,3474.6,379.4,553.0,387.9,481.4,238.6,239.3,3477.1,3481.9,552.2,442.7,693.8,974.8,1120.0,463.2,-3.0,-7.0,-2.0,11537.0,10995.0,3766.0,-522.0,5.0,1.0,6.0,-4.0,-6.0,10.0,10879.0,9157.0,-3929.0,-7127.0,4.0,8.0,1.0,1.0
2022-05-08 18:07:33.553813-07:00,850.3,798.5,1191.2,916.9,656.2,436.4,1231.0,801.9,3475.9,3479.5,635.1,862.1,411.4,3497.8,718.4,719.2,3478.3,3478.3,377.8,556.2,387.9,481.4,238.6,239.3,3473.4,3492.9,543.4,444.3,693.8,974.8,1120.0,463.2,-3.0,-4.0,-3.0,11537.0,10995.0,3766.0,-522.0,-4.0,6.0,-1.0,-12.0,-9.0,4.0,10879.0,9157.0,-3929.0,-7127.0,-4.0,1.0,-2.0,1.0
2022-05-08 18:07:33.583477-07:00,847.8,796.9,1187.6,921.1,656.2,436.4,1231.0,801.0,3474.6,3475.9,640.8,867.1,411.4,3497.8,718.4,718.4,3478.3,3478.3,377.8,556.2,389.5,482.2,237.1,241.6,3474.6,3492.9,543.4,444.3,696.2,980.7,1127.0,461.6,-4.0,0.0,-11.0,11537.0,10995.0,3765.0,-523.0,1.0,-8.0,9.0,-7.0,-2.0,7.0,10879.0,9157.0,-3929.0,-7127.0,2.0,-2.0,1.0,1.0
2022-05-08 18:07:33.643656-07:00,855.3,796.9,1187.6,921.1,652.2,436.4,1238.2,801.0,3478.3,3475.9,640.8,867.1,408.2,3507.5,710.1,718.4,3478.3,3477.1,380.9,558.6,389.5,482.2,237.1,244.7,3474.6,3488.0,555.4,441.2,696.2,980.7,1127.0,462.4,-2.0,1.0,-1.0,11538.0,10995.0,3762.0,-526.0,-6.0,-11.0,-7.0,-5.0,-9.0,12.0,10879.0,9157.0,-3929.0,-7127.0,-5.0,-6.0,-4.0,1.0
2022-05-08 18:07:33.733432-07:00,855.3,798.5,1187.6,922.8,652.2,436.4,1238.2,804.4,3478.3,3475.9,640.8,863.7,408.2,3507.5,710.1,719.2,3474.6,3477.1,380.9,558.6,389.5,483.0,238.6,244.7,3478.3,3488.0,555.4,441.2,695.4,977.3,1124.4,462.4,-11.0,-10.0,2.0,11538.0,10994.0,3762.0,-527.0,9.0,3.0,12.0,-5.0,-10.0,18.0,10880.0,9156.0,-3927.0,-7128.0,5.0,6.0,2.0,1.0
2022-05-08 18:07:33.793426-07:00,852.0,798.5,1187.6,922.8,657.0,435.7,1240.8,804.4,3480.7,3475.9,640.8,863.7,413.7,3503.9,713.4,719.2,3474.6,3473.4,374.7,549.8,389.5,483.0,238.6,242.4,3478.3,3478.3,552.2,449.8,695.4,977.3,1124.4,463.2,-6.0,0.0,-8.0,11536.0,10997.0,3763.0,-523.0,-2.0,12.0,0.0,-3.0,-5.0,10.0,10879.0,9158.0,-3926.0,-7127.0,7.0,3.0,0.0,1.0
2022-05-08 18:07:33.794777-07:00,852.0,798.5,1181.5,917.7,657.0,435.7,1240.8,801.0,3480.7,3473.4,641.6,864.6,413.7,3503.9,713.4,717.5,3467.4,3473.4,374.7,549.8,392.6,483.7,241.6,242.4,3477.1,3478.3,552.2,449.8,687.2,978.2,1126.1,463.2,-2.0,-1.0,-7.0,11535.0,10997.0,3762.0,-524.0,-6.0,-8.0,-2.0,-7.0,-7.0,9.0,10879.0,9159.0,-3925.0,-7127.0,-1.0,1.0,-5.0,1.0
2022-05-08 18:07:33.823553-07:00,848.6,797.7,1181.5,917.7,653.8,438.8,1239.1,801.0,3477.1,3472.2,641.6,864.6,409.0,3499.0,713.4,717.5,3467.4,3474.6,374.7,554.6,392.6,483.7,241.6,231.7,3477.1,3480.7,550.6,443.5,687.2,978.2,1125.2,460.0,-5.0,-8.0,-8.0,11535.0,10997.0,3762.0,-524.0,-1.0,-8.0,9.0,-4.0,-5.0,14.0,10879.0,9158.0,-3923.0,-7128.0,0.0,-6.0,2.0,1.0
2022-05-08 18:07:33.914360-07:00,848.6,797.7,1179.7,919.4,653.8,438.8,1234.6,801.0,3477.1,3472.2,637.6,864.6,409.0,3499.0,714.2,716.7,3479.5,3469.8,374.7,554.6,387.9,482.2,241.6,231.7,3471.0,3472.2,550.6,443.5,689.7,977.3,1125.2,460.0,-5.0,5.0,3.0,11536.0,10997.0,3761.0,-525.0,-4.0,11.0,-6.0,-2.0,0.0,13.0,10880.0,9157.0,-3922.0,-7129.0,0.0,0.0,-2.0,1.0
2022-05-08 18:07:33.915869-07:00,850.3,797.7,1179.7,919.4,649.7,435.7,1234.6,801.0,3473.4,3483.2,637.6,864.6,408.2,3488.0,714.2,716.7,3479.5,3469.8,380.9,548.2,387.9,482.2,239.3,237.8,3471.0,3472.2,549.8,445.1,689.7,977.3,1124.4,459.3,-3.0,-6.0,-5.0,11535.0,10997.0,3762.0,-524.0,7.0,0.0,7.0,-8.0,-5.0,7.0,10881.0,9156.0,-3920.0,-7130.0,6.0,9.0,-1.0,1.0
2022-05-08 18:07:33.974138-07:00,850.3,797.7,1185.9,916.9,649.7,435.7,1241.7,803.5,3473.4,3483.2,636.7,865.4,408.2,3488.0,710.1,720.0,3474.6,3474.6,380.9,548.2,387.9,479.8,239.3,237.8,3474.6,3477.1,549.8,445.1,689.7,980.7,1124.4,459.3,-4.0,-2.0,-9.0,11535.0,10997.0,3762.0,-524.0,1.0,-13.0,2.0,-6.0,-3.0,3.0,10881.0,9156.0,-3919.0,-7131.0,2.0,4.0,1.0,1.0
2022-05-08 18:07:34.064357-07:00,852.0,796.9,1185.9,916.9,656.2,438.0,1241.7,803.5,3469.8,3475.9,636.7,865.4,404.3,3492.9,710.1,720.0,3474.6,3474.6,378.6,555.4,387.9,479.8,240.1,237.8,3474.6,3477.1,550.6,440.4,689.7,980.7,1125.2,460.8,-5.0,-5.0,-1.0,11536.0,10997.0,3761.0,-525.0,-4.0,-9.0,-5.0,-6.0,-7.0,7.0,10881.0,9155.0,-3918.0,-7132.0,-1.0,0.0,-2.0,1.0
2022-05-08 18:07:34.066395-07:00,852.0,796.9,1188.5,918.6,656.2,438.0,1239.1,801.0,3469.8,3475.9,631.1,864.6,404.3,3492.9,713.4,719.2,3469.8,3473.4,378.6,555.4,385.6,486.9,240.1,237.8,3478.3,3480.7,550.6,440.4,696.2,979.9,1125.2,460.8,-3.0,-4.0,0.0,11536.0,10997.0,3761.0,-525.0,1.0,1.0,7.0,-2.0,-6.0,14.0,10882.0,9154.0,-3916.0,-7133.0,3.0,0.0,0.0,1.0
2022-05-08 18:07:34.244336-07:00,847.8,794.4,1185.9,918.6,660.3,434.9,1239.1,801.0,3475.9,3477.1,635.9,864.6,413.7,3497.8,713.4,719.2,3469.8,3473.4,378.6,556.2,385.6,484.5,241.6,240.9,3478.3,3480.7,553.8,445.9,696.2,981.6,1127.9,460.8,-2.0,-1.0,-6.0,11536.0,10997.0,3761.0,-525.0,-1.0,4.0,4.0,-6.0,-8.0,6.0,10883.0,9153.0,-3915.0,-7134.0,4.0,6.0,-2.0,1.0
2022-05-08 18:07:34.245111-07:00,847.8,794.4,1185.9,920.3,660.3,432.5,1230.2,803.5,3475.9,3477.1,635.9,862.9,413.7,3495.3,713.4,719.2,3477.1,3486.8,377.0,556.2,392.6,484.5,241.6,240.9,3485.6,3480.7,543.4,445.9,699.5,981.6,1127.9,460.8,-1.0,-3.0,-4.0,11536.0,10997.0,3761.0,-525.0,-4.0,-2.0,4.0,-6.0,-7.0,6.0,10883.0,9153.0,-3914.0,-7135.0,2.0,-2.0,-1.0,1.0
2022-05-08 18:07:34.334045-07:00,849.5,799.4,1191.2,920.3,659.5,432.5,1230.2,803.5,3472.2,3479.5,639.2,862.9,409.8,3495.3,713.4,719.2,3477.1,3486.8,377.0,553.8,392.6,481.4,236.3,239.3,3485.6,3480.7,543.4,443.5,699.5,979.9,1127.9,460.0,-6.0,0.0,-5.0,11536.0,10997.0,3760.0,-526.0,-8.0,-7.0,9.0,-6.0,-7.0,6.0,10883.0,9152.0,-3913.0,-7136.0,-3.0,-4.0,0.0,1.0
