Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:37:05.541624-07:00,710.1,734.8,692.1,997.9,404.3,328.2,847.8,712.6,3468.6,3462.5,1411.3,740.6,685.6,3464.9,1231.0,847.0,3441.9,3441.9,380.9,326.7,317.4,332.9,302.0,253.1,3455.2,3461.3,498.8,428.6,518.7,850.3,677.4,534.6,10.0,3.0,-6.0,12587.0,-9787.0,-248.0,3763.0,5.0,-99.0,36.0,0.0,4.0,2.0,4405.0,-6455.0,-9169.0,11104.0,2.0,18.0,-7.0,1.0
2022-05-08 17:37:05.601771-07:00,710.1,734.8,693.8,993.6,404.3,328.2,867.1,708.5,3468.6,3462.5,1411.3,731.5,685.6,3464.9,1232.8,845.3,3449.1,3438.2,380.9,326.7,318.2,323.6,302.0,253.1,3457.6,3454.0,498.8,428.6,518.7,855.3,677.4,534.6,12.0,1.0,8.0,12589.0,-9773.0,-266.0,3790.0,32.0,-45.0,17.0,7.0,-6.0,4.0,4411.0,-6456.0,-9163.0,11106.0,28.0,15.0,-11.0,1.0
2022-05-08 17:37:05.661774-07:00,719.2,740.6,693.8,993.6,406.7,328.2,867.1,708.5,3469.8,3471.0,1411.3,731.5,686.4,3463.7,1232.8,845.3,3449.1,3438.2,384.0,319.7,318.2,323.6,303.6,247.0,3457.6,3454.0,491.7,422.3,518.7,855.3,675.8,533.0,12.0,0.0,3.0,12600.0,-9756.0,-269.0,3797.0,38.0,0.0,-1.0,5.0,-5.0,6.0,4424.0,-6456.0,-9151.0,11111.0,35.0,19.0,-8.0,1.0
2022-05-08 17:37:05.692262-07:00,719.2,740.6,692.1,989.3,406.7,328.2,850.3,701.1,3469.8,3471.0,1406.7,739.7,686.4,3463.7,1231.9,847.0,3451.6,3443.1,384.0,319.7,318.2,329.8,303.6,247.0,3463.7,3461.3,491.7,422.3,511.5,851.1,675.8,533.0,-3.0,-13.0,2.0,12599.0,-9757.0,-264.0,3797.0,-4.0,7.0,24.0,-7.0,-5.0,8.0,4426.0,-6459.0,-9149.0,11110.0,0.0,-3.0,18.0,1.0
2022-05-08 17:37:05.721889-07:00,714.2,734.0,692.9,989.3,405.9,327.5,850.3,701.1,3461.3,3468.6,1410.3,739.7,686.4,3467.4,1231.9,847.0,3451.6,3443.1,381.7,324.4,318.2,333.6,301.3,248.5,3463.7,3461.3,493.2,421.5,511.5,850.3,677.4,537.0,-5.0,5.0,-7.0,12598.0,-9757.0,-252.0,3803.0,9.0,2.0,17.0,-10.0,1.0,8.0,4415.0,-6457.0,-9145.0,11119.0,14.0,-29.0,19.0,1.0
2022-05-08 17:37:05.781704-07:00,714.2,734.0,692.9,986.7,405.9,325.9,851.1,710.1,3461.3,3468.6,1410.3,743.0,686.4,3469.8,1230.2,852.0,3446.7,3447.9,384.8,324.4,320.5,333.6,301.3,248.5,3460.1,3458.9,489.3,421.5,513.9,850.3,677.4,537.0,0.0,2.0,-1.0,12603.0,-9750.0,-253.0,3806.0,15.0,3.0,1.0,-8.0,0.0,1.0,4404.0,-6444.0,-9142.0,11132.0,12.0,-49.0,7.0,1.0
2022-05-08 17:37:05.841814-07:00,711.8,737.3,692.1,986.7,404.3,325.9,851.1,710.1,3463.7,3462.5,1407.6,743.0,675.8,3469.8,1230.2,852.0,3446.7,3447.9,384.8,325.1,320.5,329.0,302.8,252.3,3460.1,3458.9,489.3,422.3,513.9,854.5,677.4,530.6,7.0,-3.0,2.0,12602.0,-9748.0,-254.0,3813.0,8.0,-34.0,20.0,6.0,-9.0,11.0,4395.0,-6432.0,-9146.0,11140.0,0.0,-29.0,5.0,1.0
2022-05-08 17:37:05.871835-07:00,711.8,737.3,692.1,996.2,404.3,327.5,842.8,711.0,3463.7,3462.5,1407.6,742.2,675.8,3468.6,1229.3,846.1,3434.6,3439.5,387.9,325.1,327.5,329.0,302.8,252.3,3456.4,3456.4,492.5,422.3,514.7,854.5,677.4,530.6,24.0,-2.0,4.0,12607.0,-9737.0,-267.0,3823.0,18.0,-31.0,3.0,20.0,-7.0,1.0,4393.0,-6422.0,-9148.0,11145.0,15.0,-14.0,-4.0,1.0
2022-05-08 17:37:05.961845-07:00,710.1,734.8,690.5,996.2,406.7,327.5,842.8,711.0,3468.6,3457.6,1409.4,742.2,679.1,3468.6,1229.3,846.1,3434.6,3439.5,387.9,321.3,327.5,333.6,301.3,247.0,3456.4,3456.4,492.5,423.9,514.7,853.7,672.5,537.8,18.0,-8.0,4.0,12612.0,-9732.0,-274.0,3819.0,1.0,7.0,-4.0,16.0,-3.0,3.0,4397.0,-6418.0,-9149.0,11145.0,2.0,7.0,-2.0,1.0
2022-05-08 17:37:06.022737-07:00,710.1,734.8,690.5,986.7,406.7,327.5,847.0,706.9,3468.6,3457.6,1409.4,745.5,679.1,3473.4,1227.5,846.1,3450.4,3449.1,384.8,321.3,319.7,333.6,301.3,247.0,3467.4,3447.9,499.6,423.9,519.5,853.7,672.5,537.8,5.0,0.0,0.0,12613.0,-9732.0,-276.0,3817.0,-2.0,9.0,8.0,7.0,0.0,8.0,4402.0,-6422.0,-9148.0,11141.0,-2.0,24.0,2.0,1.0
2022-05-08 17:37:06.024217-07:00,713.4,752.1,692.1,991.9,403.5,327.5,847.0,706.9,3468.6,3478.3,1408.5,741.4,680.7,3473.4,1227.5,846.1,3450.4,3449.1,384.8,324.4,321.3,329.8,296.7,248.5,3467.4,3447.9,499.6,423.1,511.5,855.3,669.3,538.6,1.0,0.0,-1.0,12612.0,-9733.0,-275.0,3816.0,-5.0,12.0,-1.0,-5.0,-4.0,5.0,4408.0,-6430.0,-9146.0,11136.0,-7.0,27.0,-5.0,1.0
2022-05-08 17:37:06.082313-07:00,713.4,752.1,692.1,991.9,411.4,322.1,844.4,706.0,3468.6,3478.3,1408.5,741.4,682.3,3468.6,1231.9,841.1,3433.4,3451.6,383.3,319.7,321.3,329.8,296.7,248.5,3463.7,3460.1,491.7,423.1,511.5,855.3,669.3,538.6,0.0,6.0,0.0,12613.0,-9736.0,-269.0,3806.0,1.0,30.0,-15.0,-6.0,-1.0,11.0,4413.0,-6435.0,-9144.0,11133.0,0.0,19.0,-12.0,1.0
2022-05-08 17:37:06.141913-07:00,713.4,745.5,696.2,991.0,411.4,322.1,844.4,706.0,3469.8,3473.4,1402.1,742.2,682.3,3468.6,1231.9,841.1,3433.4,3451.6,383.3,319.7,320.5,328.2,300.5,251.5,3463.7,3460.1,491.7,423.1,513.9,851.1,675.8,539.4,2.0,-8.0,2.0,12614.0,-9736.0,-268.0,3803.0,1.0,8.0,0.0,-4.0,-8.0,6.0,4419.0,-6441.0,-9142.0,11128.0,-5.0,21.0,-7.0,1.0
2022-05-08 17:37:06.171793-07:00,713.4,745.5,696.2,991.0,401.2,327.5,855.3,706.0,3469.8,3473.4,1402.1,742.2,684.0,3456.4,1222.2,848.6,3440.7,3441.9,377.8,324.4,320.5,328.2,300.5,251.5,3460.1,3457.6,489.3,423.9,513.9,851.1,675.8,539.4,6.0,1.0,0.0,12614.0,-9738.0,-262.0,3796.0,-7.0,25.0,-10.0,3.0,-2.0,4.0,4425.0,-6449.0,-9139.0,11124.0,-9.0,25.0,-8.0,1.0
2022-05-08 17:37:06.231778-07:00,716.7,738.1,691.3,992.7,401.2,327.5,855.3,706.0,3464.9,3469.8,1408.5,738.9,684.0,3456.4,1222.2,848.6,3440.7,3441.9,377.8,324.4,319.7,330.5,298.2,253.8,3460.1,3457.6,489.3,423.9,515.5,853.7,672.5,535.4,6.0,-2.0,-1.0,12615.0,-9739.0,-261.0,3791.0,4.0,7.0,-12.0,2.0,-4.0,3.0,4430.0,-6455.0,-9137.0,11120.0,2.0,19.0,-7.0,1.0
2022-05-08 17:37:06.291119-07:00,716.7,738.1,691.3,992.7,407.5,327.5,842.8,704.4,3464.9,3469.8,1408.5,738.9,682.3,3464.9,1235.5,844.4,3444.3,3444.3,379.4,319.7,319.7,330.5,298.2,253.8,3455.2,3463.7,496.4,417.6,515.5,853.7,672.5,535.4,2.0,-4.0,-2.0,12616.0,-9740.0,-261.0,3788.0,5.0,3.0,2.0,0.0,-2.0,2.0,4433.0,-6458.0,-9135.0,11118.0,4.0,7.0,0.0,1.0
2022-05-08 17:37:06.321322-07:00,711.0,735.6,696.2,992.7,407.5,327.5,842.8,706.0,3464.9,3469.8,1412.2,736.5,682.3,3464.9,1235.5,848.6,3440.7,3444.3,379.4,319.7,315.1,335.2,303.6,250.0,3456.4,3463.7,496.4,417.6,514.7,867.1,677.4,533.0,1.0,3.0,-8.0,12615.0,-9740.0,-263.0,3788.0,8.0,-17.0,-3.0,-1.0,0.0,10.0,4433.0,-6458.0,-9135.0,11118.0,5.0,-2.0,-4.0,1.0
2022-05-08 17:37:06.412393-07:00,711.8,735.6,696.2,992.7,406.7,323.6,845.3,706.0,3466.1,3469.8,1412.2,736.5,679.1,3461.3,1229.3,848.6,3440.7,3444.3,377.0,330.5,315.1,335.2,303.6,252.3,3456.4,3463.7,493.2,424.7,514.7,867.1,677.4,533.0,-1.0,-10.0,0.0,12615.0,-9737.0,-272.0,3796.0,9.0,-25.0,-2.0,-5.0,-13.0,4.0,4432.0,-6456.0,-9135.0,11120.0,7.0,-16.0,-4.0,1.0
2022-05-08 17:37:06.471930-07:00,711.8,734.8,688.0,989.3,406.7,323.6,845.3,706.9,3466.1,3461.3,1430.5,738.1,679.1,3461.3,1229.3,844.4,3441.9,3444.3,377.0,330.5,317.4,325.9,299.0,252.3,3460.1,3463.7,493.2,424.7,513.1,851.1,674.2,533.0,3.0,2.0,-2.0,12618.0,-9730.0,-281.0,3806.0,9.0,-36.0,2.0,-1.0,-3.0,7.0,4429.0,-6449.0,-9134.0,11126.0,10.0,-23.0,-1.0,1.0
2022-05-08 17:37:06.502323-07:00,710.1,734.8,688.0,989.3,403.5,325.9,852.0,706.9,3466.1,3461.3,1430.5,738.1,689.7,3467.4,1229.3,844.4,3441.9,3440.7,379.4,324.4,317.4,325.9,299.0,249.2,3460.1,3460.1,493.2,423.1,513.1,851.1,674.2,533.0,4.0,-2.0,-2.0,12621.0,-9720.0,-293.0,3816.0,27.0,-45.0,-4.0,1.0,-5.0,7.0,4428.0,-6443.0,-9133.0,11131.0,26.0,-18.0,-5.0,1.0
2022-05-08 17:37:06.531759-07:00,710.1,738.9,692.1,994.5,403.5,325.9,852.0,712.6,3466.1,3464.9,1406.7,741.4,689.7,3467.4,1229.3,846.1,3446.7,3440.7,379.4,324.4,316.7,336.7,296.7,249.2,3463.7,3460.1,493.2,423.1,506.7,857.0,670.9,533.0,3.0,-9.0,4.0,12624.0,-9715.0,-304.0,3821.0,2.0,-25.0,0.0,2.0,-7.0,15.0,4427.0,-6438.0,-9131.0,11136.0,1.0,-11.0,-2.0,1.0
2022-05-08 17:37:06.562095-07:00,711.8,738.9,692.1,994.5,410.6,330.5,845.3,712.6,3468.6,3464.9,1406.7,741.4,684.8,3474.6,1228.4,846.1,3446.7,3438.2,380.9,319.7,316.7,336.7,296.7,249.2,3463.7,3458.9,494.8,427.0,506.7,857.0,670.9,535.4,10.0,2.0,2.0,12623.0,-9713.0,-308.0,3829.0,-11.0,-7.0,9.0,2.0,-6.0,10.0,4426.0,-6437.0,-9132.0,11136.0,-15.0,4.0,3.0,1.0
2022-05-08 17:37:06.621842-07:00,711.8,738.9,699.5,986.7,410.6,330.5,845.3,701.9,3468.6,3464.9,1409.4,752.1,684.8,3474.6,1228.4,846.1,3449.1,3438.2,380.9,319.7,321.3,332.1,300.5,249.2,3456.4,3458.9,494.8,427.0,517.1,855.3,673.3,535.4,6.0,0.0,4.0,12624.0,-9711.0,-309.0,3829.0,17.0,0.0,-7.0,2.0,0.0,7.0,4426.0,-6437.0,-9132.0,11136.0,13.0,-4.0,-2.0,1.0
2022-05-08 17:37:06.681678-07:00,711.0,738.9,699.5,986.7,405.9,325.9,855.3,701.9,3468.6,3462.5,1409.4,752.1,686.4,3462.5,1231.9,846.1,3449.1,3444.3,381.7,325.9,321.3,332.1,302.0,253.8,3456.4,3466.1,489.3,422.3,517.1,855.3,673.3,529.0,4.0,-8.0,2.0,12625.0,-9711.0,-312.0,3826.0,9.0,-7.0,-6.0,0.0,-7.0,8.0,4427.0,-6437.0,-9131.0,11137.0,7.0,4.0,-7.0,1.0
2022-05-08 17:37:06.712212-07:00,711.0,738.9,696.2,996.2,405.9,325.9,845.3,707.7,3468.6,3462.5,1411.3,745.5,686.4,3462.5,1231.9,850.3,3434.6,3440.7,381.7,325.9,321.3,332.9,302.0,253.8,3456.4,3447.9,489.3,422.3,513.9,852.8,673.3,529.0,7.0,-6.0,1.0,12625.0,-9711.0,-312.0,3825.0,-5.0,4.0,6.0,2.0,-7.0,4.0,4427.0,-6437.0,-9132.0,11137.0,-6.0,4.0,2.0,1.0
2022-05-08 17:37:06.771805-07:00,711.8,739.7,696.2,996.2,405.1,323.6,845.3,707.7,3466.1,3468.6,1411.3,745.5,686.4,3462.5,1231.9,850.3,3434.6,3440.7,383.3,316.7,321.3,332.9,303.6,247.0,3456.4,3447.9,490.9,416.8,513.9,852.8,678.2,536.2,5.0,2.0,0.0,12625.0,-9711.0,-313.0,3824.0,-1.0,-5.0,-11.0,3.0,1.0,5.0,4427.0,-6437.0,-9132.0,11137.0,-2.0,-2.0,-9.0,1.0
2022-05-08 17:37:06.831935-07:00,711.8,739.7,699.5,994.5,405.1,323.6,844.4,697.0,3466.1,3468.6,1404.9,739.7,686.4,3462.5,1231.9,846.1,3443.1,3437.0,383.3,316.7,317.4,334.4,303.6,247.0,3468.6,3461.3,490.9,416.8,513.9,855.3,678.2,536.2,3.0,-4.0,1.0,12626.0,-9711.0,-315.0,3824.0,-1.0,-9.0,-8.0,2.0,-7.0,5.0,4427.0,-6437.0,-9132.0,11137.0,3.0,-8.0,-2.0,1.0
2022-05-08 17:37:06.862041-07:00,712.6,736.5,699.5,994.5,409.0,328.2,844.4,697.0,3463.7,3467.4,1404.9,739.7,684.8,3475.9,1231.9,846.1,3443.1,3437.0,381.7,324.4,317.4,334.4,302.8,249.2,3468.6,3461.3,486.1,421.5,513.9,855.3,678.2,533.0,5.0,-3.0,0.0,12626.0,-9710.0,-318.0,3826.0,0.0,-17.0,1.0,5.0,-2.0,6.0,4427.0,-6437.0,-9132.0,11137.0,-1.0,-2.0,-1.0,1.0
2022-05-08 17:37:06.923360-07:00,712.6,736.5,695.4,992.7,409.0,328.2,846.1,701.1,3463.7,3467.4,1404.9,734.0,684.8,3475.9,1224.8,847.8,3435.8,3444.3,381.7,324.4,318.2,333.6,302.8,249.2,3469.8,3458.9,486.1,421.5,513.1,855.3,678.2,533.0,5.0,-1.0,0.0,12626.0,-9710.0,-319.0,3826.0,3.0,-7.0,0.0,4.0,-5.0,9.0,4427.0,-6437.0,-9132.0,11137.0,4.0,2.0,-4.0,1.0
2022-05-08 17:37:06.981760-07:00,712.6,734.0,685.6,992.7,403.5,330.5,846.1,701.1,3474.6,3478.3,1400.3,734.0,684.8,3457.6,1224.8,847.8,3435.8,3444.3,380.2,324.4,318.2,335.2,299.7,250.8,3469.8,3458.9,494.8,427.0,513.1,847.8,666.0,529.8,2.0,-6.0,3.0,12626.0,-9709.0,-323.0,3828.0,-1.0,-13.0,3.0,-3.0,-8.0,12.0,4426.0,-6437.0,-9132.0,11136.0,-11.0,1.0,-5.0,1.0
2022-05-08 17:37:07.011809-07:00,712.6,734.0,685.6,988.5,403.5,323.6,842.8,703.6,3474.6,3478.3,1400.3,742.2,684.8,3467.4,1231.0,848.6,3437.0,3438.2,379.4,324.4,316.7,335.2,299.7,250.8,3468.6,3452.8,490.9,427.0,515.5,847.8,666.0,529.8,5.0,0.0,1.0,12626.0,-9707.0,-328.0,3833.0,9.0,-19.0,-2.0,3.0,-1.0,10.0,4426.0,-6437.0,-9132.0,11136.0,8.0,-6.0,0.0,1.0
2022-05-08 17:37:07.161746-07:00,712.6,733.2,688.9,988.5,408.2,323.6,842.8,703.6,3473.4,3463.7,1404.9,742.2,684.0,3467.4,1231.0,848.6,3437.0,3438.2,379.4,323.6,316.7,336.7,303.6,252.3,3468.6,3452.8,490.9,421.5,515.5,851.1,676.6,537.8,10.0,-2.0,1.0,12625.0,-9705.0,-337.0,3839.0,6.0,-19.0,-7.0,2.0,-8.0,4.0,4426.0,-6437.0,-9132.0,11136.0,4.0,-3.0,-5.0,1.0
2022-05-08 17:37:07.163402-07:00,712.6,733.2,688.9,992.7,408.2,327.5,837.7,707.7,3473.4,3463.7,1404.9,745.5,684.0,3457.6,1231.0,846.1,3449.1,3449.1,379.4,323.6,319.7,336.7,303.6,252.3,3463.7,3452.8,491.7,421.5,514.7,851.1,676.6,537.8,8.0,-1.0,6.0,12626.0,-9704.0,-337.0,3840.0,-6.0,6.0,8.0,5.0,-6.0,20.0,4426.0,-6437.0,-9132.0,11136.0,2.0,1.0,3.0,1.0
2022-05-08 17:37:07.164424-07:00,709.3,738.9,696.2,992.7,405.1,327.5,837.7,707.7,3460.1,3468.6,1404.0,745.5,682.3,3457.6,1231.0,846.1,3449.1,3449.1,379.4,321.3,319.7,336.7,297.4,252.3,3463.7,3452.8,491.7,423.9,514.7,854.5,672.5,533.0,10.0,4.0,1.0,12626.0,-9703.0,-335.0,3841.0,-6.0,3.0,-9.0,14.0,8.0,8.0,4428.0,-6439.0,-9131.0,11136.0,-1.0,2.0,-3.0,1.0
2022-05-08 17:37:07.222118-07:00,709.3,738.9,696.2,991.0,405.1,327.5,845.3,712.6,3460.1,3468.6,1404.0,741.4,682.3,3460.1,1223.0,847.0,3441.9,3431.0,381.7,321.3,319.7,336.7,297.4,252.3,3457.6,3455.2,487.7,423.9,518.7,854.5,672.5,533.0,9.0,-4.0,0.0,12627.0,-9702.0,-335.0,3841.0,2.0,0.0,5.0,3.0,-2.0,0.0,4429.0,-6440.0,-9131.0,11135.0,7.0,6.0,3.0,1.0
2022-05-08 17:37:07.281651-07:00,720.0,736.5,691.3,985.9,401.2,327.5,845.3,712.6,3472.2,3463.7,1406.7,738.9,687.2,3460.1,1223.0,847.0,3441.9,3431.0,381.7,322.1,318.2,336.7,302.8,253.1,3457.6,3455.2,487.7,421.5,513.1,858.7,688.0,529.0,5.0,-6.0,5.0,12626.0,-9702.0,-334.0,3843.0,12.0,-5.0,14.0,1.0,-2.0,9.0,4428.0,-6440.0,-9132.0,11134.0,4.0,-2.0,5.0,1.0
2022-05-08 17:37:07.312386-07:00,720.0,736.5,691.3,985.9,405.1,325.9,849.5,706.0,3472.2,3463.7,1406.7,738.9,679.1,3455.2,1236.4,849.5,3447.9,3449.1,379.4,330.5,318.2,336.7,302.8,253.1,3468.6,3458.9,489.3,422.3,513.1,858.7,688.0,529.0,5.0,-1.0,4.0,12627.0,-9702.0,-333.0,3844.0,0.0,-7.0,3.0,1.0,-4.0,9.0,4428.0,-6440.0,-9131.0,11134.0,-4.0,7.0,1.0,1.0
2022-05-08 17:37:07.371829-07:00,711.0,734.0,692.1,988.5,405.1,325.9,849.5,706.0,3469.8,3463.7,1403.0,739.7,679.1,3455.2,1236.4,849.5,3447.9,3449.1,379.4,330.5,321.3,332.9,299.0,250.0,3468.6,3458.9,489.3,422.3,513.9,855.3,673.3,533.0,6.0,1.0,2.0,12627.0,-9701.0,-333.0,3844.0,-10.0,0.0,2.0,4.0,-2.0,16.0,4429.0,-6440.0,-9130.0,11135.0,-7.0,11.0,0.0,1.0
2022-05-08 17:37:07.431758-07:00,711.0,734.0,692.1,988.5,405.1,327.5,850.3,708.5,3469.8,3463.7,1403.0,739.7,685.6,3468.6,1228.4,844.4,3444.3,3445.5,383.3,324.4,321.3,332.9,299.0,250.0,3463.7,3458.9,483.0,427.0,513.9,855.3,673.3,533.0,3.0,-2.0,1.0,12627.0,-9703.0,-329.0,3841.0,1.0,12.0,6.0,3.0,-9.0,13.0,4430.0,-6442.0,-9130.0,11133.0,-1.0,8.0,5.0,1.0
2022-05-08 17:37:07.491749-07:00,709.3,736.5,689.7,994.5,405.1,327.5,850.3,708.5,3462.5,3468.6,1401.2,738.1,685.6,3468.6,1228.4,844.4,3444.3,3445.5,383.3,324.4,321.3,331.3,300.5,253.8,3463.7,3458.9,483.0,427.0,508.3,850.3,679.9,527.4,4.0,-1.0,-2.0,12627.0,-9704.0,-325.0,3837.0,5.0,14.0,-4.0,1.0,-5.0,7.0,4430.0,-6443.0,-9131.0,11132.0,2.0,8.0,-1.0,1.0
2022-05-08 17:37:07.521723-07:00,709.3,736.5,689.7,994.5,408.2,335.2,846.1,709.3,3462.5,3468.6,1401.2,738.1,686.4,3462.5,1244.4,847.0,3443.1,3433.4,379.4,324.4,321.3,331.3,300.5,253.8,3468.6,3466.1,490.1,423.1,508.3,850.3,679.9,527.4,5.0,-5.0,0.0,12627.0,-9705.0,-324.0,3837.0,5.0,-9.0,-3.0,3.0,0.0,11.0,4430.0,-6443.0,-9131.0,11132.0,-2.0,0.0,-3.0,1.0
2022-05-08 17:37:07.581315-07:00,713.4,738.9,682.3,1001.3,408.2,335.2,846.1,709.3,3466.1,3467.4,1400.3,743.9,686.4,3462.5,1244.4,847.0,3443.1,3433.4,379.4,324.4,316.7,333.6,301.3,252.3,3468.6,3466.1,490.1,423.1,509.9,847.0,680.7,532.2,8.0,-2.0,2.0,12626.0,-9704.0,-324.0,3841.0,-3.0,-6.0,12.0,1.0,-7.0,10.0,4430.0,-6443.0,-9131.0,11132.0,-2.0,2.0,5.0,1.0
2022-05-08 17:37:07.611949-07:00,720.8,738.9,682.3,1001.3,405.9,323.6,844.4,707.7,3473.4,3467.4,1400.3,743.9,681.5,3477.1,1227.5,852.0,3449.1,3444.3,383.3,317.4,316.7,333.6,301.3,250.8,3456.4,3457.6,494.0,423.9,509.9,847.0,680.7,534.6,9.0,1.0,3.0,12625.0,-9704.0,-322.0,3843.0,5.0,-1.0,3.0,5.0,-5.0,9.0,4430.0,-6443.0,-9131.0,11132.0,8.0,2.0,0.0,1.0
2022-05-08 17:37:07.672364-07:00,720.8,737.3,690.5,990.2,405.9,323.6,844.4,709.3,3473.4,3471.0,1406.7,738.1,681.5,3477.1,1227.5,847.8,3447.9,3444.3,383.3,317.4,319.0,332.9,299.7,250.8,3464.9,3457.6,494.0,423.9,513.9,851.1,675.0,534.6,4.0,-2.0,4.0,12625.0,-9704.0,-322.0,3843.0,-2.0,5.0,-8.0,-2.0,-4.0,11.0,4430.0,-6443.0,-9131.0,11132.0,-2.0,3.0,-2.0,1.0
2022-05-08 17:37:07.731782-07:00,715.9,737.3,690.5,990.2,409.8,332.9,848.6,709.3,3463.7,3471.0,1406.7,738.1,685.6,3462.5,1226.6,847.8,3447.9,3440.7,382.5,321.3,319.0,332.9,299.7,248.5,3464.9,3461.3,493.2,418.4,513.9,851.1,675.0,534.6,11.0,0.0,0.0,12625.0,-9704.0,-323.0,3845.0,-5.0,-10.0,9.0,6.0,-4.0,10.0,4430.0,-6443.0,-9131.0,11132.0,-8.0,7.0,2.0,1.0
2022-05-08 17:37:07.881835-07:00,715.9,729.9,700.3,987.6,409.8,332.9,848.6,700.3,3463.7,3463.7,1393.0,738.1,685.6,3462.5,1226.6,848.6,3449.1,3440.7,382.5,321.3,319.7,333.6,299.0,248.5,3466.1,3461.3,493.2,418.4,518.7,852.8,672.5,534.6,8.0,1.0,1.0,12625.0,-9703.0,-323.0,3846.0,6.0,-6.0,4.0,7.0,0.0,7.0,4431.0,-6443.0,-9130.0,11133.0,2.0,2.0,-1.0,1.0
2022-05-08 17:37:07.912461-07:00,711.8,729.9,700.3,987.6,408.2,329.0,844.4,700.3,3467.4,3463.7,1393.0,738.1,684.0,3472.2,1227.5,848.6,3449.1,3447.9,381.7,324.4,319.7,333.6,299.0,251.5,3466.1,3457.6,489.3,422.3,518.7,852.8,672.5,534.6,4.0,-6.0,4.0,12625.0,-9703.0,-323.0,3846.0,7.0,0.0,5.0,2.0,-7.0,13.0,4431.0,-6443.0,-9130.0,11133.0,5.0,3.0,-3.0,1.0
2022-05-08 17:37:07.913297-07:00,711.8,731.5,694.6,984.2,408.2,329.0,844.4,706.0,3467.4,3467.4,1404.9,738.9,684.0,3472.2,1227.5,845.3,3441.9,3447.9,381.7,324.4,324.4,333.6,298.2,251.5,3460.1,3457.6,489.3,422.3,513.9,851.1,679.9,534.6,7.0,0.0,3.0,12625.0,-9703.0,-322.0,3847.0,-1.0,-3.0,6.0,1.0,-8.0,13.0,4431.0,-6443.0,-9130.0,11133.0,-1.0,4.0,0.0,1.0
2022-05-08 17:37:07.914503-07:00,712.6,731.5,694.6,984.2,406.7,328.2,844.4,706.0,3463.7,3466.1,1404.9,738.9,683.1,3468.6,1228.4,845.3,3441.9,3438.2,383.3,320.5,324.4,333.6,302.0,247.0,3460.1,3468.6,490.1,421.5,513.9,851.1,681.5,536.2,7.0,1.0,1.0,12625.0,-9702.0,-323.0,3848.0,7.0,-10.0,-8.0,4.0,-2.0,8.0,4431.0,-6443.0,-9130.0,11133.0,3.0,0.0,-4.0,1.0
2022-05-08 17:37:07.971822-07:00,712.6,731.5,694.6,991.0,406.7,328.2,847.0,710.1,3463.7,3466.1,1399.4,739.7,683.1,3468.6,1231.9,845.3,3450.4,3449.1,383.3,320.5,319.7,332.9,302.0,247.0,3461.3,3458.9,490.1,421.5,517.1,855.3,681.5,536.2,1.0,-8.0,1.0,12625.0,-9701.0,-328.0,3848.0,3.0,-25.0,-7.0,-1.0,-7.0,16.0,4431.0,-6442.0,-9131.0,11132.0,6.0,4.0,-2.0,1.0
2022-05-08 17:37:08.032422-07:00,713.4,738.9,694.6,991.0,411.4,327.5,847.0,710.1,3469.8,3469.8,1399.4,739.7,684.0,3464.9,1231.9,845.3,3450.4,3449.1,383.3,322.1,319.7,332.9,298.2,250.8,3461.3,3458.9,493.2,418.4,517.1,855.3,674.2,547.4,1.0,5.0,-18.0,12626.0,-9695.0,-343.0,3860.0,14.0,-78.0,2.0,8.0,-3.0,5.0,4431.0,-6442.0,-9131.0,11132.0,3.0,-2.0,-3.0,1.0
2022-05-08 17:37:08.062107-07:00,713.4,738.9,690.5,985.0,411.4,327.5,847.0,719.2,3469.8,3469.8,1404.0,740.6,684.0,3464.9,1223.0,852.0,3437.0,3451.6,383.3,322.1,315.1,330.5,298.2,250.8,3454.0,3457.6,493.2,418.4,511.5,855.3,674.2,547.4,10.0,-9.0,0.0,12626.0,-9686.0,-370.0,3880.0,3.0,-84.0,-8.0,4.0,-6.0,4.0,4431.0,-6442.0,-9132.0,11131.0,1.0,1.0,-7.0,1.0
2022-05-08 17:37:08.121851-07:00,705.2,740.6,690.5,985.0,406.7,330.5,847.0,719.2,3463.7,3466.1,1404.0,740.6,682.3,3461.3,1223.0,852.0,3437.0,3451.6,382.5,322.8,315.1,330.5,299.0,252.3,3454.0,3457.6,491.7,422.3,511.5,855.3,674.2,537.0,-3.0,-1.0,-15.0,12629.0,-9671.0,-395.0,3907.0,-13.0,-191.0,16.0,1.0,-12.0,25.0,4434.0,-6442.0,-9128.0,11133.0,19.0,3.0,-9.0,1.0
