Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-08 17:42:36.428766-07:00,684.0,709.3,671.7,969.6,391.8,303.6,788.6,676.6,3463.7,3469.8,1300.7,713.4,613.3,3464.9,1180.6,815.2,3435.8,3450.4,383.3,312.0,322.1,309.0,289.8,279.8,3452.8,3454.0,494.0,428.6,509.1,882.3,640.8,501.2,-3.0,3.0,5.0,12412.0,-10415.0,-751.0,2312.0,8.0,-13.0,1.0,0.0,1.0,12.0,6959.0,-9707.0,-7270.0,8540.0,6.0,-11.0,-2.0,1.0
2022-05-08 17:42:36.488888-07:00,684.0,709.3,675.8,974.8,391.8,303.6,787.7,672.5,3463.7,3469.8,1304.3,714.2,613.3,3464.9,1176.2,825.2,3438.2,3440.7,383.3,312.0,317.4,315.1,289.8,279.8,3451.6,3464.9,494.0,428.6,513.1,882.3,640.8,501.2,-4.0,1.0,4.0,12411.0,-10415.0,-754.0,2315.0,-4.0,-11.0,-1.0,0.0,2.0,6.0,6958.0,-9706.0,-7271.0,8541.0,-4.0,-15.0,-2.0,1.0
2022-05-08 17:42:36.518911-07:00,688.0,706.9,675.8,974.8,383.3,303.6,787.7,672.5,3463.7,3462.5,1304.3,714.2,607.6,3457.6,1176.2,825.2,3438.2,3440.7,379.4,308.2,317.4,315.1,292.1,278.3,3451.6,3464.9,496.4,427.0,513.1,882.3,637.6,478.2,-1.0,4.0,4.0,12412.0,-10414.0,-758.0,2318.0,-1.0,-16.0,-7.0,3.0,0.0,12.0,6957.0,-9705.0,-7272.0,8543.0,3.0,-13.0,-6.0,1.0
2022-05-08 17:42:36.608445-07:00,688.0,706.9,673.3,969.6,383.3,303.6,783.6,673.3,3463.7,3462.5,1301.6,710.1,607.6,3457.6,1177.0,816.0,3443.1,3444.3,379.4,308.2,322.1,315.1,292.1,278.3,3460.1,3463.7,496.4,427.0,511.5,882.3,637.6,478.2,1.0,0.0,15.0,12412.0,-10412.0,-767.0,2321.0,2.0,-16.0,-9.0,7.0,0.0,13.0,6957.0,-9702.0,-7274.0,8544.0,3.0,-6.0,-8.0,1.0
2022-05-08 17:42:36.637714-07:00,690.5,707.7,670.9,969.6,384.8,301.3,783.6,673.3,3462.5,3467.4,1299.0,710.1,607.6,3473.4,1177.0,816.0,3443.1,3444.3,379.4,312.0,322.1,312.0,291.3,277.5,3460.1,3463.7,492.5,427.8,511.5,882.3,635.9,494.0,-2.0,7.0,9.0,12409.0,-10415.0,-768.0,2321.0,-12.0,3.0,-7.0,4.0,0.0,16.0,6956.0,-9705.0,-7274.0,8541.0,-11.0,13.0,-3.0,1.0
2022-05-08 17:42:36.667894-07:00,690.5,707.7,670.9,966.2,384.8,302.8,783.6,679.1,3462.5,3467.4,1299.0,719.2,607.6,3473.4,1170.9,824.4,3444.3,3439.5,379.4,312.0,324.4,312.0,291.3,277.5,3462.5,3463.7,499.6,427.8,508.3,882.3,635.9,494.0,1.0,5.0,7.0,12408.0,-10417.0,-769.0,2314.0,-7.0,16.0,-26.0,6.0,-1.0,11.0,6960.0,-9710.0,-7274.0,8532.0,-10.0,32.0,-16.0,1.0
2022-05-08 17:42:36.728091-07:00,687.2,713.4,665.2,966.2,381.7,302.8,783.6,679.1,3471.0,3462.5,1296.3,719.2,611.7,3473.4,1170.9,824.4,3444.3,3439.5,379.4,307.4,324.4,311.3,296.7,281.3,3462.5,3463.7,499.6,427.8,508.3,880.6,635.9,486.9,-5.0,-4.0,1.0,12408.0,-10421.0,-772.0,2298.0,-8.0,10.0,-29.0,1.0,-2.0,16.0,6969.0,-9716.0,-7275.0,8517.0,-9.0,30.0,-15.0,1.0
2022-05-08 17:42:36.817672-07:00,687.2,713.4,665.2,968.8,381.7,299.0,785.2,675.8,3471.0,3462.5,1296.3,710.1,611.7,3469.8,1174.4,817.7,3441.9,3440.7,380.9,307.4,316.7,311.3,296.7,281.3,3457.6,3462.5,491.7,427.8,513.1,880.6,635.9,486.9,-4.0,-1.0,1.0,12410.0,-10420.0,-777.0,2291.0,5.0,5.0,-15.0,3.0,-1.0,10.0,6976.0,-9717.0,-7275.0,8510.0,4.0,18.0,-13.0,1.0
2022-05-08 17:42:36.819281-07:00,689.7,706.9,673.3,968.8,384.8,299.0,785.2,675.8,3469.8,3468.6,1299.8,710.1,619.7,3469.8,1174.4,817.7,3441.9,3440.7,380.9,315.1,316.7,313.6,293.6,279.0,3457.6,3462.5,491.7,423.1,513.1,883.1,631.1,489.3,-5.0,-7.0,10.0,12410.0,-10419.0,-787.0,2292.0,8.0,-30.0,-13.0,-1.0,0.0,12.0,6980.0,-9715.0,-7276.0,8508.0,10.0,5.0,-12.0,1.0
2022-05-08 17:42:36.938077-07:00,689.7,706.9,673.3,967.9,384.8,302.8,786.9,669.3,3469.8,3468.6,1299.8,711.0,619.7,3471.0,1172.6,817.7,3447.9,3452.8,384.0,315.1,324.4,313.6,293.6,279.0,3461.3,3460.1,491.7,423.1,512.3,883.1,631.1,489.3,-16.0,-6.0,14.0,12415.0,-10412.0,-792.0,2298.0,28.0,-17.0,16.0,-7.0,-1.0,21.0,6984.0,-9709.0,-7271.0,8516.0,33.0,-21.0,13.0,1.0
2022-05-08 17:42:36.968893-07:00,690.5,711.0,666.0,967.9,386.4,302.8,786.9,669.3,3457.6,3467.4,1295.4,711.0,602.8,3471.0,1172.6,817.7,3447.9,3452.8,384.0,308.2,324.4,312.8,291.3,276.0,3461.3,3460.1,491.7,428.6,512.3,885.6,627.0,476.6,-10.0,4.0,3.0,12426.0,-10395.0,-788.0,2314.0,64.0,-22.0,25.0,-1.0,4.0,18.0,6991.0,-9693.0,-7258.0,8540.0,66.0,-41.0,16.0,1.0
2022-05-08 17:42:36.999083-07:00,690.5,711.0,666.0,973.9,385.6,302.0,789.4,676.6,3457.6,3467.4,1295.4,705.2,606.8,3466.1,1182.3,824.4,3434.6,3444.3,387.9,309.7,317.4,312.8,291.3,276.0,3464.9,3461.3,486.1,420.0,513.1,885.6,627.0,476.6,-7.0,-5.0,0.0,12435.0,-10378.0,-796.0,2336.0,24.0,-57.0,34.0,0.0,8.0,3.0,6986.0,-9673.0,-7252.0,8571.0,34.0,-77.0,26.0,1.0
2022-05-08 17:42:37.058388-07:00,692.1,703.6,687.2,972.2,385.6,302.0,789.4,676.6,3471.0,3467.4,1294.5,709.3,606.8,3466.1,1182.3,824.4,3434.6,3444.3,387.9,309.7,317.4,309.0,293.6,281.3,3464.9,3461.3,486.1,420.0,515.5,875.5,640.8,479.8,-2.0,10.0,4.0,12447.0,-10357.0,-785.0,2371.0,121.0,-28.0,80.0,-2.0,-5.0,15.0,6991.0,-9636.0,-7235.0,8623.0,174.0,-100.0,26.0,1.0
2022-05-08 17:42:37.059955-07:00,692.1,703.6,687.2,972.2,382.5,303.6,792.7,684.0,3471.0,3467.4,1294.5,709.3,608.4,3467.4,1179.7,823.5,3447.9,3444.3,379.4,309.0,317.4,309.0,293.6,281.3,3469.8,3447.9,493.2,431.7,515.5,875.5,640.8,479.8,1.0,19.0,0.0,12480.0,-10310.0,-779.0,2406.0,78.0,-72.0,33.0,8.0,5.0,3.0,7010.0,-9585.0,-7216.0,8680.0,62.0,-80.0,4.0,1.0
2022-05-08 17:42:37.148502-07:00,691.3,705.2,671.7,971.3,382.5,303.6,792.7,684.0,3471.0,3466.1,1297.2,712.6,608.4,3467.4,1179.7,823.5,3447.9,3444.3,379.4,309.0,322.1,312.8,294.4,276.7,3469.8,3447.9,493.2,431.7,513.1,881.4,635.1,481.4,6.0,-3.0,22.0,12477.0,-10307.0,-799.0,2430.0,17.0,-64.0,19.0,9.0,-11.0,23.0,7003.0,-9574.0,-7226.0,8690.0,34.0,-57.0,1.0,1.0
2022-05-08 17:42:37.178560-07:00,691.3,705.2,671.7,971.3,379.4,296.7,789.4,671.7,3471.0,3466.1,1297.2,712.6,606.8,3466.1,1167.4,819.4,3451.6,3441.9,383.3,306.7,322.1,312.8,294.4,276.7,3458.9,3457.6,502.8,429.4,513.1,881.4,635.1,481.4,2.0,9.0,20.0,12487.0,-10289.0,-804.0,2451.0,16.0,-32.0,15.0,7.0,5.0,18.0,7008.0,-9552.0,-7225.0,8711.0,10.0,-19.0,-1.0,1.0
2022-05-08 17:42:37.238514-07:00,687.2,705.2,683.1,974.8,379.4,296.7,789.4,671.7,3468.6,3466.1,1291.8,715.1,606.8,3466.1,1167.4,819.4,3451.6,3441.9,383.3,306.7,320.5,313.6,288.2,275.2,3458.9,3457.6,502.8,429.4,511.5,882.3,627.0,482.2,-1.0,9.0,12.0,12491.0,-10282.0,-804.0,2455.0,11.0,8.0,0.0,4.0,0.0,11.0,7010.0,-9547.0,-7225.0,8715.0,3.0,14.0,-2.0,1.0
2022-05-08 17:42:37.268455-07:00,685.6,705.2,683.1,974.8,380.2,312.0,784.4,679.1,3478.3,3466.1,1291.8,715.1,606.8,3467.4,1177.9,818.5,3441.9,3451.6,379.4,308.2,320.5,313.6,288.2,274.4,3466.1,3464.9,494.8,427.0,511.5,882.3,627.0,482.2,0.0,8.0,9.0,12494.0,-10282.0,-795.0,2448.0,-14.0,27.0,-11.0,3.0,-2.0,10.0,7016.0,-9553.0,-7219.0,8708.0,-22.0,43.0,-4.0,1.0
2022-05-08 17:42:37.388766-07:00,685.6,705.2,679.9,968.8,380.2,312.0,784.4,674.2,3478.3,3473.4,1299.8,706.9,606.8,3467.4,1177.9,816.0,3441.9,3451.6,379.4,308.2,322.1,312.8,290.5,274.4,3460.1,3464.9,494.8,427.0,515.5,886.5,630.3,482.2,4.0,2.0,3.0,12496.0,-10283.0,-795.0,2432.0,16.0,19.0,-41.0,10.0,0.0,7.0,7027.0,-9561.0,-7215.0,8694.0,13.0,40.0,-19.0,1.0
2022-05-08 17:42:37.390064-07:00,687.2,705.2,679.9,968.8,379.4,305.9,791.9,674.2,3467.4,3473.4,1299.8,706.9,609.2,3458.9,1176.2,816.0,3441.9,3449.1,380.2,305.9,322.1,312.8,290.5,279.0,3460.1,3466.1,496.4,436.4,515.5,886.5,630.3,479.8,2.0,-7.0,2.0,12502.0,-10278.0,-794.0,2419.0,17.0,11.0,-7.0,5.0,-5.0,7.0,7042.0,-9563.0,-7208.0,8685.0,19.0,26.0,2.0,1.0
2022-05-08 17:42:37.448397-07:00,687.2,701.9,670.1,967.1,379.4,305.9,791.9,676.6,3467.4,3469.8,1295.4,706.0,609.2,3458.9,1176.2,819.4,3450.4,3449.1,380.2,305.9,318.2,310.5,293.6,279.0,3455.2,3466.1,496.4,436.4,509.1,878.0,635.9,479.8,-7.0,-3.0,12.0,12503.0,-10279.0,-790.0,2416.0,6.0,10.0,8.0,1.0,-5.0,17.0,7048.0,-9568.0,-7202.0,8680.0,17.0,18.0,10.0,1.0
2022-05-08 17:42:37.509256-07:00,686.4,701.9,670.1,967.1,384.0,302.8,784.4,676.6,3467.4,3469.8,1295.4,706.0,604.4,3463.7,1173.5,819.4,3450.4,3440.7,381.7,312.0,318.2,310.5,293.6,275.2,3455.2,3464.9,490.9,429.4,509.1,878.0,635.9,483.7,-2.0,1.0,0.0,12508.0,-10273.0,-784.0,2414.0,18.0,16.0,2.0,0.0,-1.0,11.0,7057.0,-9568.0,-7191.0,8681.0,20.0,21.0,9.0,1.0
2022-05-08 17:42:37.628564-07:00,686.4,703.6,670.1,973.1,384.0,302.8,784.4,676.6,3467.4,3475.9,1290.0,706.9,604.4,3463.7,1173.5,821.9,3443.1,3440.7,381.7,312.0,319.7,309.0,287.5,275.2,3468.6,3464.9,490.9,429.4,510.7,878.0,630.3,483.7,-8.0,-14.0,0.0,12512.0,-10267.0,-785.0,2419.0,29.0,-29.0,13.0,-2.0,-7.0,12.0,7061.0,-9564.0,-7182.0,8690.0,30.0,-18.0,22.0,1.0
2022-05-08 17:42:37.629592-07:00,693.8,703.6,670.1,973.1,379.4,302.8,785.2,676.6,3464.9,3475.9,1290.0,706.9,609.2,3467.4,1171.8,821.9,3443.1,3444.3,380.9,302.0,319.7,309.0,287.5,275.2,3468.6,3452.8,491.7,427.8,510.7,878.0,630.3,470.3,-7.0,-2.0,-1.0,12530.0,-10238.0,-790.0,2451.0,98.0,-74.0,57.0,-9.0,-9.0,17.0,7065.0,-9541.0,-7168.0,8724.0,90.0,-66.0,33.0,1.0
2022-05-08 17:42:37.659036-07:00,693.8,701.9,673.3,981.6,379.4,302.8,785.2,675.8,3464.9,3468.6,1292.7,716.7,609.2,3467.4,1170.9,819.4,3444.3,3438.2,380.9,302.0,321.3,313.6,285.9,275.2,3464.9,3464.9,491.7,427.8,506.7,884.8,632.7,470.3,-34.0,15.0,7.0,12558.0,-10191.0,-793.0,2499.0,134.0,-92.0,49.0,-22.0,10.0,16.0,7074.0,-9501.0,-7147.0,8778.0,132.0,-92.0,13.0,1.0
2022-05-08 17:42:37.660540-07:00,684.0,698.7,673.3,981.6,384.0,305.1,785.2,675.8,3461.3,3466.1,1292.7,716.7,604.4,3468.6,1170.9,819.4,3444.3,3438.2,377.8,310.5,321.3,313.6,286.7,272.9,3464.9,3464.9,496.4,427.8,506.7,884.8,634.3,480.6,-1.0,18.0,19.0,12587.0,-10145.0,-803.0,2536.0,102.0,-76.0,8.0,6.0,3.0,25.0,7090.0,-9459.0,-7131.0,8823.0,97.0,-60.0,-11.0,1.0
2022-05-08 17:42:37.778259-07:00,684.0,698.7,683.1,967.9,384.0,305.1,788.6,675.8,3461.3,3466.1,1298.1,710.1,604.4,3468.6,1168.2,812.7,3447.9,3446.7,377.8,310.5,320.5,305.1,286.7,272.9,3462.5,3468.6,496.4,427.8,511.5,894.1,634.3,480.6,2.0,4.0,12.0,12609.0,-10112.0,-825.0,2556.0,50.0,-69.0,-17.0,7.0,-3.0,7.0,7105.0,-9426.0,-7126.0,8850.0,51.0,-48.0,-16.0,1.0
2022-05-08 17:42:37.868646-07:00,684.0,701.9,683.1,967.9,380.2,304.3,788.6,675.8,3466.1,3464.9,1298.1,710.1,605.2,3479.5,1168.2,812.7,3447.9,3446.7,384.0,305.1,320.5,305.1,286.7,274.4,3462.5,3468.6,494.0,430.2,511.5,894.1,630.3,490.9,0.0,0.0,9.0,12617.0,-10097.0,-842.0,2567.0,32.0,-33.0,-6.0,3.0,0.0,7.0,7110.0,-9409.0,-7129.0,8861.0,28.0,-27.0,-10.0,1.0
2022-05-08 17:42:37.898346-07:00,684.0,701.9,670.1,975.6,380.2,304.3,783.6,691.3,3466.1,3464.9,1291.8,712.6,605.2,3479.5,1175.3,817.7,3433.4,3446.7,384.0,305.1,319.0,318.2,286.7,274.4,3449.1,3457.6,494.0,430.2,517.9,884.8,630.3,490.9,-4.0,1.0,6.0,12623.0,-10088.0,-844.0,2571.0,10.0,-7.0,-7.0,3.0,0.0,9.0,7115.0,-9403.0,-7128.0,8865.0,7.0,-1.0,-8.0,1.0
2022-05-08 17:42:37.899869-07:00,691.3,701.1,670.1,975.6,377.8,302.8,783.6,691.3,3457.6,3472.2,1291.8,712.6,609.2,3466.1,1175.3,817.7,3433.4,3446.7,376.3,307.4,319.0,318.2,291.3,282.1,3449.1,3457.6,492.5,430.2,517.9,884.8,637.6,476.6,1.0,3.0,5.0,12629.0,-10082.0,-845.0,2568.0,18.0,-4.0,-12.0,11.0,-3.0,8.0,7121.0,-9398.0,-7128.0,8866.0,14.0,8.0,-13.0,1.0
2022-05-08 17:42:37.928532-07:00,691.3,701.1,676.6,970.5,377.8,302.8,785.2,677.4,3457.6,3472.2,1296.3,710.1,609.2,3463.7,1167.4,816.9,3437.0,3450.4,379.4,307.4,320.5,312.8,291.3,282.1,3461.3,3457.6,488.5,430.2,512.3,880.6,637.6,476.6,3.0,0.0,9.0,12633.0,-10077.0,-849.0,2564.0,18.0,-4.0,-14.0,11.0,-2.0,7.0,7129.0,-9391.0,-7129.0,8865.0,21.0,8.0,-16.0,1.0
2022-05-08 17:42:37.958953-07:00,689.7,698.7,673.3,970.5,382.5,302.8,785.2,677.4,3467.4,3467.4,1290.0,710.1,609.2,3463.7,1167.4,816.9,3437.0,3450.4,379.4,310.5,320.5,312.8,286.7,275.2,3461.3,3457.6,488.5,432.5,512.3,877.2,635.9,480.6,-2.0,-1.0,15.0,12638.0,-10073.0,-846.0,2559.0,-11.0,19.0,-1.0,4.0,-1.0,12.0,7138.0,-9393.0,-7125.0,8859.0,-18.0,31.0,0.0,1.0
2022-05-08 17:42:38.049179-07:00,689.7,698.7,673.3,970.5,382.5,303.6,786.1,671.7,3467.4,3467.4,1290.0,711.0,609.2,3468.6,1158.6,821.0,3446.7,3445.5,389.5,310.5,320.5,312.8,286.7,275.2,3457.6,3461.3,492.5,432.5,508.3,877.2,635.9,480.6,-6.0,2.0,8.0,12636.0,-10079.0,-833.0,2550.0,-12.0,41.0,0.0,1.0,3.0,16.0,7142.0,-9404.0,-7121.0,8847.0,-13.0,37.0,6.0,1.0
2022-05-08 17:42:38.078564-07:00,688.9,701.1,670.1,970.5,387.2,303.6,786.1,671.7,3472.2,3467.4,1287.3,711.0,603.6,3468.6,1158.6,821.0,3446.7,3445.5,389.5,308.2,320.5,312.8,285.2,275.2,3457.6,3461.3,492.5,430.9,508.3,883.9,631.9,485.3,-2.0,-4.0,6.0,12631.0,-10088.0,-823.0,2541.0,-23.0,32.0,-8.0,4.0,-1.0,1.0,7143.0,-9416.0,-7118.0,8836.0,-25.0,31.0,7.0,1.0
2022-05-08 17:42:38.108999-07:00,688.9,701.1,670.1,971.3,387.2,299.7,790.2,672.5,3472.2,3467.4,1287.3,708.5,603.6,3463.7,1168.2,817.7,3444.3,3439.5,383.3,308.2,319.7,312.8,285.2,275.2,3461.3,3452.8,494.0,430.9,513.1,883.9,631.9,485.3,-5.0,-9.0,-5.0,12623.0,-10098.0,-818.0,2539.0,-24.0,6.0,22.0,-4.0,0.0,2.0,7136.0,-9426.0,-7117.0,8832.0,-14.0,-4.0,22.0,1.0
2022-05-08 17:42:38.168858-07:00,689.7,701.9,669.3,971.3,387.9,299.7,790.2,672.5,3463.7,3464.9,1283.7,708.5,605.2,3463.7,1168.2,817.7,3444.3,3439.5,383.3,313.6,319.7,313.6,289.0,278.3,3461.3,3452.8,494.0,428.6,513.1,883.9,632.7,480.6,-6.0,7.0,1.0,12619.0,-10100.0,-814.0,2550.0,-2.0,-30.0,19.0,-2.0,3.0,10.0,7129.0,-9426.0,-7115.0,8840.0,5.0,-28.0,11.0,1.0
2022-05-08 17:42:38.228518-07:00,689.7,701.9,669.3,969.6,380.2,301.3,786.1,674.2,3463.7,3464.9,1283.7,711.0,607.6,3464.9,1173.5,822.7,3438.2,3444.3,385.6,309.0,321.3,313.6,289.0,278.3,3469.8,3455.2,492.5,423.1,509.1,883.9,632.7,480.6,-1.0,-3.0,7.0,12620.0,-10097.0,-825.0,2561.0,13.0,-39.0,6.0,3.0,-4.0,16.0,7126.0,-9415.0,-7119.0,8851.0,24.0,-42.0,9.0,1.0
2022-05-08 17:42:38.258988-07:00,696.2,702.8,670.1,975.6,380.2,301.3,786.1,674.2,3466.1,3468.6,1282.8,710.1,607.6,3464.9,1173.5,822.7,3438.2,3444.3,385.6,309.0,317.4,315.9,292.8,276.7,3469.8,3455.2,492.5,423.1,513.9,879.7,635.9,483.7,-4.0,-1.0,6.0,12624.0,-10087.0,-828.0,2579.0,25.0,-23.0,37.0,0.0,1.0,11.0,7121.0,-9403.0,-7116.0,8869.0,28.0,-39.0,21.0,1.0
2022-05-08 17:42:38.318496-07:00,696.2,702.8,670.1,975.6,380.9,302.8,784.4,669.3,3466.1,3468.6,1282.8,710.1,608.4,3474.6,1158.6,819.4,3428.6,3450.4,383.3,312.8,317.4,315.9,292.8,276.7,3449.1,3452.8,490.1,430.2,513.9,879.7,635.9,483.7,-3.0,16.0,8.0,12629.0,-10075.0,-826.0,2601.0,26.0,-34.0,20.0,5.0,6.0,10.0,7119.0,-9390.0,-7113.0,8887.0,21.0,-31.0,2.0,1.0
2022-05-08 17:42:38.379124-07:00,688.9,703.6,670.9,974.8,380.9,302.8,784.4,669.3,3467.4,3463.7,1282.8,713.4,608.4,3474.6,1158.6,819.4,3428.6,3450.4,383.3,312.8,325.1,315.9,286.7,273.7,3449.1,3452.8,490.1,430.2,510.7,880.6,640.8,484.5,0.0,0.0,12.0,12635.0,-10063.0,-836.0,2613.0,26.0,-37.0,2.0,2.0,2.0,8.0,7120.0,-9381.0,-7113.0,8897.0,24.0,-29.0,-4.0,1.0
2022-05-08 17:42:38.678890-07:00,688.9,703.6,670.9,974.8,383.3,302.0,781.1,680.7,3467.4,3463.7,1282.8,713.4,608.4,3457.6,1163.8,816.0,3451.6,3439.5,377.8,309.0,325.1,315.9,286.7,273.7,3463.7,3460.1,490.9,430.2,510.7,880.6,640.8,484.5,-2.0,5.0,13.0,12642.0,-10052.0,-840.0,2619.0,18.0,-17.0,8.0,5.0,2.0,15.0,7122.0,-9370.0,-7111.0,8907.0,20.0,-15.0,0.0,1.0
2022-05-08 17:42:38.768659-07:00,684.8,698.7,679.9,972.2,383.3,302.0,781.1,680.7,3462.5,3469.8,1296.3,711.8,608.4,3457.6,1163.8,816.0,3451.6,3439.5,377.8,309.0,322.1,312.8,290.5,279.0,3463.7,3460.1,490.9,430.2,505.1,878.0,635.1,481.4,-2.0,0.0,4.0,12645.0,-10048.0,-841.0,2620.0,4.0,2.0,-2.0,4.0,-2.0,9.0,7125.0,-9366.0,-7110.0,8911.0,-3.0,-2.0,-1.0,1.0
2022-05-08 17:42:38.769830-07:00,684.8,698.7,679.9,972.2,380.9,305.1,791.9,673.3,3462.5,3469.8,1296.3,711.8,608.4,3467.4,1164.7,821.0,3449.1,3445.5,383.3,312.0,322.1,312.8,290.5,279.0,3457.6,3463.7,494.0,427.0,505.1,878.0,635.1,481.4,-3.0,-3.0,7.0,12645.0,-10048.0,-839.0,2622.0,8.0,-6.0,14.0,1.0,-2.0,9.0,7126.0,-9365.0,-7109.0,8912.0,13.0,-8.0,6.0,1.0
2022-05-08 17:42:38.770875-07:00,688.9,702.8,685.6,971.3,380.9,305.1,791.9,675.0,3457.6,3462.5,1290.9,709.3,608.4,3467.4,1164.7,816.9,3445.5,3445.5,383.3,312.0,322.1,309.7,292.1,270.6,3456.4,3463.7,494.0,427.0,509.9,885.6,630.3,479.0,-2.0,5.0,3.0,12646.0,-10046.0,-838.0,2624.0,-3.0,-9.0,-5.0,2.0,0.0,10.0,7128.0,-9363.0,-7107.0,8913.0,-7.0,-3.0,-3.0,1.0
2022-05-08 17:42:38.772220-07:00,683.1,702.8,685.6,971.3,380.9,299.7,782.7,675.0,3460.1,3462.5,1290.9,709.3,605.2,3473.4,1153.3,816.9,3445.5,3441.9,380.9,305.9,322.1,309.7,292.1,279.0,3456.4,3456.4,494.0,423.1,509.9,885.6,630.3,484.5,15.0,-7.0,3.0,12647.0,-10045.0,-839.0,2623.0,0.0,-2.0,12.0,31.0,4.0,-2.0,7128.0,-9362.0,-7107.0,8915.0,-9.0,-8.0,20.0,1.0
2022-05-08 17:42:38.774052-07:00,683.1,702.8,670.1,970.5,380.9,299.7,782.7,675.8,3460.1,3471.0,1281.0,709.3,605.2,3473.4,1153.3,819.4,3447.9,3441.9,380.9,305.9,319.0,312.0,285.9,279.0,3457.6,3456.4,494.0,423.1,505.1,874.7,630.3,484.5,11.0,7.0,0.0,12647.0,-10044.0,-838.0,2631.0,21.0,-30.0,7.0,16.0,3.0,0.0,7124.0,-9360.0,-7107.0,8919.0,16.0,-23.0,2.0,1.0
2022-05-08 17:42:38.828521-07:00,687.2,701.1,674.2,973.1,382.5,302.8,791.9,673.3,3469.8,3462.5,1282.8,709.3,606.8,3466.1,1169.1,817.7,3449.1,3441.9,380.9,310.5,317.4,312.8,289.0,278.3,3462.5,3452.8,494.8,423.9,509.9,882.3,633.5,485.3,-29.0,0.0,13.0,12681.0,-9985.0,-843.0,2687.0,107.0,-27.0,39.0,-20.0,9.0,19.0,7139.0,-9307.0,-7088.0,8979.0,106.0,-45.0,4.0,1.0
2022-05-08 17:42:38.858958-07:00,689.7,695.4,669.3,968.8,382.5,299.7,791.9,672.5,3467.4,3479.5,1291.8,708.5,610.0,3457.6,1163.8,818.5,3434.6,3446.7,384.8,312.0,319.7,311.3,288.2,281.3,3463.7,3455.2,494.8,423.9,518.7,883.1,632.7,481.4,-32.0,14.0,6.0,12716.0,-9933.0,-821.0,2718.0,122.0,-34.0,30.0,-18.0,10.0,12.0,7163.0,-9269.0,-7051.0,9028.0,129.0,-43.0,-1.0,1.0
2022-05-08 17:42:38.948477-07:00,688.0,702.8,669.3,968.8,383.3,302.0,791.9,672.5,3469.8,3468.6,1291.8,708.5,602.0,3461.3,1163.8,818.5,3434.6,3446.7,377.0,307.4,319.7,311.3,290.5,281.3,3463.7,3455.2,494.8,425.5,518.7,883.1,637.6,479.0,8.0,6.0,12.0,12725.0,-9918.0,-824.0,2730.0,13.0,-32.0,-9.0,14.0,0.0,14.0,7168.0,-9255.0,-7044.0,9043.0,15.0,-19.0,-7.0,1.0
2022-05-08 17:42:39.039256-07:00,688.0,702.8,672.5,967.9,383.3,302.0,786.9,683.1,3469.8,3468.6,1281.0,708.5,602.0,3461.3,1167.4,818.5,3427.4,3440.7,377.0,307.4,318.2,310.5,290.5,281.3,3450.4,3467.4,494.8,425.5,511.5,885.6,637.6,479.0,2.0,-5.0,3.0,12735.0,-9903.0,-833.0,2739.0,51.0,-31.0,11.0,2.0,6.0,2.0,7176.0,-9240.0,-7037.0,9058.0,57.0,-31.0,0.0,1.0
2022-05-08 17:42:39.041486-07:00,701.9,703.6,672.5,967.9,382.5,300.5,786.9,683.1,3457.6,3463.7,1281.0,708.5,609.2,3466.1,1167.4,818.5,3427.4,3440.7,383.3,306.7,318.2,310.5,292.1,268.3,3450.4,3467.4,493.2,425.5,511.5,885.6,633.5,478.2,2.0,0.0,6.0,12740.0,-9892.0,-832.0,2751.0,20.0,-16.0,14.0,4.0,-1.0,13.0,7179.0,-9229.0,-7033.0,9069.0,26.0,-21.0,6.0,1.0
2022-05-08 17:42:39.128491-07:00,701.9,703.6,670.1,970.5,382.5,300.5,786.9,684.0,3457.6,3463.7,1287.3,708.5,609.2,3466.1,1170.0,821.0,3444.3,3441.9,383.3,306.7,321.3,313.6,292.1,268.3,3467.4,3461.3,493.2,425.5,508.3,877.2,633.5,478.2,-4.0,4.0,7.0,12756.0,-9869.0,-838.0,2764.0,79.0,-47.0,3.0,4.0,6.0,13.0,7193.0,-9206.0,-7021.0,9092.0,91.0,-40.0,-7.0,1.0
2022-05-08 17:42:39.158535-07:00,692.1,697.9,670.1,970.5,389.5,302.0,786.9,684.0,3457.6,3471.0,1287.3,708.5,606.8,3468.6,1170.0,821.0,3444.3,3441.9,384.8,306.7,321.3,313.6,286.7,274.4,3467.4,3461.3,490.9,430.2,508.3,877.2,635.9,476.6,2.0,0.0,4.0,12777.0,-9835.0,-849.0,2781.0,77.0,-48.0,6.0,6.0,3.0,5.0,7211.0,-9175.0,-7003.0,9122.0,87.0,-41.0,-1.0,1.0
